x,y
294.5,391.5
295.5,391.5
295.5,392.5
296.5,392.5
296.5,391.5
297.5,391.5
297.5,392.5
298.5,392.5
298.5,392.5
298.5,391.5
299.5,391.5
300.5,391.5
301.5,391.5
302.5,391.5
303.5,391.5
304.5,391.5
298.5,392.5
298.5,393.5
298.5,394.5
298.5,395.5
298.5,396.5
299.5,396.5
300.5,396.5
301.5,396.5
302.5,396.5
303.5,396.5
304.5,396.5
304.5,391.5
305.5,391.5
305.5,390.5
306.5,390.5
307.5,390.5
308.5,390.5
308.5,391.5
309.5,391.5
309.5,390.5
304.5,396.5
304.5,397.5
304.5,397.5
305.5,397.5
306.5,397.5
307.5,397.5
308.5,397.5
309.5,397.5
310.5,397.5
311.5,397.5
312.5,397.5
312.5,398.5
313.5,398.5
314.5,398.5
315.5,398.5
316.5,398.5
309.5,390.5
310.5,390.5
311.5,390.5
312.5,390.5
313.5,390.5
314.5,390.5
314.5,391.5
315.5,391.5
316.5,391.5
316.5,398.5
317.5,398.5
317.5,398.5
318.5,398.5
319.5,398.5
320.5,398.5
320.5,399.5
321.5,399.5
322.5,399.5
323.5,399.5
324.5,399.5
325.5,399.5
326.5,399.5
327.5,399.5
328.5,399.5
328.5,399.5
328.5,400.5
328.5,400.5
329.5,400.5
330.5,400.5
331.5,400.5
332.5,400.5
333.5,400.5
334.5,400.5
335.5,400.5
336.5,400.5
336.5,401.5
334.5,385.5
335.5,385.5
336.5,385.5
337.5,385.5
338.5,385.5
339.5,385.5
340.5,385.5
336.5,401.5
337.5,401.5
338.5,401.5
339.5,401.5
339.5,400.5
339.5,400.5
340.5,400.5
340.5,401.5
341.5,401.5
340.5,385.5
341.5,385.5
342.5,385.5
342.5,384.5
343.5,384.5
341.5,401.5
342.5,401.5
343.5,401.5
344.5,401.5
345.5,401.5
345.5,400.5
343.5,384.5
343.5,385.5
344.5,385.5
344.5,385.5
345.5,385.5
346.5,385.5
346.5,384.5
347.5,384.5
348.5,384.5
349.5,384.5
349.5,383.5
350.5,383.5
350.5,382.5
351.5,382.5
351.5,381.5
352.5,381.5
353.5,381.5
353.5,380.5
354.5,380.5
355.5,380.5
356.5,380.5
357.5,380.5
357.5,379.5
358.5,379.5
358.5,378.5
359.5,378.5
345.5,400.5
346.5,400.5
346.5,401.5
347.5,401.5
348.5,401.5
349.5,401.5
349.5,400.5
350.5,400.5
351.5,400.5
352.5,400.5
353.5,400.5
354.5,400.5
355.5,400.5
356.5,400.5
357.5,400.5
358.5,400.5
359.5,400.5
360.5,400.5
377.5,404.5
378.5,404.5
379.5,404.5
380.5,404.5
381.5,404.5
382.5,404.5
383.5,404.5
383.5,405.5
384.5,405.5
384.5,404.5
384.5,405.5
384.5,404.5
385.5,404.5
386.5,404.5
387.5,404.5
388.5,404.5
389.5,404.5
389.5,405.5
390.5,405.5
391.5,405.5
392.5,405.5
393.5,405.5
394.5,405.5
395.5,405.5
396.5,405.5
396.5,404.5
396.5,405.5
396.5,404.5
397.5,404.5
397.5,405.5
398.5,405.5
399.5,405.5
400.5,405.5
401.5,405.5
402.5,405.5
402.5,405.5
403.5,405.5
404.5,405.5
405.5,405.5
406.5,405.5
406.5,404.5
407.5,404.5
407.5,404.5
407.5,405.5
408.5,405.5
409.5,405.5
410.5,405.5
411.5,405.5
411.5,404.5
412.5,404.5
412.5,405.5
413.5,405.5
413.5,405.5
413.5,404.5
414.5,404.5
414.5,404.5
415.5,404.5
416.5,404.5
417.5,404.5
418.5,404.5
419.5,404.5
419.5,405.5
419.5,405.5
420.5,405.5
420.5,404.5
421.5,404.5
422.5,404.5
423.5,404.5
424.5,404.5
424.5,404.5
425.5,404.5
426.5,404.5
427.5,404.5
428.5,404.5
428.5,405.5
429.5,405.5
429.5,405.5
429.5,404.5
430.5,404.5
431.5,404.5
432.5,404.5
433.5,404.5
433.5,404.5
434.5,404.5
435.5,404.5
436.5,404.5
437.5,404.5
438.5,404.5
439.5,404.5
440.5,404.5
441.5,404.5
442.5,404.5
443.5,404.5
444.5,404.5
465.5,403.5
466.5,403.5
466.5,404.5
467.5,404.5
468.5,404.5
469.5,404.5
470.5,404.5
471.5,404.5
472.5,404.5
472.5,404.5
473.5,404.5
474.5,404.5
475.5,404.5
476.5,404.5
476.5,403.5
477.5,403.5
477.5,402.5
477.5,401.5
530.5,401.5
530.5,402.5
531.5,402.5
531.5,403.5
531.5,403.5
532.5,403.5
533.5,403.5
534.5,403.5
535.5,403.5
536.5,403.5
536.5,402.5
531.5,418.5
532.5,418.5
532.5,417.5
533.5,417.5
534.5,417.5
535.5,417.5
536.5,417.5
537.5,417.5
538.5,417.5
539.5,417.5
540.5,417.5
541.5,417.5
542.5,417.5
543.5,417.5
544.5,417.5
545.5,417.5
531.5,421.5
532.5,421.5
532.5,422.5
533.5,422.5
534.5,422.5
535.5,422.5
536.5,422.5
537.5,422.5
538.5,422.5
