x,y
139.5,450.5
139.5,449.5
140.5,449.5
140.5,448.5
141.5,448.5
142.5,448.5
143.5,448.5
144.5,448.5
144.5,447.5
139.5,450.5
139.5,451.5
139.5,452.5
140.5,452.5
140.5,453.5
141.5,453.5
142.5,453.5
142.5,453.5
143.5,453.5
144.5,453.5
144.5,454.5
145.5,454.5
144.5,447.5
144.5,446.5
145.5,446.5
146.5,446.5
145.5,454.5
146.5,454.5
147.5,454.5
147.5,455.5
148.5,455.5
149.5,455.5
150.5,455.5
151.5,455.5
152.5,455.5
146.5,446.5
147.5,446.5
148.5,446.5
149.5,446.5
149.5,445.5
150.5,445.5
150.5,444.5
151.5,444.5
152.5,444.5
152.5,445.5
153.5,445.5
152.5,455.5
152.5,456.5
153.5,456.5
153.5,445.5
153.5,444.5
154.5,444.5
155.5,444.5
155.5,443.5
156.5,443.5
156.5,442.5
157.5,442.5
158.5,442.5
159.5,442.5
153.5,456.5
154.5,456.5
154.5,457.5
155.5,457.5
155.5,457.5
156.5,457.5
157.5,457.5
158.5,457.5
159.5,457.5
160.5,457.5
159.5,442.5
159.5,441.5
160.5,441.5
160.5,440.5
161.5,440.5
162.5,440.5
163.5,440.5
163.5,439.5
164.5,439.5
164.5,438.5
165.5,438.5
160.5,457.5
161.5,457.5
161.5,458.5
162.5,458.5
162.5,459.5
163.5,459.5
163.5,460.5
163.5,460.5
164.5,460.5
164.5,459.5
165.5,459.5
165.5,460.5
166.5,460.5
166.5,461.5
167.5,461.5
165.5,438.5
166.5,438.5
167.5,438.5
168.5,438.5
167.5,461.5
168.5,461.5
169.5,461.5
170.5,461.5
171.5,461.5
172.5,461.5
173.5,461.5
173.5,462.5
174.5,462.5
175.5,462.5
175.5,463.5
176.5,463.5
177.5,463.5
177.5,464.5
178.5,464.5
178.5,463.5
179.5,463.5
168.5,438.5
169.5,438.5
169.5,437.5
170.5,437.5
171.5,437.5
171.5,436.5
172.5,436.5
173.5,436.5
173.5,435.5
174.5,435.5
174.5,434.5
174.5,434.5
175.5,434.5
176.5,434.5
177.5,434.5
177.5,433.5
178.5,433.5
178.5,432.5
179.5,432.5
179.5,431.5
180.5,431.5
181.5,431.5
182.5,431.5
182.5,430.5
183.5,430.5
184.5,430.5
184.5,429.5
185.5,429.5
186.5,429.5
179.5,463.5
179.5,464.5
180.5,464.5
181.5,464.5
181.5,464.5
182.5,464.5
183.5,464.5
184.5,464.5
184.5,465.5
185.5,465.5
186.5,465.5
187.5,465.5
186.5,429.5
186.5,428.5
187.5,428.5
187.5,427.5
188.5,427.5
188.5,426.5
189.5,426.5
187.5,465.5
188.5,465.5
189.5,465.5
190.5,465.5
190.5,466.5
191.5,466.5
192.5,466.5
189.5,426.5
190.5,426.5
191.5,426.5
191.5,425.5
192.5,425.5
193.5,425.5
193.5,424.5
194.5,424.5
194.5,423.5
195.5,423.5
196.5,423.5
197.5,423.5
198.5,423.5
199.5,423.5
199.5,424.5
200.5,424.5
192.5,466.5
192.5,467.5
193.5,467.5
194.5,467.5
194.5,468.5
195.5,468.5
195.5,469.5
196.5,469.5
196.5,469.5
197.5,469.5
198.5,469.5
199.5,469.5
200.5,469.5
201.5,469.5
202.5,469.5
203.5,469.5
204.5,469.5
205.5,469.5
200.5,424.5
200.5,423.5
201.5,423.5
202.5,423.5
203.5,423.5
204.5,423.5
205.5,423.5
206.5,423.5
207.5,423.5
207.5,422.5
208.5,422.5
205.5,469.5
206.5,469.5
207.5,469.5
208.5,469.5
208.5,470.5
208.5,422.5
209.5,422.5
209.5,423.5
210.5,423.5
208.5,470.5
209.5,470.5
209.5,469.5
210.5,469.5
211.5,469.5
212.5,469.5
213.5,469.5
213.5,468.5
210.5,423.5
211.5,423.5
212.5,423.5
213.5,423.5
214.5,423.5
215.5,423.5
216.5,423.5
216.5,422.5
217.5,422.5
218.5,422.5
219.5,422.5
220.5,422.5
220.5,423.5
213.5,468.5
214.5,468.5
215.5,468.5
215.5,469.5
216.5,469.5
216.5,469.5
216.5,468.5
217.5,468.5
218.5,468.5
219.5,468.5
220.5,468.5
220.5,469.5
221.5,469.5
220.5,423.5
221.5,423.5
221.5,422.5
222.5,422.5
223.5,422.5
224.5,422.5
225.5,422.5
225.5,421.5
226.5,421.5
221.5,469.5
221.5,468.5
222.5,468.5
222.5,468.5
223.5,468.5
224.5,468.5
224.5,467.5
225.5,467.5
226.5,467.5
227.5,467.5
228.5,467.5
229.5,467.5
229.5,468.5
230.5,468.5
231.5,468.5
226.5,421.5
226.5,422.5
227.5,422.5
228.5,422.5
229.5,422.5
230.5,422.5
231.5,422.5
231.5,421.5
232.5,421.5
232.5,422.5
233.5,422.5
234.5,422.5
231.5,468.5
232.5,468.5
232.5,469.5
233.5,469.5
234.5,469.5
234.5,468.5
234.5,422.5
235.5,422.5
236.5,422.5
237.5,422.5
238.5,422.5
239.5,422.5
240.5,422.5
240.5,421.5
241.5,421.5
242.5,421.5
243.5,421.5
244.5,421.5
245.5,421.5
246.5,421.5
247.5,421.5
247.5,422.5
248.5,422.5
249.5,422.5
250.5,422.5
251.5,422.5
252.5,422.5
234.5,468.5
235.5,468.5
235.5,469.5
236.5,469.5
236.5,468.5
237.5,468.5
237.5,469.5
237.5,469.5
238.5,469.5
238.5,468.5
239.5,468.5
240.5,468.5
240.5,469.5
241.5,469.5
242.5,469.5
243.5,469.5
244.5,469.5
243.5,402.5
243.5,403.5
243.5,404.5
243.5,405.5
244.5,405.5
244.5,406.5
245.5,406.5
245.5,407.5
246.5,407.5
247.5,407.5
247.5,408.5
243.5,402.5
244.5,402.5
244.5,401.5
245.5,401.5
246.5,401.5
247.5,401.5
248.5,401.5
249.5,401.5
249.5,400.5
250.5,400.5
251.5,400.5
244.5,469.5
245.5,469.5
245.5,470.5
246.5,470.5
246.5,471.5
247.5,471.5
248.5,471.5
247.5,408.5
247.5,409.5
247.5,410.5
248.5,410.5
248.5,411.5
248.5,412.5
247.5,412.5
247.5,413.5
247.5,413.5
247.5,414.5
247.5,415.5
248.5,415.5
248.5,416.5
249.5,416.5
249.5,417.5
250.5,417.5
250.5,418.5
251.5,418.5
252.5,418.5
253.5,418.5
253.5,419.5
254.5,419.5
254.5,420.5
254.5,421.5
248.5,471.5
249.5,471.5
249.5,470.5
250.5,470.5
251.5,470.5
252.5,470.5
252.5,471.5
253.5,471.5
251.5,400.5
252.5,400.5
253.5,400.5
253.5,399.5
254.5,399.5
252.5,422.5
253.5,422.5
253.5,421.5
254.5,421.5
253.5,471.5
253.5,470.5
254.5,470.5
255.5,470.5
256.5,470.5
256.5,471.5
257.5,471.5
258.5,471.5
259.5,471.5
260.5,471.5
260.5,470.5
261.5,470.5
254.5,399.5
254.5,400.5
255.5,400.5
256.5,400.5
257.5,400.5
258.5,400.5
259.5,400.5
259.5,399.5
260.5,399.5
261.5,399.5
262.5,399.5
263.5,399.5
254.5,421.5
255.5,421.5
255.5,422.5
256.5,422.5
261.5,470.5
261.5,471.5
262.5,471.5
263.5,471.5
263.5,470.5
264.5,470.5
264.5,471.5
265.5,471.5
263.5,399.5
264.5,399.5
264.5,398.5
265.5,398.5
266.5,398.5
267.5,398.5
268.5,398.5
268.5,397.5
269.5,397.5
270.5,397.5
271.5,397.5
272.5,397.5
273.5,397.5
274.5,397.5
265.5,471.5
266.5,471.5
266.5,472.5
267.5,472.5
268.5,472.5
269.5,472.5
269.5,473.5
270.5,473.5
270.5,473.5
271.5,473.5
272.5,473.5
272.5,474.5
273.5,474.5
274.5,474.5
274.5,473.5
275.5,473.5
276.5,473.5
277.5,473.5
278.5,473.5
274.5,397.5
275.5,397.5
275.5,397.5
276.5,397.5
277.5,397.5
278.5,397.5
278.5,396.5
279.5,396.5
280.5,396.5
280.5,395.5
281.5,395.5
282.5,395.5
282.5,394.5
283.5,394.5
278.5,473.5
279.5,473.5
280.5,473.5
280.5,474.5
