x,y
1.5,293.5
2.5,293.5
3.5,293.5
3.5,292.5
4.5,292.5
5.5,292.5
6.5,292.5
7.5,292.5
8.5,292.5
8.5,292.5
9.5,292.5
9.5,291.5
10.5,291.5
11.5,291.5
12.5,291.5
13.5,291.5
14.5,291.5
15.5,291.5
16.5,291.5
16.5,291.5
17.5,291.5
18.5,291.5
19.5,291.5
19.5,290.5
20.5,290.5
21.5,290.5
22.5,290.5
23.5,290.5
24.5,290.5
25.5,290.5
25.5,289.5
26.5,289.5
26.5,290.5
27.5,290.5
28.5,290.5
29.5,290.5
29.5,290.5
29.5,289.5
30.5,289.5
30.5,288.5
31.5,288.5
32.5,288.5
32.5,288.5
32.5,289.5
32.5,289.5
33.5,289.5
33.5,288.5
34.5,288.5
35.5,288.5
36.5,288.5
36.5,289.5
37.5,289.5
37.5,288.5
38.5,288.5
38.5,287.5
39.5,287.5
40.5,287.5
40.5,288.5
40.5,288.5
41.5,288.5
42.5,288.5
43.5,288.5
44.5,288.5
44.5,287.5
45.5,287.5
46.5,287.5
46.5,286.5
47.5,286.5
48.5,286.5
49.5,286.5
50.5,286.5
51.5,286.5
52.5,286.5
53.5,286.5
54.5,286.5
54.5,286.5
55.5,286.5
55.5,286.5
56.5,286.5
56.5,285.5
57.5,285.5
58.5,285.5
59.5,285.5
60.5,285.5
61.5,285.5
62.5,285.5
62.5,284.5
63.5,284.5
64.5,284.5
65.5,284.5
66.5,284.5
67.5,284.5
68.5,284.5
69.5,284.5
70.5,284.5
70.5,283.5
71.5,283.5
72.5,283.5
72.5,284.5
73.5,284.5
74.5,284.5
74.5,284.5
75.5,284.5
76.5,284.5
76.5,283.5
77.5,283.5
78.5,283.5
79.5,283.5
80.5,283.5
80.5,283.5
81.5,283.5
82.5,283.5
82.5,282.5
83.5,282.5
83.5,282.5
84.5,282.5
85.5,282.5
86.5,282.5
87.5,282.5
87.5,281.5
88.5,281.5
89.5,281.5
90.5,281.5
91.5,281.5
91.5,281.5
92.5,281.5
92.5,280.5
93.5,280.5
94.5,280.5
94.5,281.5
95.5,281.5
95.5,280.5
96.5,280.5
97.5,280.5
98.5,280.5
98.5,281.5
99.5,281.5
99.5,281.5
99.5,280.5
100.5,280.5
100.5,279.5
101.5,279.5
102.5,279.5
102.5,279.5
103.5,279.5
104.5,279.5
104.5,280.5
105.5,280.5
106.5,280.5
107.5,280.5
107.5,279.5
108.5,279.5
108.5,279.5
109.5,279.5
109.5,278.5
110.5,278.5
111.5,278.5
111.5,279.5
111.5,279.5
112.5,279.5
113.5,279.5
114.5,279.5
114.5,278.5
115.5,278.5
115.5,277.5
116.5,277.5
117.5,277.5
118.5,277.5
119.5,277.5
119.5,278.5
119.5,278.5
120.5,278.5
120.5,277.5
121.5,277.5
121.5,277.5
122.5,277.5
123.5,277.5
124.5,277.5
125.5,277.5
126.5,277.5
127.5,277.5
128.5,277.5
128.5,276.5
129.5,276.5
129.5,277.5
129.5,277.5
130.5,277.5
130.5,276.5
131.5,276.5
132.5,276.5
133.5,276.5
134.5,276.5
135.5,276.5
136.5,276.5
136.5,275.5
136.5,275.5
137.5,275.5
137.5,276.5
138.5,276.5
139.5,276.5
139.5,276.5
139.5,275.5
140.5,275.5
140.5,274.5
141.5,274.5
142.5,274.5
143.5,274.5
144.5,274.5
145.5,274.5
146.5,274.5
146.5,274.5
147.5,274.5
148.5,274.5
149.5,274.5
149.5,273.5
150.5,273.5
150.5,273.5
150.5,274.5
151.5,274.5
152.5,274.5
153.5,274.5
154.5,274.5
154.5,273.5
155.5,273.5
155.5,273.5
156.5,273.5
157.5,273.5
158.5,273.5
158.5,272.5
159.5,272.5
159.5,272.5
160.5,272.5
160.5,271.5
161.5,271.5
162.5,271.5
162.5,272.5
163.5,272.5
163.5,272.5
163.5,271.5
164.5,271.5
165.5,271.5
166.5,271.5
166.5,271.5
167.5,271.5
168.5,271.5
168.5,270.5
169.5,270.5
170.5,270.5
171.5,270.5
172.5,270.5
173.5,270.5
174.5,270.5
175.5,270.5
175.5,271.5
175.5,271.5
176.5,271.5
176.5,270.5
177.5,270.5
178.5,270.5
179.5,270.5
180.5,270.5
181.5,270.5
182.5,270.5
182.5,269.5
183.5,269.5
184.5,269.5
184.5,269.5
185.5,269.5
185.5,268.5
186.5,268.5
186.5,269.5
187.5,269.5
188.5,269.5
189.5,269.5
189.5,268.5
189.5,268.5
190.5,268.5
191.5,268.5
192.5,268.5
192.5,268.5
193.5,268.5
194.5,268.5
194.5,267.5
195.5,267.5
196.5,267.5
196.5,267.5
196.5,268.5
197.5,268.5
198.5,268.5
198.5,267.5
199.5,267.5
200.5,267.5
200.5,268.5
201.5,268.5
201.5,267.5
202.5,267.5
202.5,266.5
203.5,266.5
204.5,266.5
204.5,267.5
205.5,267.5
205.5,267.5
205.5,266.5
206.5,266.5
207.5,266.5
208.5,266.5
209.5,266.5
209.5,266.5
210.5,266.5
211.5,266.5
212.5,266.5
213.5,266.5
213.5,266.5
213.5,265.5
214.5,265.5
214.5,265.5
215.5,265.5
216.5,265.5
216.5,265.5
217.5,265.5
217.5,264.5
218.5,264.5
218.5,265.5
219.5,265.5
220.5,265.5
220.5,264.5
221.5,264.5
222.5,264.5
223.5,264.5
223.5,264.5
224.5,264.5
225.5,264.5
225.5,263.5
226.5,263.5
226.5,264.5
227.5,264.5
228.5,264.5
228.5,263.5
229.5,263.5
230.5,263.5
230.5,263.5
231.5,263.5
232.5,263.5
233.5,263.5
233.5,263.5
234.5,263.5
235.5,263.5
236.5,263.5
237.5,263.5
237.5,262.5
238.5,262.5
238.5,263.5
239.5,263.5
239.5,263.5
239.5,262.5
240.5,262.5
241.5,262.5
242.5,262.5
