x,y
255.5,396.5
256.5,396.5
257.5,396.5
258.5,396.5
259.5,396.5
260.5,396.5
261.5,396.5
261.5,397.5
262.5,397.5
263.5,397.5
264.5,397.5
264.5,397.5
264.5,396.5
265.5,396.5
265.5,395.5
266.5,395.5
266.5,394.5
267.5,394.5
268.5,394.5
264.5,397.5
264.5,398.5
264.5,399.5
264.5,400.5
264.5,401.5
265.5,401.5
265.5,402.5
265.5,379.5
266.5,379.5
266.5,380.5
267.5,380.5
268.5,380.5
268.5,381.5
265.5,402.5
266.5,402.5
266.5,403.5
267.5,403.5
268.5,403.5
268.5,404.5
269.5,404.5
270.5,404.5
270.5,405.5
271.5,405.5
268.5,381.5
269.5,381.5
269.5,380.5
270.5,380.5
271.5,380.5
272.5,380.5
272.5,381.5
273.5,381.5
268.5,394.5
269.5,394.5
270.5,394.5
270.5,393.5
271.5,393.5
272.5,393.5
272.5,392.5
273.5,392.5
271.5,405.5
271.5,406.5
272.5,406.5
272.5,407.5
272.5,407.5
273.5,407.5
273.5,408.5
274.5,408.5
275.5,408.5
276.5,408.5
276.5,409.5
277.5,409.5
278.5,409.5
279.5,409.5
280.5,409.5
273.5,381.5
273.5,382.5
273.5,383.5
273.5,384.5
273.5,385.5
273.5,386.5
273.5,387.5
273.5,388.5
272.5,388.5
272.5,389.5
273.5,389.5
273.5,390.5
273.5,391.5
273.5,392.5
280.5,409.5
280.5,410.5
281.5,410.5
281.5,411.5
282.5,411.5
283.5,411.5
283.5,412.5
284.5,412.5
284.5,413.5
285.5,413.5
286.5,413.5
286.5,414.5
287.5,414.5
288.5,414.5
288.5,415.5
289.5,415.5
290.5,415.5
290.5,416.5
291.5,416.5
292.5,416.5
293.5,416.5
294.5,416.5
294.5,417.5
295.5,417.5
283.5,407.5
283.5,406.5
283.5,405.5
283.5,404.5
284.5,404.5
284.5,403.5
283.5,407.5
284.5,407.5
285.5,407.5
286.5,407.5
286.5,408.5
287.5,408.5
287.5,409.5
288.5,409.5
288.5,410.5
289.5,410.5
289.5,411.5
290.5,411.5
290.5,412.5
291.5,412.5
291.5,413.5
292.5,413.5
293.5,413.5
294.5,413.5
294.5,414.5
295.5,414.5
296.5,414.5
296.5,413.5
297.5,413.5
297.5,414.5
298.5,414.5
298.5,415.5
299.5,415.5
300.5,415.5
300.5,416.5
284.5,403.5
285.5,403.5
285.5,404.5
286.5,404.5
287.5,404.5
295.5,402.5
296.5,402.5
296.5,403.5
297.5,403.5
297.5,404.5
298.5,404.5
299.5,404.5
299.5,405.5
300.5,405.5
301.5,405.5
302.5,405.5
302.5,406.5
303.5,406.5
304.5,406.5
304.5,407.5
305.5,407.5
306.5,407.5
307.5,407.5
307.5,408.5
308.5,408.5
295.5,417.5
296.5,417.5
297.5,417.5
297.5,418.5
298.5,418.5
299.5,418.5
299.5,418.5
299.5,417.5
300.5,417.5
300.5,416.5
299.5,418.5
299.5,419.5
300.5,419.5
301.5,419.5
301.5,420.5
302.5,420.5
303.5,420.5
303.5,421.5
304.5,421.5
304.5,422.5
305.5,422.5
305.5,423.5
305.5,424.5
306.5,424.5
306.5,425.5
300.5,416.5
301.5,416.5
302.5,416.5
302.5,417.5
303.5,417.5
304.5,417.5
305.5,417.5
305.5,418.5
306.5,418.5
307.5,418.5
307.5,417.5
306.5,425.5
307.5,425.5
308.5,425.5
309.5,425.5
310.5,425.5
311.5,425.5
312.5,425.5
313.5,425.5
314.5,425.5
315.5,425.5
307.5,417.5
308.5,417.5
308.5,418.5
309.5,418.5
310.5,418.5
311.5,418.5
312.5,418.5
312.5,419.5
313.5,419.5
314.5,419.5
315.5,419.5
316.5,419.5
308.5,408.5
309.5,408.5
310.5,408.5
310.5,409.5
311.5,409.5
312.5,409.5
312.5,410.5
313.5,410.5
313.5,410.5
314.5,410.5
315.5,410.5
315.5,411.5
316.5,411.5
317.5,411.5
318.5,411.5
318.5,412.5
319.5,412.5
320.5,412.5
315.5,425.5
315.5,426.5
316.5,426.5
316.5,427.5
317.5,427.5
317.5,428.5
318.5,428.5
319.5,428.5
320.5,428.5
316.5,419.5
317.5,419.5
318.5,419.5
319.5,419.5
319.5,418.5
320.5,418.5
320.5,412.5
321.5,412.5
322.5,412.5
323.5,412.5
324.5,412.5
324.5,413.5
325.5,413.5
326.5,413.5
326.5,414.5
327.5,414.5
328.5,414.5
320.5,418.5
320.5,419.5
321.5,419.5
322.5,419.5
323.5,419.5
324.5,419.5
325.5,419.5
326.5,419.5
326.5,418.5
327.5,418.5
327.5,419.5
328.5,419.5
329.5,419.5
330.5,419.5
331.5,419.5
320.5,428.5
321.5,428.5
322.5,428.5
323.5,428.5
324.5,428.5
325.5,428.5
326.5,428.5
327.5,428.5
328.5,428.5
328.5,429.5
329.5,429.5
330.5,429.5
331.5,429.5
331.5,430.5
332.5,430.5
333.5,430.5
328.5,414.5
329.5,414.5
329.5,415.5
330.5,415.5
331.5,415.5
331.5,416.5
332.5,416.5
331.5,419.5
331.5,418.5
332.5,418.5
332.5,417.5
332.5,416.5
333.5,430.5
334.5,430.5
334.5,431.5
335.5,431.5
336.5,431.5
336.5,431.5
337.5,431.5
337.5,432.5
338.5,432.5
339.5,432.5
340.5,432.5
341.5,432.5
341.5,431.5
342.5,431.5
342.5,431.5
342.5,432.5
342.5,432.5
343.5,432.5
344.5,432.5
345.5,432.5
346.5,432.5
347.5,432.5
348.5,432.5
349.5,432.5
350.5,432.5
350.5,433.5
350.5,433.5
351.5,433.5
351.5,432.5
352.5,432.5
353.5,432.5
354.5,432.5
354.5,433.5
355.5,433.5
356.5,433.5
