x,y
1.5,597.5
2.5,597.5
2.5,596.5
2.5,596.5
3.5,596.5
4.5,596.5
4.5,595.5
5.5,595.5
6.5,595.5
6.5,594.5
7.5,594.5
8.5,594.5
8.5,594.5
8.5,593.5
9.5,593.5
9.5,593.5
10.5,593.5
11.5,593.5
11.5,592.5
12.5,592.5
13.5,592.5
14.5,592.5
14.5,591.5
15.5,591.5
16.5,591.5
16.5,590.5
17.5,590.5
18.5,590.5
18.5,589.5
19.5,589.5
20.5,589.5
20.5,588.5
21.5,588.5
22.5,588.5
22.5,587.5
22.5,587.5
23.5,587.5
23.5,586.5
24.5,586.5
24.5,586.5
24.5,587.5
25.5,587.5
25.5,586.5
26.5,586.5
26.5,586.5
27.5,586.5
27.5,585.5
28.5,585.5
29.5,585.5
29.5,584.5
30.5,584.5
30.5,583.5
31.5,583.5
32.5,583.5
33.5,583.5
33.5,583.5
33.5,582.5
34.5,582.5
35.5,582.5
35.5,581.5
36.5,581.5
36.5,580.5
37.5,580.5
38.5,580.5
38.5,579.5
39.5,579.5
40.5,579.5
40.5,578.5
41.5,578.5
42.5,578.5
42.5,577.5
43.5,577.5
43.5,577.5
43.5,576.5
44.5,576.5
44.5,575.5
45.5,575.5
46.5,575.5
46.5,575.5
46.5,574.5
46.5,573.5
47.5,573.5
47.5,572.5
62.5,510.5
63.5,510.5
64.5,510.5
65.5,510.5
66.5,510.5
67.5,510.5
68.5,510.5
69.5,510.5
70.5,510.5
71.5,510.5
72.5,510.5
73.5,510.5
63.5,501.5
64.5,501.5
65.5,501.5
66.5,501.5
66.5,500.5
67.5,500.5
68.5,500.5
69.5,500.5
69.5,499.5
70.5,499.5
71.5,499.5
72.5,499.5
72.5,498.5
73.5,498.5
74.5,498.5
75.5,498.5
75.5,497.5
76.5,497.5
77.5,497.5
78.5,497.5
73.5,510.5
74.5,510.5
75.5,510.5
76.5,510.5
77.5,510.5
78.5,510.5
79.5,510.5
78.5,497.5
79.5,497.5
79.5,496.5
79.5,496.5
80.5,496.5
81.5,496.5
82.5,496.5
82.5,495.5
83.5,495.5
84.5,495.5
85.5,495.5
86.5,495.5
86.5,494.5
87.5,494.5
88.5,494.5
79.5,510.5
80.5,510.5
80.5,509.5
81.5,509.5
82.5,509.5
83.5,509.5
84.5,509.5
85.5,509.5
86.5,509.5
87.5,509.5
88.5,509.5
89.5,509.5
90.5,509.5
91.5,509.5
92.5,509.5
93.5,509.5
94.5,509.5
95.5,509.5
96.5,509.5
96.5,508.5
97.5,508.5
97.5,508.5
97.5,509.5
97.5,509.5
98.5,509.5
99.5,509.5
100.5,509.5
101.5,509.5
102.5,509.5
103.5,509.5
104.5,509.5
105.5,509.5
106.5,509.5
107.5,509.5
107.5,508.5
108.5,508.5
109.5,508.5
110.5,508.5
110.5,508.5
111.5,508.5
112.5,508.5
113.5,508.5
114.5,508.5
115.5,508.5
116.5,508.5
117.5,508.5
118.5,508.5
119.5,508.5
119.5,509.5
120.5,509.5
120.5,483.5
121.5,483.5
121.5,484.5
122.5,484.5
122.5,485.5
123.5,485.5
124.5,485.5
120.5,509.5
120.5,508.5
121.5,508.5
122.5,508.5
123.5,508.5
124.5,508.5
124.5,507.5
124.5,485.5
125.5,485.5
125.5,484.5
126.5,484.5
127.5,484.5
128.5,484.5
128.5,483.5
129.5,483.5
124.5,507.5
125.5,507.5
125.5,508.5
126.5,508.5
127.5,508.5
128.5,508.5
129.5,508.5
129.5,483.5
130.5,483.5
131.5,483.5
132.5,483.5
133.5,483.5
129.5,508.5
130.5,508.5
131.5,508.5
131.5,507.5
132.5,507.5
132.5,507.5
133.5,507.5
134.5,507.5
135.5,507.5
136.5,507.5
136.5,508.5
133.5,483.5
133.5,482.5
134.5,482.5
135.5,482.5
136.5,482.5
136.5,481.5
137.5,481.5
138.5,481.5
139.5,481.5
139.5,480.5
140.5,480.5
141.5,480.5
136.5,508.5
137.5,508.5
137.5,507.5
138.5,507.5
139.5,507.5
140.5,507.5
141.5,507.5
142.5,507.5
143.5,507.5
144.5,507.5
145.5,507.5
141.5,480.5
142.5,480.5
142.5,480.5
143.5,480.5
143.5,479.5
144.5,479.5
145.5,479.5
145.5,478.5
146.5,478.5
145.5,507.5
146.5,507.5
147.5,507.5
148.5,507.5
148.5,506.5
149.5,506.5
150.5,506.5
146.5,478.5
147.5,478.5
148.5,478.5
149.5,478.5
150.5,478.5
150.5,477.5
151.5,477.5
152.5,477.5
153.5,477.5
153.5,476.5
154.5,476.5
155.5,476.5
156.5,476.5
156.5,475.5
157.5,475.5
158.5,475.5
159.5,475.5
159.5,474.5
160.5,474.5
160.5,475.5
150.5,506.5
151.5,506.5
152.5,506.5
153.5,506.5
154.5,506.5
155.5,506.5
156.5,506.5
156.5,506.5
157.5,506.5
158.5,506.5
159.5,506.5
160.5,506.5
161.5,506.5
162.5,506.5
163.5,506.5
164.5,506.5
165.5,506.5
165.5,505.5
166.5,505.5
166.5,505.5
