x,y
482.5,351.5
483.5,351.5
483.5,350.5
484.5,350.5
484.5,344.5
484.5,345.5
484.5,346.5
484.5,347.5
483.5,347.5
483.5,348.5
484.5,348.5
484.5,349.5
484.5,350.5
484.5,344.5
485.5,344.5
486.5,344.5
486.5,343.5
487.5,343.5
488.5,343.5
488.5,342.5
489.5,342.5
490.5,342.5
491.5,342.5
484.5,350.5
485.5,350.5
486.5,350.5
487.5,350.5
488.5,350.5
488.5,351.5
489.5,351.5
490.5,351.5
490.5,352.5
491.5,352.5
492.5,352.5
493.5,352.5
494.5,352.5
495.5,352.5
495.5,353.5
496.5,353.5
491.5,342.5
492.5,342.5
493.5,342.5
494.5,342.5
495.5,342.5
496.5,342.5
497.5,342.5
497.5,341.5
498.5,341.5
498.5,340.5
499.5,340.5
500.5,340.5
500.5,339.5
501.5,339.5
496.5,353.5
497.5,353.5
498.5,353.5
499.5,353.5
500.5,353.5
501.5,353.5
501.5,354.5
502.5,354.5
501.5,339.5
501.5,340.5
502.5,340.5
502.5,339.5
503.5,339.5
503.5,340.5
502.5,354.5
503.5,354.5
503.5,353.5
504.5,353.5
503.5,340.5
504.5,340.5
504.5,339.5
505.5,339.5
506.5,339.5
507.5,339.5
508.5,339.5
509.5,339.5
510.5,339.5
511.5,339.5
512.5,339.5
504.5,353.5
504.5,354.5
505.5,354.5
506.5,354.5
507.5,354.5
508.5,354.5
508.5,355.5
509.5,355.5
510.5,355.5
511.5,355.5
512.5,355.5
513.5,355.5
514.5,355.5
512.5,339.5
513.5,339.5
513.5,340.5
513.5,340.5
514.5,340.5
514.5,339.5
515.5,339.5
516.5,339.5
514.5,355.5
515.5,355.5
516.5,355.5
516.5,356.5
517.5,356.5
518.5,356.5
519.5,356.5
519.5,357.5
520.5,357.5
521.5,357.5
522.5,357.5
516.5,339.5
517.5,339.5
518.5,339.5
519.5,339.5
520.5,339.5
521.5,339.5
522.5,339.5
523.5,339.5
524.5,339.5
524.5,338.5
525.5,338.5
525.5,339.5
522.5,357.5
523.5,357.5
523.5,357.5
524.5,357.5
524.5,358.5
525.5,358.5
526.5,358.5
525.5,339.5
526.5,339.5
526.5,338.5
527.5,338.5
528.5,338.5
528.5,339.5
529.5,339.5
529.5,338.5
530.5,338.5
526.5,358.5
527.5,358.5
528.5,358.5
529.5,358.5
529.5,359.5
530.5,359.5
530.5,358.5
530.5,338.5
531.5,338.5
532.5,338.5
532.5,339.5
530.5,358.5
531.5,358.5
531.5,359.5
532.5,359.5
533.5,359.5
534.5,359.5
534.5,360.5
535.5,360.5
532.5,339.5
533.5,339.5
533.5,338.5
534.5,338.5
535.5,338.5
536.5,338.5
535.5,360.5
536.5,360.5
537.5,360.5
538.5,360.5
539.5,360.5
540.5,360.5
541.5,360.5
541.5,361.5
542.5,361.5
543.5,361.5
536.5,338.5
537.5,338.5
537.5,339.5
538.5,339.5
539.5,339.5
539.5,338.5
540.5,338.5
541.5,338.5
542.5,338.5
542.5,338.5
543.5,338.5
543.5,337.5
544.5,337.5
543.5,361.5
544.5,361.5
545.5,361.5
545.5,362.5
546.5,362.5
547.5,362.5
548.5,362.5
549.5,362.5
550.5,362.5
544.5,337.5
545.5,337.5
546.5,337.5
547.5,337.5
548.5,337.5
549.5,337.5
550.5,337.5
551.5,337.5
550.5,362.5
551.5,362.5
552.5,362.5
551.5,337.5
552.5,337.5
552.5,338.5
553.5,338.5
554.5,338.5
552.5,362.5
552.5,363.5
553.5,363.5
554.5,363.5
555.5,363.5
556.5,363.5
556.5,362.5
557.5,362.5
554.5,338.5
555.5,338.5
556.5,338.5
556.5,337.5
557.5,337.5
558.5,337.5
559.5,337.5
560.5,337.5
560.5,338.5
561.5,338.5
557.5,362.5
557.5,363.5
558.5,363.5
559.5,363.5
560.5,363.5
560.5,364.5
561.5,364.5
562.5,364.5
563.5,364.5
564.5,364.5
565.5,364.5
566.5,364.5
561.5,338.5
562.5,338.5
562.5,337.5
562.5,337.5
563.5,337.5
563.5,338.5
564.5,338.5
565.5,338.5
566.5,338.5
567.5,338.5
567.5,337.5
568.5,337.5
566.5,364.5
567.5,364.5
568.5,364.5
569.5,364.5
570.5,364.5
571.5,364.5
571.5,365.5
572.5,365.5
568.5,337.5
569.5,337.5
570.5,337.5
571.5,337.5
572.5,337.5
573.5,337.5
572.5,365.5
572.5,364.5
573.5,364.5
573.5,337.5
574.5,337.5
575.5,337.5
576.5,337.5
577.5,337.5
578.5,337.5
579.5,337.5
579.5,336.5
573.5,364.5
574.5,364.5
574.5,365.5
575.5,365.5
576.5,365.5
577.5,365.5
578.5,365.5
579.5,365.5
580.5,365.5
579.5,336.5
580.5,336.5
580.5,337.5
581.5,337.5
582.5,337.5
583.5,337.5
583.5,338.5
584.5,338.5
580.5,365.5
581.5,365.5
582.5,365.5
582.5,366.5
583.5,366.5
584.5,366.5
585.5,366.5
586.5,366.5
584.5,338.5
584.5,337.5
585.5,337.5
586.5,337.5
587.5,337.5
586.5,366.5
587.5,366.5
588.5,366.5
589.5,366.5
590.5,366.5
587.5,337.5
588.5,337.5
589.5,337.5
589.5,338.5
589.5,338.5
590.5,338.5
590.5,337.5
591.5,337.5
592.5,337.5
590.5,366.5
591.5,366.5
592.5,366.5
593.5,366.5
594.5,366.5
594.5,367.5
595.5,367.5
592.5,337.5
593.5,337.5
594.5,337.5
595.5,337.5
596.5,337.5
597.5,337.5
598.5,337.5
595.5,367.5
596.5,367.5
597.5,367.5
598.5,367.5
599.5,367.5
600.5,367.5
600.5,368.5
601.5,368.5
602.5,368.5
603.5,368.5
603.5,369.5
604.5,369.5
598.5,337.5
598.5,338.5
598.5,338.5
599.5,338.5
599.5,337.5
600.5,337.5
601.5,337.5
602.5,337.5
603.5,337.5
604.5,337.5
604.5,337.5
605.5,337.5
605.5,338.5
606.5,338.5
604.5,369.5
605.5,369.5
605.5,368.5
605.5,368.5
606.5,368.5
606.5,369.5
607.5,369.5
608.5,369.5
609.5,369.5
610.5,369.5
611.5,369.5
612.5,369.5
613.5,369.5
606.5,338.5
607.5,338.5
608.5,338.5
608.5,337.5
609.5,337.5
609.5,337.5
609.5,338.5
610.5,338.5
611.5,338.5
612.5,338.5
613.5,338.5
614.5,338.5
615.5,338.5
616.5,338.5
613.5,369.5
614.5,369.5
614.5,368.5
614.5,368.5
615.5,368.5
615.5,369.5
616.5,369.5
617.5,369.5
618.5,369.5
618.5,368.5
619.5,368.5
619.5,369.5
620.5,369.5
616.5,338.5
617.5,338.5
617.5,337.5
618.5,337.5
618.5,338.5
619.5,338.5
620.5,338.5
620.5,337.5
621.5,337.5
620.5,369.5
621.5,369.5
621.5,368.5
621.5,337.5
621.5,338.5
622.5,338.5
623.5,338.5
624.5,338.5
625.5,338.5
626.5,338.5
627.5,338.5
627.5,339.5
628.5,339.5
621.5,368.5
622.5,368.5
622.5,369.5
623.5,369.5
624.5,369.5
625.5,369.5
626.5,369.5
627.5,369.5
628.5,369.5
628.5,339.5
628.5,338.5
629.5,338.5
629.5,339.5
630.5,339.5
630.5,338.5
628.5,369.5
629.5,369.5
629.5,369.5
630.5,369.5
631.5,369.5
632.5,369.5
633.5,369.5
634.5,369.5
635.5,369.5
636.5,369.5
637.5,369.5
637.5,370.5
638.5,370.5
630.5,338.5
631.5,338.5
631.5,339.5
632.5,339.5
633.5,339.5
634.5,339.5
635.5,339.5
636.5,339.5
637.5,339.5
638.5,339.5
639.5,339.5
640.5,339.5
641.5,339.5
642.5,339.5
638.5,370.5
639.5,370.5
640.5,370.5
641.5,370.5
641.5,369.5
641.5,369.5
642.5,369.5
642.5,370.5
643.5,370.5
643.5,371.5
644.5,371.5
642.5,339.5
643.5,339.5
643.5,339.5
644.5,339.5
645.5,339.5
646.5,339.5
647.5,339.5
647.5,338.5
648.5,338.5
649.5,338.5
650.5,338.5
644.5,371.5
644.5,370.5
645.5,370.5
646.5,370.5
646.5,371.5
647.5,371.5
648.5,371.5
649.5,371.5
650.5,371.5
651.5,371.5
652.5,371.5
653.5,371.5
650.5,338.5
651.5,338.5
651.5,339.5
651.5,339.5
652.5,339.5
652.5,338.5
653.5,338.5
654.5,338.5
653.5,371.5
654.5,371.5
654.5,372.5
654.5,338.5
655.5,338.5
656.5,338.5
656.5,339.5
657.5,339.5
658.5,339.5
659.5,339.5
660.5,339.5
654.5,372.5
655.5,372.5
655.5,371.5
656.5,371.5
656.5,372.5
657.5,372.5
658.5,372.5
659.5,372.5
660.5,372.5
661.5,372.5
662.5,372.5
662.5,371.5
663.5,371.5
660.5,338.5
660.5,339.5
660.5,338.5
661.5,338.5
662.5,338.5
663.5,338.5
664.5,338.5
665.5,338.5
666.5,338.5
666.5,339.5
667.5,339.5
667.5,338.5
668.5,338.5
663.5,371.5
663.5,372.5
664.5,372.5
665.5,372.5
666.5,372.5
666.5,372.5
667.5,372.5
668.5,372.5
669.5,372.5
669.5,373.5
670.5,373.5
670.5,372.5
668.5,338.5
668.5,339.5
669.5,339.5
670.5,339.5
671.5,339.5
671.5,340.5
672.5,340.5
670.5,372.5
671.5,372.5
671.5,373.5
672.5,373.5
673.5,373.5
672.5,340.5
672.5,339.5
673.5,339.5
674.5,339.5
673.5,373.5
674.5,373.5
675.5,373.5
676.5,373.5
677.5,373.5
677.5,372.5
678.5,372.5
679.5,372.5
680.5,372.5
674.5,339.5
675.5,339.5
676.5,339.5
677.5,339.5
678.5,339.5
678.5,340.5
679.5,340.5
679.5,340.5
679.5,339.5
680.5,339.5
680.5,340.5
681.5,340.5
682.5,340.5
683.5,340.5
684.5,340.5
685.5,340.5
680.5,372.5
681.5,372.5
682.5,372.5
683.5,372.5
684.5,372.5
684.5,373.5
685.5,373.5
686.5,373.5
687.5,373.5
688.5,373.5
689.5,373.5
690.5,373.5
691.5,373.5
691.5,374.5
692.5,374.5
693.5,374.5
694.5,374.5
695.5,374.5
696.5,374.5
697.5,374.5
698.5,374.5
698.5,375.5
685.5,340.5
686.5,340.5
687.5,340.5
687.5,339.5
688.5,339.5
688.5,339.5
689.5,339.5
689.5,340.5
690.5,340.5
691.5,340.5
691.5,340.5
692.5,340.5
692.5,341.5
693.5,341.5
694.5,341.5
695.5,341.5
696.5,341.5
696.5,340.5
696.5,341.5
696.5,340.5
697.5,340.5
698.5,340.5
699.5,340.5
700.5,340.5
700.5,341.5
698.5,375.5
699.5,375.5
699.5,374.5
699.5,374.5
700.5,374.5
701.5,374.5
702.5,374.5
703.5,374.5
704.5,374.5
704.5,375.5
705.5,375.5
706.5,375.5
707.5,375.5
708.5,375.5
708.5,376.5
709.5,376.5
700.5,341.5
701.5,341.5
701.5,340.5
702.5,340.5
702.5,340.5
703.5,340.5
704.5,340.5
704.5,341.5
705.5,341.5
706.5,341.5
707.5,341.5
708.5,341.5
709.5,341.5
710.5,341.5
711.5,341.5
712.5,341.5
712.5,342.5
709.5,376.5
709.5,375.5
710.5,375.5
711.5,375.5
712.5,375.5
712.5,342.5
713.5,342.5
713.5,341.5
714.5,341.5
712.5,375.5
713.5,375.5
713.5,376.5
714.5,376.5
714.5,341.5
715.5,341.5
716.5,341.5
717.5,341.5
718.5,341.5
719.5,341.5
720.5,341.5
721.5,341.5
721.5,342.5
722.5,342.5
714.5,376.5
715.5,376.5
716.5,376.5
717.5,376.5
717.5,376.5
718.5,376.5
718.5,377.5
719.5,377.5
720.5,377.5
721.5,377.5
722.5,377.5
722.5,378.5
723.5,378.5
724.5,378.5
725.5,378.5
726.5,378.5
722.5,342.5
723.5,342.5
724.5,342.5
725.5,342.5
726.5,342.5
726.5,341.5
726.5,341.5
727.5,341.5
727.5,342.5
728.5,342.5
726.5,378.5
727.5,378.5
727.5,379.5
728.5,379.5
728.5,342.5
729.5,342.5
730.5,342.5
731.5,342.5
732.5,342.5
733.5,342.5
734.5,342.5
728.5,379.5
728.5,378.5
729.5,378.5
730.5,378.5
731.5,378.5
732.5,378.5
732.5,378.5
733.5,378.5
734.5,378.5
735.5,378.5
736.5,378.5
737.5,378.5
738.5,378.5
734.5,342.5
735.5,342.5
736.5,342.5
737.5,342.5
738.5,342.5
739.5,342.5
740.5,342.5
740.5,343.5
741.5,343.5
741.5,344.5
738.5,378.5
739.5,378.5
740.5,378.5
741.5,378.5
742.5,378.5
743.5,378.5
744.5,378.5
744.5,379.5
745.5,379.5
741.5,344.5
742.5,344.5
743.5,344.5
743.5,344.5
744.5,344.5
745.5,344.5
746.5,344.5
746.5,345.5
747.5,345.5
748.5,345.5
749.5,345.5
745.5,379.5
746.5,379.5
746.5,378.5
746.5,378.5
747.5,378.5
747.5,379.5
748.5,379.5
749.5,379.5
750.5,379.5
751.5,379.5
751.5,378.5
752.5,378.5
753.5,378.5
754.5,378.5
749.5,345.5
750.5,345.5
750.5,345.5
751.5,345.5
751.5,345.5
752.5,345.5
753.5,345.5
754.5,345.5
755.5,345.5
756.5,345.5
757.5,345.5
758.5,345.5
759.5,345.5
760.5,345.5
761.5,345.5
754.5,378.5
755.5,378.5
755.5,378.5
756.5,378.5
757.5,378.5
758.5,378.5
759.5,378.5
760.5,378.5
761.5,378.5
762.5,378.5
762.5,377.5
761.5,345.5
761.5,346.5
762.5,346.5
763.5,346.5
764.5,346.5
765.5,346.5
762.5,377.5
763.5,377.5
764.5,377.5
765.5,377.5
765.5,378.5
766.5,378.5
765.5,346.5
765.5,347.5
766.5,347.5
767.5,347.5
768.5,347.5
769.5,347.5
