x,y
1.5,344.5
2.5,344.5
2.5,343.5
3.5,343.5
4.5,343.5
5.5,343.5
6.5,343.5
7.5,343.5
8.5,343.5
9.5,343.5
9.5,342.5
10.5,342.5
1.5,354.5
2.5,354.5
2.5,355.5
2.5,355.5
3.5,355.5
4.5,355.5
5.5,355.5
6.5,355.5
7.5,355.5
8.5,355.5
9.5,355.5
10.5,355.5
10.5,354.5
11.5,354.5
2.5,359.5
3.5,359.5
4.5,359.5
5.5,359.5
6.5,359.5
7.5,359.5
7.5,360.5
8.5,360.5
8.5,360.5
8.5,359.5
9.5,359.5
10.5,359.5
11.5,359.5
12.5,359.5
13.5,359.5
14.5,359.5
15.5,359.5
16.5,359.5
17.5,359.5
17.5,358.5
18.5,358.5
10.5,342.5
10.5,343.5
10.5,343.5
11.5,343.5
12.5,343.5
13.5,343.5
14.5,343.5
15.5,343.5
16.5,343.5
11.5,354.5
11.5,355.5
12.5,355.5
13.5,355.5
14.5,355.5
15.5,355.5
15.5,354.5
16.5,354.5
16.5,343.5
17.5,343.5
18.5,343.5
19.5,343.5
20.5,343.5
16.5,354.5
17.5,354.5
18.5,354.5
18.5,354.5
19.5,354.5
20.5,354.5
20.5,353.5
18.5,358.5
18.5,359.5
19.5,359.5
20.5,359.5
21.5,359.5
20.5,343.5
21.5,343.5
22.5,343.5
23.5,343.5
24.5,343.5
24.5,342.5
25.5,342.5
26.5,342.5
27.5,342.5
28.5,342.5
29.5,342.5
30.5,342.5
31.5,342.5
32.5,342.5
33.5,342.5
33.5,341.5
34.5,341.5
20.5,353.5
21.5,353.5
21.5,354.5
22.5,354.5
23.5,354.5
24.5,354.5
25.5,354.5
26.5,354.5
27.5,354.5
28.5,354.5
29.5,354.5
30.5,354.5
31.5,354.5
31.5,353.5
32.5,353.5
33.5,353.5
33.5,354.5
34.5,354.5
34.5,353.5
35.5,353.5
35.5,352.5
21.5,359.5
22.5,359.5
23.5,359.5
24.5,359.5
24.5,358.5
25.5,358.5
26.5,358.5
27.5,358.5
28.5,358.5
29.5,358.5
30.5,358.5
30.5,359.5
31.5,359.5
31.5,359.5
31.5,358.5
32.5,358.5
33.5,358.5
34.5,358.5
35.5,358.5
36.5,358.5
37.5,358.5
37.5,357.5
34.5,341.5
34.5,342.5
34.5,342.5
35.5,342.5
36.5,342.5
37.5,342.5
38.5,342.5
39.5,342.5
40.5,342.5
40.5,341.5
41.5,341.5
42.5,341.5
43.5,341.5
43.5,342.5
44.5,342.5
35.5,352.5
36.5,352.5
37.5,352.5
37.5,353.5
37.5,353.5
38.5,353.5
38.5,352.5
39.5,352.5
40.5,352.5
41.5,352.5
42.5,352.5
43.5,352.5
37.5,357.5
38.5,357.5
38.5,358.5
39.5,358.5
40.5,358.5
40.5,357.5
41.5,357.5
42.5,357.5
43.5,357.5
44.5,357.5
44.5,358.5
43.5,352.5
44.5,352.5
44.5,353.5
45.5,353.5
46.5,353.5
46.5,352.5
47.5,352.5
48.5,352.5
48.5,353.5
49.5,353.5
50.5,353.5
51.5,353.5
52.5,353.5
53.5,353.5
53.5,352.5
54.5,352.5
44.5,341.5
44.5,342.5
44.5,341.5
45.5,341.5
46.5,341.5
47.5,341.5
48.5,341.5
49.5,341.5
50.5,341.5
51.5,341.5
52.5,341.5
53.5,341.5
44.5,358.5
45.5,358.5
45.5,357.5
46.5,357.5
47.5,357.5
48.5,357.5
49.5,357.5
50.5,357.5
51.5,357.5
52.5,357.5
53.5,357.5
54.5,357.5
55.5,357.5
56.5,357.5
57.5,357.5
57.5,356.5
58.5,356.5
53.5,341.5
54.5,341.5
55.5,341.5
55.5,340.5
56.5,340.5
54.5,352.5
55.5,352.5
56.5,352.5
57.5,352.5
57.5,353.5
56.5,340.5
