x,y
1.5,724.5
2.5,724.5
2.5,723.5
2.5,722.5
2.5,721.5
2.5,720.5
2.5,719.5
2.5,718.5
3.5,718.5
4.5,718.5
5.5,718.5
6.5,718.5
1.5,799.5
1.5,798.5
2.5,798.5
2.5,797.5
2.5,796.5
1.5,796.5
1.5,795.5
2.5,795.5
2.5,794.5
2.5,793.5
1.5,793.5
1.5,792.5
1.5,791.5
1.5,790.5
2.5,790.5
2.5,789.5
1.5,789.5
1.5,788.5
2.5,788.5
2.5,787.5
2.5,786.5
2.5,785.5
2.5,784.5
2.5,783.5
2.5,782.5
3.5,782.5
4.5,782.5
5.5,782.5
6.5,782.5
7.5,782.5
8.5,782.5
9.5,782.5
10.5,782.5
10.5,781.5
11.5,781.5
12.5,781.5
12.5,782.5
13.5,782.5
2.5,749.5
3.5,749.5
4.5,749.5
5.5,749.5
6.5,749.5
6.5,748.5
7.5,748.5
7.5,747.5
8.5,747.5
8.5,746.5
9.5,746.5
10.5,746.5
10.5,745.5
11.5,745.5
11.5,744.5
6.5,718.5
6.5,717.5
7.5,717.5
7.5,716.5
8.5,716.5
8.5,715.5
9.5,715.5
7.5,706.5
7.5,705.5
8.5,705.5
8.5,704.5
9.5,704.5
9.5,703.5
10.5,703.5
10.5,702.5
11.5,702.5
11.5,701.5
12.5,701.5
12.5,700.5
13.5,700.5
13.5,699.5
13.5,698.5
9.5,714.5
9.5,715.5
9.5,714.5
10.5,714.5
10.5,713.5
11.5,713.5
12.5,713.5
12.5,712.5
13.5,712.5
13.5,711.5
14.5,711.5
14.5,710.5
11.5,744.5
12.5,744.5
13.5,744.5
13.5,745.5
14.5,745.5
14.5,746.5
15.5,746.5
16.5,746.5
17.5,746.5
18.5,746.5
19.5,746.5
20.5,746.5
21.5,746.5
13.5,698.5
14.5,698.5
15.5,698.5
15.5,697.5
16.5,697.5
16.5,696.5
17.5,696.5
18.5,696.5
19.5,696.5
13.5,782.5
13.5,781.5
14.5,781.5
15.5,781.5
14.5,710.5
14.5,709.5
15.5,709.5
15.5,708.5
16.5,708.5
15.5,781.5
15.5,780.5
16.5,780.5
16.5,779.5
16.5,778.5
17.5,778.5
17.5,777.5
17.5,776.5
18.5,776.5
18.5,775.5
18.5,774.5
18.5,773.5
19.5,773.5
19.5,772.5
16.5,708.5
16.5,707.5
17.5,707.5
17.5,706.5
18.5,706.5
18.5,706.5
18.5,705.5
19.5,705.5
19.5,704.5
19.5,703.5
19.5,702.5
19.5,701.5
20.5,701.5
20.5,700.5
20.5,699.5
20.5,698.5
20.5,697.5
19.5,696.5
19.5,697.5
20.5,697.5
19.5,772.5
19.5,771.5
20.5,771.5
20.5,770.5
20.5,770.5
20.5,769.5
20.5,768.5
21.5,768.5
21.5,767.5
21.5,766.5
22.5,766.5
22.5,765.5
23.5,765.5
23.5,764.5
24.5,764.5
24.5,763.5
21.5,746.5
21.5,747.5
21.5,747.5
22.5,747.5
22.5,746.5
23.5,746.5
24.5,746.5
24.5,745.5
25.5,745.5
25.5,744.5
26.5,744.5
27.5,744.5
27.5,743.5
28.5,743.5
28.5,742.5
29.5,742.5
29.5,741.5
30.5,741.5
30.5,740.5
31.5,740.5
31.5,739.5
32.5,739.5
32.5,738.5
33.5,738.5
24.5,763.5
24.5,762.5
25.5,762.5
26.5,762.5
26.5,761.5
27.5,761.5
27.5,760.5
28.5,760.5
28.5,759.5
29.5,759.5
29.5,758.5
30.5,758.5
31.5,758.5
32.5,758.5
32.5,757.5
33.5,757.5
33.5,738.5
34.5,738.5
34.5,737.5
34.5,736.5
35.5,736.5
35.5,735.5
36.5,735.5
37.5,735.5
37.5,734.5
38.5,734.5
38.5,733.5
39.5,733.5
39.5,732.5
40.5,732.5
41.5,732.5
42.5,732.5
33.5,757.5
33.5,756.5
33.5,755.5
34.5,755.5
34.5,754.5
34.5,753.5
35.5,753.5
35.5,752.5
35.5,752.5
36.5,752.5
37.5,752.5
38.5,752.5
39.5,752.5
39.5,751.5
40.5,751.5
40.5,751.5
40.5,750.5
40.5,749.5
41.5,749.5
41.5,748.5
42.5,748.5
42.5,747.5
43.5,747.5
43.5,746.5
44.5,746.5
44.5,745.5
45.5,745.5
42.5,730.5
42.5,731.5
42.5,732.5
42.5,730.5
43.5,730.5
43.5,729.5
44.5,729.5
45.5,729.5
45.5,728.5
46.5,728.5
47.5,728.5
47.5,727.5
48.5,727.5
48.5,726.5
49.5,726.5
50.5,726.5
51.5,726.5
45.5,745.5
46.5,745.5
47.5,745.5
47.5,745.5
47.5,744.5
48.5,744.5
48.5,743.5
49.5,743.5
49.5,742.5
50.5,742.5
51.5,742.5
51.5,741.5
52.5,741.5
51.5,726.5
51.5,725.5
52.5,725.5
53.5,725.5
52.5,741.5
53.5,741.5
53.5,740.5
53.5,723.5
53.5,724.5
53.5,725.5
53.5,723.5
