x,y
12.5,264.5
13.5,264.5
13.5,265.5
13.5,266.5
13.5,267.5
13.5,268.5
13.5,269.5
13.5,270.5
12.5,320.5
12.5,321.5
13.5,321.5
13.5,322.5
13.5,323.5
13.5,324.5
13.5,325.5
13.5,326.5
13.5,327.5
13.5,328.5
13.5,329.5
13.5,330.5
12.5,330.5
12.5,331.5
12.5,320.5
13.5,320.5
13.5,319.5
13.5,318.5
13.5,317.5
13.5,316.5
13.5,270.5
14.5,270.5
15.5,270.5
15.5,269.5
15.5,268.5
15.5,267.5
15.5,266.5
16.5,266.5
16.5,265.5
17.5,265.5
17.5,264.5
18.5,264.5
19.5,264.5
20.5,264.5
21.5,264.5
22.5,264.5
22.5,263.5
23.5,263.5
24.5,263.5
13.5,316.5
14.5,316.5
15.5,316.5
15.5,317.5
15.5,318.5
15.5,319.5
15.5,320.5
15.5,321.5
15.5,322.5
15.5,323.5
15.5,324.5
15.5,325.5
15.5,326.5
16.5,326.5
16.5,327.5
17.5,327.5
18.5,327.5
19.5,327.5
20.5,327.5
21.5,327.5
22.5,327.5
16.5,459.5
17.5,459.5
18.5,459.5
19.5,459.5
20.5,459.5
20.5,458.5
21.5,458.5
22.5,458.5
23.5,458.5
17.5,427.5
18.5,427.5
19.5,427.5
20.5,427.5
20.5,426.5
21.5,426.5
22.5,426.5
23.5,426.5
24.5,426.5
21.5,392.5
22.5,392.5
23.5,392.5
24.5,392.5
24.5,391.5
25.5,391.5
25.5,392.5
26.5,392.5
26.5,391.5
27.5,391.5
28.5,391.5
28.5,390.5
22.5,327.5
23.5,327.5
23.5,327.5
24.5,327.5
25.5,327.5
26.5,327.5
27.5,327.5
28.5,327.5
29.5,327.5
23.5,458.5
23.5,457.5
24.5,457.5
25.5,457.5
26.5,457.5
26.5,456.5
27.5,456.5
28.5,456.5
29.5,456.5
29.5,455.5
30.5,455.5
31.5,455.5
32.5,455.5
32.5,454.5
33.5,454.5
34.5,454.5
34.5,453.5
35.5,453.5
24.5,263.5
25.5,263.5
24.5,426.5
24.5,425.5
25.5,425.5
26.5,425.5
27.5,425.5
28.5,425.5
28.5,424.5
29.5,424.5
25.5,263.5
26.5,263.5
27.5,263.5
28.5,263.5
28.5,262.5
29.5,262.5
30.5,262.5
31.5,262.5
28.5,390.5
29.5,390.5
30.5,390.5
29.5,327.5
30.5,327.5
31.5,327.5
32.5,327.5
33.5,327.5
29.5,424.5
30.5,424.5
30.5,423.5
30.5,390.5
31.5,390.5
30.5,423.5
31.5,423.5
32.5,423.5
33.5,423.5
34.5,423.5
35.5,423.5
35.5,422.5
36.5,422.5
37.5,422.5
37.5,421.5
38.5,421.5
31.5,262.5
32.5,262.5
33.5,262.5
33.5,261.5
34.5,261.5
35.5,261.5
36.5,261.5
31.5,390.5
32.5,390.5
33.5,390.5
33.5,389.5
34.5,389.5
35.5,389.5
36.5,389.5
36.5,388.5
37.5,388.5
38.5,388.5
39.5,388.5
33.5,327.5
33.5,326.5
34.5,326.5
34.5,326.5
35.5,326.5
35.5,325.5
36.5,325.5
35.5,453.5
36.5,453.5
37.5,453.5
37.5,452.5
38.5,452.5
39.5,452.5
39.5,451.5
40.5,451.5
41.5,451.5
41.5,450.5
36.5,261.5
37.5,261.5
37.5,260.5
36.5,325.5
36.5,326.5
37.5,326.5
38.5,326.5
39.5,326.5
40.5,326.5
40.5,325.5
41.5,325.5
37.5,260.5
38.5,260.5
39.5,260.5
40.5,260.5
38.5,421.5
38.5,422.5
39.5,422.5
40.5,422.5
40.5,421.5
41.5,421.5
42.5,421.5
43.5,421.5
43.5,420.5
44.5,420.5
45.5,420.5
46.5,420.5
39.5,388.5
40.5,388.5
40.5,387.5
41.5,387.5
42.5,387.5
43.5,387.5
40.5,260.5
41.5,260.5
42.5,260.5
43.5,260.5
43.5,259.5
44.5,259.5
45.5,259.5
46.5,259.5
41.5,325.5
42.5,325.5
43.5,325.5
43.5,324.5
44.5,324.5
45.5,324.5
46.5,324.5
47.5,324.5
48.5,324.5
49.5,324.5
50.5,324.5
41.5,450.5
42.5,450.5
42.5,450.5
43.5,450.5
44.5,450.5
44.5,449.5
45.5,449.5
46.5,449.5
47.5,449.5
48.5,449.5
48.5,448.5
49.5,448.5
43.5,387.5
44.5,387.5
44.5,386.5
45.5,386.5
46.5,386.5
47.5,386.5
47.5,385.5
48.5,385.5
46.5,259.5
47.5,259.5
48.5,259.5
49.5,259.5
50.5,259.5
46.5,420.5
46.5,421.5
47.5,421.5
47.5,422.5
48.5,385.5
49.5,385.5
50.5,385.5
50.5,384.5
51.5,384.5
49.5,448.5
50.5,448.5
51.5,448.5
52.5,448.5
52.5,449.5
53.5,449.5
50.5,259.5
51.5,259.5
52.5,259.5
52.5,258.5
53.5,258.5
54.5,258.5
