x,y
1.5,312.5
2.5,312.5
3.5,312.5
3.5,313.5
4.5,313.5
5.5,313.5
6.5,313.5
7.5,313.5
8.5,313.5
9.5,313.5
10.5,313.5
11.5,313.5
12.5,313.5
13.5,313.5
14.5,313.5
15.5,313.5
1.5,325.5
2.5,325.5
2.5,324.5
3.5,324.5
4.5,324.5
5.5,324.5
6.5,324.5
7.5,324.5
8.5,324.5
9.5,324.5
9.5,325.5
9.5,325.5
10.5,325.5
10.5,324.5
11.5,324.5
12.5,324.5
12.5,325.5
13.5,325.5
14.5,325.5
15.5,325.5
16.5,325.5
17.5,325.5
18.5,325.5
19.5,325.5
19.5,324.5
20.5,324.5
15.5,313.5
16.5,313.5
17.5,313.5
18.5,313.5
19.5,313.5
19.5,314.5
19.5,314.5
20.5,314.5
21.5,314.5
22.5,314.5
23.5,314.5
24.5,314.5
25.5,314.5
26.5,314.5
27.5,314.5
20.5,324.5
20.5,325.5
21.5,325.5
22.5,325.5
22.5,326.5
22.5,326.5
23.5,326.5
23.5,325.5
24.5,325.5
25.5,325.5
26.5,325.5
27.5,325.5
27.5,314.5
28.5,314.5
29.5,314.5
30.5,314.5
31.5,314.5
32.5,314.5
33.5,314.5
34.5,314.5
27.5,325.5
28.5,325.5
29.5,325.5
30.5,325.5
31.5,325.5
32.5,325.5
32.5,326.5
33.5,326.5
34.5,326.5
34.5,314.5
35.5,314.5
35.5,315.5
36.5,315.5
34.5,326.5
35.5,326.5
35.5,326.5
36.5,326.5
36.5,315.5
37.5,315.5
38.5,315.5
39.5,315.5
40.5,315.5
41.5,315.5
42.5,315.5
43.5,315.5
44.5,315.5
45.5,315.5
46.5,315.5
47.5,315.5
48.5,315.5
36.5,326.5
37.5,326.5
38.5,326.5
39.5,326.5
40.5,326.5
40.5,327.5
41.5,327.5
42.5,327.5
43.5,327.5
44.5,327.5
45.5,327.5
46.5,327.5
46.5,327.5
47.5,327.5
48.5,327.5
49.5,327.5
50.5,327.5
51.5,327.5
52.5,327.5
53.5,327.5
53.5,326.5
54.5,326.5
48.5,315.5
49.5,315.5
50.5,315.5
51.5,315.5
52.5,315.5
52.5,316.5
53.5,316.5
54.5,316.5
54.5,316.5
55.5,316.5
56.5,316.5
57.5,316.5
58.5,316.5
59.5,316.5
60.5,316.5
61.5,316.5
62.5,316.5
63.5,316.5
54.5,326.5
54.5,327.5
55.5,327.5
56.5,327.5
57.5,327.5
57.5,328.5
58.5,328.5
58.5,328.5
58.5,327.5
59.5,327.5
60.5,327.5
61.5,327.5
61.5,328.5
62.5,328.5
63.5,328.5
64.5,328.5
65.5,328.5
66.5,328.5
66.5,328.5
67.5,328.5
68.5,328.5
69.5,328.5
70.5,328.5
71.5,328.5
72.5,328.5
72.5,328.5
73.5,328.5
73.5,328.5
74.5,328.5
75.5,328.5
76.5,328.5
77.5,328.5
78.5,328.5
79.5,328.5
80.5,328.5
80.5,328.5
81.5,328.5
81.5,329.5
82.5,329.5
82.5,317.5
83.5,317.5
84.5,317.5
85.5,317.5
86.5,317.5
87.5,317.5
