x,y
1.5,351.5
2.5,351.5
2.5,350.5
3.5,350.5
4.5,350.5
5.5,350.5
5.5,349.5
6.5,349.5
7.5,349.5
8.5,349.5
8.5,349.5
8.5,348.5
9.5,348.5
10.5,348.5
10.5,347.5
11.5,347.5
12.5,347.5
13.5,347.5
13.5,347.5
13.5,346.5
14.5,346.5
15.5,346.5
15.5,345.5
16.5,345.5
17.5,345.5
17.5,345.5
17.5,344.5
18.5,344.5
19.5,344.5
19.5,343.5
20.5,343.5
21.5,343.5
21.5,342.5
22.5,342.5
23.5,342.5
17.5,345.5
18.5,345.5
18.5,346.5
18.5,347.5
18.5,348.5
18.5,349.5
18.5,350.5
18.5,351.5
19.5,351.5
19.5,352.5
20.5,352.5
20.5,351.5
21.5,351.5
22.5,351.5
23.5,351.5
23.5,350.5
23.5,349.5
24.5,349.5
24.5,348.5
24.5,347.5
23.5,347.5
23.5,346.5
23.5,345.5
24.5,345.5
24.5,344.5
24.5,343.5
23.5,343.5
23.5,342.5
23.5,342.5
24.5,342.5
25.5,342.5
25.5,342.5
26.5,342.5
26.5,341.5
27.5,341.5
28.5,341.5
28.5,340.5
29.5,340.5
30.5,340.5
30.5,339.5
31.5,339.5
31.5,339.5
32.5,339.5
32.5,339.5
32.5,338.5
33.5,338.5
33.5,337.5
34.5,337.5
35.5,337.5
35.5,336.5
36.5,336.5
37.5,336.5
38.5,336.5
38.5,335.5
39.5,335.5
40.5,335.5
40.5,334.5
41.5,334.5
41.5,333.5
42.5,333.5
43.5,333.5
44.5,333.5
45.5,333.5
46.5,333.5
47.5,333.5
48.5,333.5
48.5,333.5
48.5,332.5
48.5,331.5
49.5,331.5
49.5,331.5
50.5,331.5
51.5,331.5
51.5,330.5
52.5,330.5
52.5,329.5
53.5,329.5
54.5,329.5
54.5,329.5
55.5,329.5
56.5,329.5
56.5,329.5
56.5,328.5
57.5,328.5
58.5,328.5
58.5,327.5
59.5,327.5
59.5,326.5
60.5,326.5
60.5,326.5
61.5,326.5
62.5,326.5
