x,y
140.5,439.5
141.5,439.5
141.5,440.5
142.5,440.5
143.5,440.5
143.5,439.5
143.5,439.5
144.5,439.5
144.5,440.5
145.5,440.5
146.5,440.5
147.5,440.5
147.5,440.5
148.5,440.5
149.5,440.5
150.5,440.5
151.5,440.5
152.5,440.5
153.5,440.5
154.5,440.5
155.5,440.5
152.5,461.5
153.5,461.5
153.5,460.5
154.5,460.5
154.5,460.5
155.5,460.5
155.5,459.5
156.5,459.5
157.5,459.5
158.5,459.5
159.5,459.5
160.5,459.5
155.5,440.5
156.5,440.5
157.5,440.5
157.5,439.5
158.5,439.5
158.5,439.5
159.5,439.5
159.5,438.5
160.5,438.5
161.5,438.5
161.5,437.5
162.5,437.5
162.5,436.5
160.5,459.5
161.5,459.5
161.5,458.5
162.5,458.5
162.5,436.5
163.5,436.5
163.5,437.5
164.5,437.5
164.5,436.5
165.5,436.5
165.5,437.5
162.5,458.5
162.5,459.5
163.5,459.5
163.5,458.5
164.5,458.5
165.5,458.5
165.5,437.5
166.5,437.5
167.5,437.5
168.5,437.5
168.5,436.5
165.5,458.5
166.5,458.5
166.5,457.5
167.5,457.5
167.5,456.5
168.5,456.5
168.5,436.5
169.5,436.5
169.5,437.5
170.5,437.5
171.5,437.5
172.5,437.5
168.5,456.5
169.5,456.5
170.5,456.5
171.5,456.5
171.5,456.5
172.5,456.5
172.5,455.5
173.5,455.5
174.5,455.5
175.5,455.5
172.5,437.5
173.5,437.5
174.5,437.5
174.5,436.5
175.5,436.5
176.5,436.5
177.5,436.5
177.5,435.5
178.5,435.5
179.5,435.5
179.5,436.5
175.5,455.5
175.5,454.5
176.5,454.5
176.5,453.5
176.5,453.5
177.5,453.5
178.5,453.5
179.5,453.5
195.5,441.5
196.5,441.5
197.5,441.5
197.5,440.5
198.5,440.5
196.5,448.5
197.5,448.5
198.5,448.5
199.5,448.5
200.5,448.5
201.5,448.5
197.5,435.5
197.5,434.5
198.5,434.5
198.5,433.5
199.5,433.5
199.5,432.5
199.5,431.5
200.5,431.5
198.5,440.5
198.5,441.5
199.5,441.5
199.5,442.5
200.5,442.5
201.5,442.5
202.5,442.5
200.5,431.5
201.5,431.5
202.5,431.5
201.5,448.5
201.5,447.5
202.5,447.5
203.5,447.5
202.5,431.5
202.5,430.5
203.5,430.5
204.5,430.5
204.5,429.5
205.5,429.5
205.5,428.5
206.5,428.5
202.5,442.5
202.5,441.5
203.5,441.5
203.5,440.5
204.5,440.5
205.5,440.5
206.5,440.5
207.5,440.5
208.5,440.5
208.5,439.5
209.5,439.5
209.5,440.5
