x,y
132.5,389.5
133.5,389.5
133.5,388.5
134.5,388.5
135.5,388.5
135.5,387.5
136.5,387.5
137.5,387.5
138.5,387.5
138.5,386.5
139.5,386.5
139.5,385.5
140.5,385.5
141.5,385.5
141.5,384.5
142.5,384.5
143.5,384.5
144.5,384.5
145.5,384.5
134.5,367.5
135.5,367.5
136.5,367.5
137.5,367.5
138.5,367.5
139.5,367.5
140.5,367.5
141.5,367.5
142.5,367.5
143.5,367.5
144.5,367.5
145.5,367.5
145.5,367.5
145.5,368.5
146.5,368.5
146.5,369.5
145.5,384.5
145.5,383.5
146.5,383.5
146.5,382.5
147.5,382.5
147.5,381.5
148.5,381.5
149.5,381.5
150.5,381.5
151.5,381.5
152.5,381.5
153.5,381.5
154.5,381.5
154.5,380.5
146.5,369.5
145.5,369.5
145.5,370.5
146.5,370.5
146.5,371.5
146.5,372.5
146.5,373.5
146.5,373.5
147.5,373.5
148.5,373.5
149.5,373.5
150.5,373.5
151.5,373.5
152.5,373.5
152.5,374.5
153.5,374.5
154.5,374.5
154.5,375.5
155.5,375.5
154.5,380.5
154.5,379.5
154.5,378.5
154.5,377.5
155.5,377.5
155.5,376.5
155.5,375.5
154.5,380.5
155.5,380.5
155.5,381.5
156.5,381.5
156.5,380.5
157.5,380.5
158.5,380.5
159.5,380.5
160.5,380.5
160.5,379.5
161.5,379.5
331.5,434.5
331.5,433.5
331.5,432.5
330.5,432.5
330.5,431.5
331.5,431.5
331.5,430.5
331.5,429.5
331.5,428.5
331.5,427.5
332.5,427.5
332.5,426.5
332.5,425.5
332.5,424.5
333.5,424.5
333.5,423.5
334.5,423.5
334.5,422.5
331.5,434.5
332.5,434.5
332.5,435.5
333.5,435.5
334.5,435.5
335.5,435.5
336.5,435.5
334.5,422.5
335.5,422.5
335.5,421.5
336.5,421.5
336.5,420.5
337.5,420.5
336.5,435.5
337.5,435.5
337.5,434.5
338.5,434.5
338.5,433.5
339.5,433.5
340.5,433.5
340.5,432.5
341.5,432.5
341.5,431.5
342.5,431.5
342.5,430.5
343.5,430.5
343.5,429.5
343.5,428.5
342.5,428.5
342.5,427.5
343.5,427.5
343.5,426.5
337.5,420.5
338.5,420.5
339.5,420.5
340.5,420.5
341.5,420.5
341.5,420.5
341.5,419.5
342.5,419.5
342.5,418.5
343.5,418.5
343.5,417.5
344.5,417.5
345.5,417.5
346.5,417.5
347.5,417.5
348.5,417.5
349.5,417.5
350.5,417.5
351.5,417.5
343.5,426.5
344.5,426.5
345.5,426.5
346.5,426.5
346.5,427.5
347.5,427.5
