x,y
461.5,385.5
462.5,385.5
463.5,385.5
464.5,385.5
464.5,386.5
465.5,386.5
466.5,386.5
467.5,386.5
468.5,386.5
469.5,386.5
470.5,386.5
463.5,365.5
464.5,365.5
464.5,364.5
465.5,364.5
466.5,364.5
467.5,364.5
468.5,364.5
469.5,364.5
470.5,364.5
471.5,364.5
472.5,364.5
473.5,364.5
474.5,364.5
475.5,364.5
476.5,364.5
477.5,364.5
477.5,363.5
478.5,363.5
479.5,363.5
480.5,363.5
480.5,364.5
470.5,386.5
471.5,386.5
472.5,386.5
472.5,385.5
473.5,385.5
474.5,385.5
475.5,385.5
475.5,384.5
476.5,384.5
477.5,384.5
477.5,383.5
478.5,383.5
479.5,383.5
480.5,383.5
480.5,364.5
481.5,364.5
481.5,363.5
482.5,363.5
483.5,363.5
480.5,383.5
481.5,383.5
481.5,382.5
481.5,382.5
482.5,382.5
482.5,383.5
483.5,383.5
484.5,383.5
484.5,382.5
485.5,382.5
486.5,382.5
487.5,382.5
488.5,382.5
489.5,382.5
490.5,382.5
490.5,381.5
491.5,381.5
483.5,363.5
484.5,363.5
485.5,363.5
486.5,363.5
487.5,363.5
488.5,363.5
488.5,363.5
488.5,362.5
489.5,362.5
490.5,362.5
491.5,362.5
492.5,362.5
493.5,362.5
494.5,362.5
491.5,381.5
492.5,381.5
493.5,381.5
493.5,381.5
494.5,381.5
494.5,380.5
494.5,362.5
495.5,362.5
495.5,361.5
496.5,361.5
494.5,380.5
495.5,380.5
495.5,381.5
496.5,381.5
497.5,381.5
498.5,381.5
499.5,381.5
500.5,381.5
501.5,381.5
496.5,361.5
497.5,361.5
498.5,361.5
499.5,361.5
500.5,361.5
501.5,361.5
501.5,360.5
502.5,360.5
501.5,381.5
501.5,380.5
502.5,380.5
502.5,360.5
502.5,361.5
503.5,361.5
504.5,361.5
502.5,380.5
503.5,380.5
503.5,379.5
504.5,379.5
504.5,361.5
504.5,360.5
505.5,360.5
506.5,360.5
507.5,360.5
508.5,360.5
509.5,360.5
510.5,360.5
511.5,360.5
512.5,360.5
512.5,359.5
513.5,359.5
504.5,379.5
504.5,380.5
505.5,380.5
506.5,380.5
507.5,380.5
507.5,379.5
508.5,379.5
509.5,379.5
510.5,379.5
510.5,379.5
511.5,379.5
512.5,379.5
513.5,379.5
514.5,379.5
514.5,378.5
515.5,378.5
513.5,359.5
514.5,359.5
514.5,360.5
515.5,360.5
515.5,360.5
515.5,359.5
516.5,359.5
517.5,359.5
518.5,359.5
518.5,358.5
515.5,378.5
516.5,378.5
517.5,378.5
518.5,378.5
518.5,358.5
519.5,358.5
519.5,359.5
520.5,359.5
520.5,358.5
521.5,358.5
522.5,358.5
523.5,358.5
524.5,358.5
525.5,358.5
526.5,358.5
527.5,358.5
518.5,378.5
519.5,378.5
520.5,378.5
520.5,377.5
521.5,377.5
522.5,377.5
522.5,377.5
523.5,377.5
524.5,377.5
525.5,377.5
526.5,377.5
527.5,377.5
528.5,377.5
528.5,376.5
527.5,358.5
528.5,358.5
528.5,357.5
529.5,357.5
530.5,357.5
528.5,376.5
529.5,376.5
530.5,376.5
530.5,377.5
531.5,377.5
530.5,357.5
531.5,357.5
532.5,357.5
533.5,357.5
534.5,357.5
535.5,357.5
536.5,357.5
536.5,356.5
537.5,356.5
