x,y
242.5,475.5
242.5,474.5
243.5,474.5
244.5,474.5
245.5,474.5
246.5,474.5
247.5,474.5
248.5,474.5
249.5,474.5
250.5,474.5
250.5,475.5
251.5,475.5
251.5,475.5
251.5,474.5
252.5,474.5
253.5,474.5
254.5,474.5
255.5,474.5
256.5,474.5
257.5,474.5
258.5,474.5
259.5,474.5
260.5,474.5
260.5,475.5
261.5,475.5
258.5,390.5
258.5,389.5
259.5,389.5
259.5,388.5
259.5,387.5
259.5,386.5
258.5,390.5
259.5,390.5
259.5,391.5
260.5,391.5
260.5,392.5
261.5,392.5
262.5,392.5
263.5,392.5
264.5,392.5
264.5,393.5
265.5,393.5
259.5,385.5
259.5,386.5
259.5,385.5
260.5,385.5
260.5,386.5
261.5,386.5
262.5,386.5
261.5,475.5
261.5,474.5
262.5,474.5
263.5,474.5
264.5,474.5
265.5,474.5
266.5,474.5
262.5,386.5
262.5,385.5
263.5,385.5
263.5,384.5
263.5,383.5
264.5,383.5
264.5,382.5
264.5,381.5
265.5,381.5
266.5,381.5
266.5,380.5
265.5,393.5
266.5,393.5
267.5,393.5
267.5,394.5
268.5,394.5
266.5,380.5
267.5,380.5
268.5,380.5
269.5,380.5
270.5,380.5
271.5,380.5
272.5,380.5
273.5,380.5
274.5,380.5
274.5,381.5
275.5,381.5
276.5,381.5
277.5,381.5
277.5,380.5
278.5,380.5
279.5,380.5
266.5,473.5
266.5,474.5
266.5,473.5
267.5,473.5
268.5,473.5
269.5,473.5
269.5,472.5
270.5,472.5
266.5,474.5
266.5,475.5
267.5,475.5
268.5,475.5
269.5,475.5
270.5,475.5
271.5,475.5
272.5,475.5
273.5,475.5
273.5,476.5
268.5,394.5
269.5,394.5
270.5,394.5
271.5,394.5
272.5,394.5
273.5,394.5
274.5,394.5
274.5,395.5
275.5,395.5
276.5,395.5
277.5,395.5
277.5,394.5
278.5,394.5
278.5,393.5
270.5,472.5
270.5,473.5
271.5,473.5
272.5,473.5
273.5,473.5
274.5,473.5
275.5,473.5
