x,y
46.5,728.5
46.5,729.5
46.5,730.5
46.5,728.5
47.5,728.5
47.5,727.5
48.5,727.5
48.5,726.5
48.5,725.5
46.5,730.5
46.5,731.5
46.5,732.5
47.5,732.5
47.5,733.5
48.5,733.5
48.5,725.5
48.5,724.5
48.5,723.5
49.5,723.5
49.5,722.5
50.5,722.5
50.5,721.5
48.5,733.5
48.5,734.5
48.5,735.5
48.5,736.5
48.5,737.5
49.5,737.5
49.5,738.5
50.5,738.5
50.5,739.5
50.5,721.5
50.5,720.5
51.5,720.5
52.5,720.5
53.5,720.5
53.5,719.5
54.5,719.5
54.5,718.5
55.5,718.5
56.5,718.5
57.5,718.5
57.5,717.5
58.5,717.5
59.5,717.5
60.5,717.5
60.5,716.5
61.5,716.5
62.5,716.5
62.5,715.5
63.5,715.5
64.5,715.5
64.5,714.5
65.5,714.5
66.5,714.5
67.5,714.5
67.5,713.5
68.5,713.5
68.5,712.5
69.5,712.5
50.5,739.5
50.5,740.5
51.5,740.5
51.5,741.5
52.5,741.5
52.5,742.5
53.5,742.5
53.5,743.5
53.5,744.5
53.5,744.5
54.5,744.5
54.5,745.5
55.5,745.5
55.5,746.5
55.5,746.5
56.5,746.5
57.5,746.5
57.5,747.5
58.5,747.5
59.5,747.5
60.5,747.5
60.5,748.5
61.5,748.5
61.5,749.5
62.5,749.5
62.5,749.5
63.5,749.5
63.5,750.5
64.5,750.5
65.5,750.5
65.5,751.5
66.5,751.5
66.5,752.5
67.5,752.5
68.5,752.5
69.5,752.5
69.5,753.5
70.5,753.5
65.5,647.5
65.5,646.5
65.5,645.5
65.5,644.5
64.5,644.5
64.5,643.5
64.5,642.5
64.5,641.5
64.5,640.5
64.5,639.5
65.5,639.5
65.5,638.5
66.5,638.5
66.5,637.5
66.5,636.5
65.5,647.5
66.5,647.5
66.5,648.5
67.5,648.5
68.5,648.5
69.5,648.5
70.5,648.5
70.5,649.5
71.5,649.5
71.5,650.5
72.5,650.5
73.5,650.5
74.5,650.5
66.5,636.5
67.5,636.5
68.5,636.5
68.5,635.5
69.5,635.5
70.5,635.5
70.5,634.5
71.5,634.5
71.5,633.5
72.5,633.5
72.5,632.5
73.5,632.5
74.5,632.5
75.5,632.5
76.5,632.5
76.5,631.5
77.5,631.5
78.5,631.5
79.5,631.5
69.5,712.5
70.5,712.5
71.5,712.5
72.5,712.5
70.5,753.5
71.5,753.5
72.5,753.5
73.5,753.5
73.5,754.5
74.5,754.5
75.5,754.5
75.5,755.5
76.5,755.5
72.5,712.5
72.5,711.5
73.5,711.5
74.5,711.5
75.5,711.5
75.5,710.5
76.5,710.5
74.5,650.5
74.5,651.5
75.5,651.5
75.5,652.5
76.5,652.5
77.5,652.5
77.5,653.5
78.5,653.5
79.5,653.5
79.5,654.5
80.5,654.5
76.5,710.5
77.5,710.5
77.5,709.5
78.5,709.5
79.5,709.5
80.5,709.5
81.5,709.5
81.5,708.5
82.5,708.5
83.5,708.5
84.5,708.5
85.5,708.5
86.5,708.5
86.5,707.5
87.5,707.5
76.5,755.5
77.5,755.5
78.5,755.5
78.5,756.5
79.5,756.5
80.5,756.5
81.5,756.5
77.5,589.5
77.5,588.5
78.5,588.5
78.5,587.5
78.5,586.5
77.5,589.5
78.5,589.5
78.5,590.5
79.5,590.5
79.5,591.5
80.5,591.5
80.5,592.5
81.5,592.5
82.5,592.5
82.5,593.5
83.5,593.5
83.5,594.5
84.5,594.5
85.5,594.5
86.5,594.5
87.5,594.5
88.5,594.5
88.5,595.5
89.5,595.5
78.5,586.5
79.5,586.5
79.5,585.5
80.5,585.5
81.5,585.5
81.5,584.5
82.5,584.5
82.5,583.5
83.5,583.5
84.5,583.5
85.5,583.5
85.5,582.5
86.5,582.5
87.5,582.5
88.5,582.5
89.5,582.5
89.5,581.5
90.5,581.5
91.5,581.5
79.5,631.5
79.5,630.5
80.5,630.5
81.5,630.5
82.5,630.5
82.5,629.5
83.5,629.5
84.5,629.5
85.5,629.5
86.5,629.5
86.5,628.5
87.5,628.5
88.5,628.5
88.5,627.5
80.5,654.5
81.5,654.5
82.5,654.5
83.5,654.5
81.5,756.5
81.5,757.5
82.5,757.5
82.5,757.5
83.5,757.5
83.5,758.5
84.5,758.5
85.5,758.5
86.5,758.5
86.5,759.5
87.5,759.5
88.5,759.5
88.5,760.5
89.5,760.5
83.5,654.5
84.5,654.5
84.5,655.5
85.5,655.5
85.5,656.5
86.5,656.5
87.5,656.5
87.5,656.5
88.5,656.5
89.5,656.5
89.5,657.5
90.5,657.5
87.5,707.5
88.5,707.5
89.5,707.5
90.5,707.5
88.5,627.5
89.5,627.5
89.5,628.5
90.5,628.5
90.5,627.5
91.5,627.5
89.5,595.5
90.5,595.5
90.5,596.5
91.5,596.5
92.5,596.5
89.5,760.5
90.5,760.5
90.5,552.5
90.5,553.5
90.5,554.5
90.5,555.5
90.5,556.5
91.5,556.5
91.5,557.5
92.5,557.5
92.5,558.5
90.5,552.5
91.5,552.5
92.5,552.5
92.5,551.5
93.5,551.5
94.5,551.5
95.5,551.5
95.5,550.5
96.5,550.5
96.5,549.5
90.5,657.5
91.5,657.5
91.5,656.5
90.5,707.5
90.5,706.5
91.5,706.5
92.5,706.5
93.5,706.5
93.5,705.5
94.5,705.5
95.5,705.5
96.5,705.5
90.5,760.5
91.5,760.5
92.5,760.5
92.5,761.5
93.5,761.5
94.5,761.5
95.5,761.5
95.5,762.5
96.5,762.5
96.5,763.5
97.5,763.5
98.5,763.5
99.5,763.5
91.5,581.5
92.5,581.5
93.5,581.5
93.5,580.5
