x,y
1.5,462.5
1.5,463.5
1.5,464.5
2.5,464.5
2.5,465.5
1.5,465.5
1.5,466.5
2.5,466.5
3.5,466.5
4.5,466.5
5.5,466.5
6.5,466.5
6.5,467.5
7.5,467.5
8.5,467.5
9.5,467.5
10.5,467.5
11.5,467.5
12.5,467.5
10.5,439.5
10.5,440.5
11.5,440.5
11.5,441.5
10.5,516.5
10.5,517.5
11.5,517.5
12.5,517.5
13.5,517.5
14.5,517.5
15.5,517.5
15.5,518.5
16.5,518.5
17.5,518.5
11.5,441.5
12.5,441.5
12.5,440.5
13.5,440.5
14.5,440.5
15.5,440.5
16.5,440.5
17.5,440.5
18.5,440.5
18.5,441.5
19.5,441.5
19.5,440.5
20.5,440.5
11.5,456.5
12.5,456.5
13.5,456.5
14.5,456.5
15.5,456.5
15.5,457.5
16.5,457.5
16.5,456.5
17.5,456.5
18.5,456.5
19.5,456.5
20.5,456.5
21.5,456.5
12.5,467.5
13.5,467.5
14.5,467.5
15.5,467.5
16.5,467.5
17.5,467.5
18.5,467.5
19.5,467.5
20.5,467.5
21.5,467.5
21.5,466.5
17.5,518.5
17.5,517.5
18.5,517.5
19.5,517.5
19.5,518.5
20.5,518.5
21.5,518.5
22.5,518.5
23.5,518.5
20.5,440.5
20.5,441.5
21.5,441.5
22.5,441.5
23.5,441.5
24.5,441.5
25.5,441.5
26.5,441.5
26.5,442.5
21.5,456.5
22.5,456.5
21.5,466.5
22.5,466.5
22.5,467.5
23.5,467.5
24.5,467.5
24.5,466.5
25.5,466.5
25.5,467.5
26.5,467.5
27.5,467.5
27.5,466.5
28.5,466.5
22.5,456.5
23.5,456.5
24.5,456.5
25.5,456.5
26.5,456.5
27.5,456.5
28.5,456.5
28.5,457.5
29.5,457.5
23.5,518.5
24.5,518.5
24.5,517.5
25.5,517.5
26.5,517.5
27.5,517.5
27.5,516.5
28.5,516.5
28.5,515.5
29.5,515.5
26.5,442.5
27.5,442.5
27.5,441.5
28.5,441.5
28.5,441.5
28.5,442.5
29.5,442.5
29.5,441.5
30.5,441.5
31.5,441.5
32.5,441.5
33.5,441.5
34.5,441.5
34.5,440.5
35.5,440.5
