x,y
140.5,420.5
141.5,420.5
141.5,421.5
142.5,421.5
143.5,421.5
144.5,421.5
145.5,421.5
145.5,420.5
146.5,420.5
146.5,420.5
146.5,421.5
147.5,421.5
148.5,421.5
149.5,421.5
149.5,422.5
149.5,422.5
150.5,422.5
150.5,421.5
151.5,421.5
152.5,421.5
153.5,421.5
153.5,422.5
154.5,422.5
155.5,422.5
155.5,422.5
156.5,422.5
157.5,422.5
158.5,422.5
158.5,423.5
159.5,423.5
160.5,423.5
161.5,423.5
162.5,423.5
163.5,423.5
163.5,423.5
163.5,422.5
163.5,421.5
164.5,421.5
164.5,420.5
165.5,420.5
165.5,419.5
166.5,419.5
167.5,419.5
168.5,419.5
168.5,418.5
169.5,418.5
169.5,417.5
168.5,417.5
168.5,416.5
169.5,416.5
169.5,415.5
168.5,415.5
168.5,414.5
169.5,414.5
169.5,413.5
170.5,413.5
170.5,412.5
180.5,424.5
180.5,423.5
180.5,422.5
180.5,421.5
180.5,420.5
180.5,419.5
180.5,418.5
180.5,417.5
180.5,416.5
180.5,415.5
180.5,414.5
180.5,413.5
181.5,413.5
181.5,412.5
181.5,412.5
181.5,411.5
182.5,411.5
183.5,411.5
183.5,410.5
184.5,410.5
184.5,410.5
185.5,410.5
186.5,410.5
186.5,411.5
187.5,411.5
188.5,411.5
189.5,411.5
189.5,410.5
190.5,410.5
190.5,410.5
191.5,410.5
192.5,410.5
192.5,409.5
193.5,409.5
194.5,409.5
194.5,409.5
195.5,409.5
195.5,410.5
196.5,410.5
196.5,410.5
196.5,409.5
197.5,409.5
197.5,408.5
198.5,408.5
199.5,408.5
199.5,409.5
200.5,409.5
201.5,409.5
201.5,409.5
202.5,409.5
202.5,408.5
203.5,408.5
204.5,408.5
204.5,407.5
205.5,407.5
206.5,407.5
206.5,408.5
207.5,408.5
208.5,408.5
208.5,408.5
208.5,407.5
209.5,407.5
210.5,407.5
210.5,407.5
211.5,407.5
212.5,407.5
213.5,407.5
213.5,406.5
214.5,406.5
215.5,406.5
216.5,406.5
216.5,407.5
217.5,407.5
218.5,407.5
218.5,407.5
218.5,406.5
219.5,406.5
220.5,406.5
221.5,406.5
221.5,406.5
222.5,406.5
222.5,407.5
223.5,407.5
224.5,407.5
225.5,407.5
225.5,406.5
225.5,407.5
225.5,406.5
226.5,406.5
226.5,407.5
227.5,407.5
228.5,407.5
229.5,407.5
230.5,407.5
231.5,407.5
232.5,407.5
258.5,400.5
259.5,400.5
260.5,400.5
261.5,400.5
262.5,400.5
263.5,400.5
263.5,399.5
264.5,399.5
264.5,399.5
265.5,399.5
266.5,399.5
267.5,399.5
268.5,399.5
269.5,399.5
269.5,400.5
269.5,400.5
270.5,400.5
270.5,399.5
271.5,399.5
272.5,399.5
272.5,398.5
272.5,398.5
273.5,398.5
273.5,399.5
274.5,399.5
275.5,399.5
276.5,399.5
277.5,399.5
278.5,399.5
279.5,399.5
279.5,399.5
280.5,399.5
281.5,399.5
281.5,398.5
281.5,398.5
282.5,398.5
282.5,399.5
283.5,399.5
284.5,399.5
285.5,399.5
286.5,399.5
287.5,399.5
288.5,399.5
289.5,399.5
290.5,399.5
291.5,399.5
292.5,399.5
293.5,399.5
294.5,399.5
294.5,398.5
295.5,398.5
295.5,398.5
295.5,399.5
296.5,399.5
296.5,398.5
297.5,398.5
298.5,398.5
298.5,399.5
298.5,399.5
299.5,399.5
299.5,398.5
300.5,398.5
301.5,398.5
302.5,398.5
303.5,398.5
303.5,399.5
304.5,399.5
305.5,399.5
306.5,399.5
306.5,400.5
306.5,400.5
307.5,400.5
308.5,400.5
308.5,399.5
309.5,399.5
310.5,399.5
310.5,399.5
311.5,399.5
312.5,399.5
313.5,399.5
314.5,399.5
314.5,400.5
315.5,400.5
315.5,400.5
316.5,400.5
317.5,400.5
318.5,400.5
