x,y
335.5,556.5
335.5,557.5
336.5,557.5
336.5,558.5
337.5,558.5
337.5,557.5
338.5,557.5
338.5,557.5
338.5,558.5
339.5,558.5
339.5,559.5
340.5,559.5
340.5,560.5
341.5,560.5
341.5,561.5
341.5,562.5
342.5,562.5
342.5,562.5
343.5,562.5
343.5,563.5
344.5,563.5
345.5,563.5
346.5,563.5
346.5,563.5
347.5,563.5
347.5,564.5
348.5,564.5
349.5,564.5
349.5,564.5
349.5,565.5
350.5,565.5
350.5,565.5
351.5,565.5
352.5,565.5
352.5,566.5
353.5,566.5
353.5,566.5
354.5,566.5
355.5,566.5
355.5,567.5
356.5,567.5
356.5,568.5
357.5,568.5
358.5,568.5
359.5,568.5
360.5,568.5
361.5,568.5
362.5,568.5
362.5,569.5
363.5,569.5
364.5,569.5
364.5,570.5
365.5,570.5
366.5,570.5
367.5,570.5
357.5,542.5
358.5,542.5
359.5,542.5
360.5,542.5
360.5,543.5
361.5,543.5
362.5,543.5
362.5,543.5
363.5,543.5
364.5,543.5
365.5,543.5
365.5,544.5
366.5,544.5
367.5,544.5
367.5,545.5
368.5,545.5
366.5,524.5
366.5,525.5
367.5,525.5
367.5,525.5
367.5,524.5
368.5,524.5
369.5,524.5
370.5,524.5
371.5,524.5
371.5,525.5
372.5,525.5
372.5,526.5
367.5,570.5
368.5,570.5
368.5,571.5
369.5,571.5
370.5,571.5
370.5,572.5
368.5,545.5
369.5,545.5
370.5,545.5
371.5,545.5
370.5,572.5
371.5,572.5
371.5,571.5
372.5,571.5
373.5,571.5
374.5,571.5
374.5,572.5
375.5,572.5
376.5,572.5
371.5,545.5
372.5,545.5
372.5,526.5
373.5,526.5
374.5,526.5
375.5,526.5
376.5,526.5
377.5,526.5
378.5,526.5
379.5,526.5
379.5,527.5
380.5,527.5
380.5,526.5
372.5,545.5
373.5,545.5
374.5,545.5
375.5,545.5
376.5,545.5
377.5,545.5
378.5,545.5
379.5,545.5
380.5,545.5
381.5,545.5
382.5,545.5
382.5,544.5
383.5,544.5
375.5,586.5
375.5,585.5
375.5,584.5
376.5,584.5
376.5,583.5
376.5,582.5
375.5,586.5
376.5,586.5
377.5,586.5
378.5,586.5
378.5,587.5
379.5,587.5
380.5,587.5
376.5,572.5
376.5,573.5
377.5,573.5
377.5,574.5
378.5,574.5
379.5,574.5
379.5,573.5
380.5,573.5
380.5,574.5
381.5,574.5
382.5,574.5
383.5,574.5
380.5,526.5
381.5,526.5
382.5,526.5
382.5,527.5
383.5,527.5
384.5,527.5
385.5,527.5
385.5,528.5
386.5,528.5
380.5,587.5
380.5,586.5
381.5,586.5
381.5,587.5
382.5,587.5
383.5,587.5
384.5,587.5
385.5,587.5
385.5,586.5
386.5,586.5
387.5,586.5
388.5,586.5
389.5,586.5
382.5,453.5
383.5,453.5
384.5,453.5
384.5,454.5
385.5,454.5
385.5,453.5
386.5,453.5
383.5,544.5
383.5,545.5
384.5,545.5
385.5,545.5
385.5,544.5
383.5,574.5
384.5,574.5
385.5,574.5
386.5,574.5
387.5,574.5
388.5,574.5
389.5,574.5
389.5,575.5
390.5,575.5
385.5,544.5
386.5,544.5
387.5,544.5
387.5,545.5
388.5,545.5
386.5,453.5
387.5,453.5
388.5,453.5
389.5,453.5
390.5,453.5
391.5,453.5
392.5,453.5
393.5,453.5
386.5,528.5
386.5,527.5
387.5,527.5
388.5,527.5
389.5,527.5
390.5,527.5
391.5,527.5
392.5,527.5
393.5,527.5
388.5,506.5
389.5,506.5
390.5,506.5
390.5,507.5
391.5,507.5
392.5,507.5
392.5,508.5
393.5,508.5
393.5,507.5
394.5,507.5
394.5,508.5
395.5,508.5
388.5,545.5
388.5,544.5
389.5,544.5
390.5,544.5
390.5,545.5
391.5,545.5
391.5,546.5
392.5,546.5
393.5,546.5
394.5,546.5
395.5,546.5
396.5,546.5
397.5,546.5
397.5,545.5
398.5,545.5
399.5,545.5
400.5,545.5
389.5,585.5
389.5,586.5
389.5,585.5
390.5,585.5
391.5,585.5
392.5,585.5
392.5,586.5
393.5,586.5
393.5,587.5
394.5,587.5
394.5,588.5
395.5,588.5
396.5,588.5
397.5,588.5
390.5,574.5
390.5,573.5
390.5,572.5
390.5,571.5
390.5,570.5
391.5,570.5
391.5,569.5
390.5,574.5
390.5,575.5
391.5,569.5
392.5,569.5
392.5,568.5
393.5,568.5
393.5,453.5
394.5,453.5
395.5,453.5
396.5,453.5
396.5,452.5
397.5,452.5
398.5,452.5
399.5,452.5
393.5,527.5
393.5,528.5
394.5,528.5
395.5,528.5
396.5,528.5
397.5,528.5
