x,y
84.5,428.5
85.5,428.5
85.5,427.5
86.5,427.5
87.5,427.5
88.5,427.5
89.5,427.5
90.5,427.5
91.5,427.5
92.5,427.5
92.5,428.5
93.5,428.5
93.5,429.5
94.5,429.5
94.5,430.5
95.5,430.5
95.5,431.5
96.5,431.5
96.5,432.5
97.5,432.5
97.5,433.5
98.5,433.5
99.5,433.5
99.5,434.5
100.5,434.5
100.5,435.5
101.5,435.5
102.5,435.5
102.5,435.5
102.5,436.5
103.5,436.5
103.5,437.5
103.5,438.5
102.5,438.5
102.5,439.5
103.5,439.5
103.5,440.5
103.5,441.5
102.5,441.5
102.5,442.5
103.5,442.5
103.5,443.5
102.5,435.5
103.5,435.5
104.5,435.5
105.5,435.5
106.5,435.5
106.5,434.5
107.5,434.5
103.5,427.5
103.5,428.5
104.5,428.5
104.5,429.5
104.5,429.5
104.5,430.5
105.5,430.5
105.5,431.5
106.5,431.5
106.5,432.5
107.5,432.5
107.5,433.5
107.5,434.5
160.5,458.5
161.5,458.5
161.5,459.5
162.5,459.5
162.5,460.5
163.5,460.5
163.5,461.5
164.5,461.5
164.5,461.5
164.5,462.5
165.5,462.5
165.5,463.5
166.5,463.5
166.5,464.5
167.5,464.5
168.5,464.5
168.5,465.5
169.5,465.5
170.5,465.5
170.5,466.5
171.5,466.5
171.5,467.5
171.5,468.5
172.5,468.5
172.5,469.5
172.5,469.5
172.5,470.5
172.5,471.5
173.5,471.5
173.5,472.5
173.5,472.5
174.5,472.5
175.5,472.5
175.5,473.5
176.5,473.5
176.5,474.5
176.5,474.5
177.5,474.5
177.5,475.5
178.5,475.5
179.5,475.5
179.5,476.5
180.5,476.5
181.5,476.5
181.5,477.5
182.5,477.5
183.5,477.5
184.5,477.5
184.5,478.5
185.5,478.5
185.5,479.5
186.5,479.5
186.5,480.5
187.5,480.5
178.5,456.5
179.5,456.5
179.5,457.5
180.5,457.5
180.5,458.5
181.5,458.5
182.5,458.5
183.5,458.5
183.5,459.5
184.5,459.5
185.5,459.5
185.5,460.5
186.5,460.5
187.5,460.5
187.5,461.5
188.5,461.5
189.5,461.5
189.5,462.5
190.5,462.5
190.5,463.5
191.5,463.5
192.5,463.5
193.5,463.5
193.5,464.5
194.5,464.5
195.5,464.5
196.5,464.5
197.5,464.5
198.5,464.5
199.5,464.5
200.5,464.5
201.5,464.5
201.5,465.5
202.5,465.5
203.5,465.5
203.5,466.5
187.5,480.5
188.5,480.5
189.5,480.5
190.5,480.5
190.5,481.5
191.5,481.5
192.5,481.5
192.5,482.5
192.5,482.5
193.5,482.5
194.5,482.5
195.5,482.5
196.5,482.5
