x,y
78.5,476.5
79.5,476.5
80.5,476.5
81.5,476.5
81.5,477.5
81.5,477.5
82.5,477.5
82.5,476.5
83.5,476.5
84.5,476.5
85.5,476.5
86.5,476.5
86.5,476.5
87.5,476.5
88.5,476.5
88.5,476.5
88.5,477.5
89.5,477.5
90.5,477.5
91.5,477.5
92.5,477.5
93.5,477.5
94.5,477.5
95.5,477.5
96.5,477.5
96.5,478.5
96.5,478.5
97.5,478.5
98.5,478.5
99.5,478.5
100.5,478.5
101.5,478.5
102.5,478.5
103.5,478.5
103.5,478.5
104.5,478.5
104.5,479.5
105.5,479.5
106.5,479.5
107.5,479.5
107.5,480.5
108.5,480.5
109.5,480.5
110.5,480.5
111.5,480.5
111.5,481.5
112.5,481.5
112.5,481.5
113.5,481.5
114.5,481.5
114.5,482.5
115.5,482.5
116.5,482.5
117.5,482.5
118.5,482.5
119.5,482.5
120.5,482.5
120.5,481.5
121.5,481.5
121.5,481.5
121.5,482.5
122.5,482.5
122.5,482.5
123.5,482.5
124.5,482.5
124.5,481.5
125.5,481.5
125.5,482.5
126.5,482.5
288.5,510.5
289.5,510.5
290.5,510.5
291.5,510.5
292.5,510.5
292.5,511.5
293.5,511.5
294.5,511.5
295.5,511.5
296.5,511.5
290.5,506.5
290.5,507.5
291.5,507.5
292.5,507.5
293.5,507.5
294.5,507.5
294.5,508.5
295.5,508.5
296.5,508.5
296.5,508.5
297.5,508.5
298.5,508.5
298.5,507.5
296.5,511.5
297.5,511.5
298.5,511.5
299.5,511.5
299.5,512.5
300.5,512.5
301.5,512.5
302.5,512.5
303.5,512.5
298.5,507.5
299.5,507.5
299.5,508.5
300.5,508.5
301.5,508.5
301.5,509.5
302.5,509.5
303.5,509.5
304.5,509.5
303.5,512.5
304.5,512.5
305.5,512.5
306.5,512.5
307.5,512.5
307.5,513.5
308.5,513.5
304.5,509.5
305.5,509.5
306.5,509.5
307.5,509.5
308.5,509.5
309.5,509.5
310.5,509.5
310.5,510.5
311.5,510.5
312.5,510.5
308.5,513.5
309.5,513.5
310.5,513.5
311.5,513.5
312.5,513.5
312.5,510.5
313.5,510.5
314.5,510.5
315.5,510.5
316.5,510.5
317.5,510.5
318.5,510.5
312.5,513.5
313.5,513.5
314.5,513.5
315.5,513.5
316.5,513.5
316.5,514.5
317.5,514.5
318.5,514.5
319.5,514.5
320.5,514.5
320.5,515.5
318.5,510.5
319.5,510.5
319.5,511.5
320.5,511.5
321.5,511.5
322.5,511.5
320.5,515.5
321.5,515.5
321.5,514.5
322.5,514.5
322.5,511.5
323.5,511.5
324.5,511.5
325.5,511.5
326.5,511.5
327.5,511.5
327.5,510.5
328.5,510.5
322.5,514.5
323.5,514.5
324.5,514.5
325.5,514.5
326.5,514.5
327.5,514.5
328.5,514.5
328.5,515.5
329.5,515.5
330.5,515.5
331.5,515.5
328.5,510.5
328.5,511.5
329.5,511.5
330.5,511.5
330.5,512.5
330.5,512.5
331.5,512.5
332.5,512.5
333.5,512.5
334.5,512.5
335.5,512.5
335.5,511.5
336.5,511.5
331.5,515.5
332.5,515.5
333.5,515.5
334.5,515.5
334.5,516.5
335.5,516.5
336.5,516.5
336.5,517.5
336.5,511.5
336.5,512.5
337.5,512.5
338.5,512.5
339.5,512.5
340.5,512.5
340.5,513.5
336.5,517.5
337.5,517.5
337.5,516.5
338.5,516.5
339.5,516.5
340.5,516.5
341.5,516.5
340.5,513.5
341.5,513.5
341.5,512.5
341.5,512.5
342.5,512.5
342.5,513.5
343.5,513.5
344.5,513.5
345.5,513.5
346.5,513.5
347.5,513.5
348.5,513.5
349.5,513.5
350.5,513.5
341.5,516.5
342.5,516.5
343.5,516.5
344.5,516.5
344.5,517.5
345.5,517.5
346.5,517.5
347.5,517.5
348.5,517.5
349.5,517.5
350.5,517.5
350.5,513.5
351.5,513.5
351.5,514.5
352.5,514.5
353.5,514.5
354.5,514.5
355.5,514.5
356.5,514.5
357.5,514.5
357.5,513.5
358.5,513.5
350.5,517.5
350.5,518.5
351.5,518.5
352.5,518.5
352.5,518.5
353.5,518.5
354.5,518.5
355.5,518.5
356.5,518.5
357.5,518.5
357.5,519.5
357.5,519.5
358.5,519.5
358.5,518.5
358.5,513.5
358.5,514.5
359.5,514.5
358.5,518.5
359.5,518.5
359.5,519.5
360.5,519.5
361.5,519.5
362.5,519.5
362.5,520.5
363.5,520.5
359.5,514.5
360.5,514.5
361.5,514.5
362.5,514.5
362.5,515.5
363.5,515.5
364.5,515.5
365.5,515.5
366.5,515.5
367.5,515.5
368.5,515.5
369.5,515.5
370.5,515.5
363.5,520.5
363.5,519.5
364.5,519.5
365.5,519.5
366.5,519.5
367.5,519.5
367.5,520.5
368.5,520.5
369.5,520.5
369.5,520.5
370.5,520.5
371.5,520.5
372.5,520.5
373.5,520.5
373.5,521.5
374.5,521.5
370.5,515.5
371.5,515.5
372.5,515.5
373.5,515.5
374.5,515.5
375.5,515.5
376.5,515.5
374.5,521.5
374.5,520.5
375.5,520.5
376.5,520.5
376.5,521.5
377.5,521.5
378.5,521.5
379.5,521.5
376.5,515.5
376.5,516.5
377.5,516.5
377.5,515.5
378.5,515.5
378.5,515.5
378.5,516.5
379.5,516.5
380.5,516.5
379.5,521.5
380.5,521.5
381.5,521.5
382.5,521.5
383.5,521.5
383.5,522.5
384.5,522.5
385.5,522.5
380.5,516.5
381.5,516.5
382.5,516.5
383.5,516.5
384.5,516.5
384.5,517.5
385.5,517.5
386.5,517.5
385.5,522.5
386.5,522.5
387.5,522.5
387.5,523.5
388.5,523.5
386.5,517.5
387.5,517.5
388.5,517.5
389.5,517.5
390.5,517.5
391.5,517.5
392.5,517.5
392.5,518.5
393.5,518.5
394.5,518.5
388.5,523.5
389.5,523.5
390.5,523.5
391.5,523.5
392.5,523.5
393.5,523.5
394.5,523.5
395.5,523.5
394.5,518.5
395.5,518.5
396.5,518.5
397.5,518.5
398.5,518.5
399.5,518.5
400.5,518.5
400.5,519.5
401.5,519.5
402.5,519.5
395.5,523.5
396.5,523.5
396.5,524.5
397.5,524.5
398.5,524.5
399.5,524.5
399.5,525.5
400.5,525.5
400.5,525.5
400.5,524.5
401.5,524.5
402.5,524.5
402.5,519.5
403.5,519.5
404.5,519.5
405.5,519.5
406.5,519.5
407.5,519.5
408.5,519.5
408.5,520.5
409.5,520.5
410.5,520.5
411.5,520.5
412.5,520.5
402.5,524.5
402.5,525.5
403.5,525.5
404.5,525.5
405.5,525.5
406.5,525.5
406.5,525.5
407.5,525.5
408.5,525.5
409.5,525.5
410.5,525.5
410.5,525.5
411.5,525.5
412.5,525.5
412.5,519.5
412.5,520.5
412.5,519.5
413.5,519.5
413.5,520.5
414.5,520.5
415.5,520.5
416.5,520.5
417.5,520.5
418.5,520.5
419.5,520.5
419.5,521.5
420.5,521.5
412.5,525.5
413.5,525.5
414.5,525.5
414.5,526.5
415.5,526.5
416.5,526.5
417.5,526.5
418.5,526.5
419.5,526.5
420.5,526.5
420.5,521.5
421.5,521.5
422.5,521.5
423.5,521.5
424.5,521.5
425.5,521.5
426.5,521.5
427.5,521.5
428.5,521.5
429.5,521.5
420.5,526.5
421.5,526.5
421.5,527.5
422.5,527.5
423.5,527.5
424.5,527.5
425.5,527.5
426.5,527.5
426.5,528.5
427.5,528.5
427.5,528.5
427.5,527.5
428.5,527.5
428.5,528.5
429.5,528.5
429.5,527.5
429.5,521.5
429.5,522.5
429.5,522.5
430.5,522.5
431.5,522.5
432.5,522.5
433.5,522.5
434.5,522.5
435.5,522.5
436.5,522.5
437.5,522.5
438.5,522.5
439.5,522.5
439.5,523.5
440.5,523.5
429.5,527.5
430.5,527.5
430.5,528.5
431.5,528.5
432.5,528.5
433.5,528.5
434.5,528.5
435.5,528.5
435.5,529.5
436.5,529.5
436.5,529.5
437.5,529.5
438.5,529.5
439.5,529.5
439.5,528.5
440.5,528.5
440.5,523.5
441.5,523.5
442.5,523.5
443.5,523.5
444.5,523.5
444.5,524.5
445.5,524.5
440.5,528.5
440.5,529.5
441.5,529.5
442.5,529.5
443.5,529.5
444.5,529.5
445.5,529.5
445.5,524.5
446.5,524.5
447.5,524.5
448.5,524.5
449.5,524.5
450.5,524.5
445.5,529.5
446.5,529.5
446.5,530.5
447.5,530.5
448.5,530.5
449.5,530.5
450.5,530.5
450.5,531.5
450.5,524.5
451.5,524.5
452.5,524.5
452.5,525.5
450.5,531.5
451.5,531.5
451.5,530.5
452.5,530.5
452.5,525.5
453.5,525.5
454.5,525.5
455.5,525.5
456.5,525.5
457.5,525.5
458.5,525.5
459.5,525.5
460.5,525.5
461.5,525.5
461.5,526.5
462.5,526.5
452.5,530.5
453.5,530.5
453.5,531.5
454.5,531.5
455.5,531.5
456.5,531.5
456.5,531.5
457.5,531.5
458.5,531.5
459.5,531.5
460.5,531.5
461.5,531.5
461.5,531.5
462.5,531.5
462.5,532.5
463.5,532.5
462.5,526.5
462.5,525.5
463.5,525.5
464.5,525.5
464.5,526.5
465.5,526.5
466.5,526.5
466.5,525.5
463.5,532.5
464.5,532.5
465.5,532.5
466.5,532.5
467.5,532.5
468.5,532.5
469.5,532.5
470.5,532.5
471.5,532.5
466.5,525.5
467.5,525.5
467.5,526.5
468.5,526.5
469.5,526.5
470.5,526.5
471.5,526.5
471.5,527.5
472.5,527.5
471.5,532.5
472.5,532.5
472.5,533.5
473.5,533.5
474.5,533.5
475.5,533.5
476.5,533.5
477.5,533.5
478.5,533.5
479.5,533.5
480.5,533.5
480.5,534.5
481.5,534.5
472.5,527.5
473.5,527.5
474.5,527.5
475.5,527.5
476.5,527.5
477.5,527.5
478.5,527.5
479.5,527.5
480.5,527.5
481.5,527.5
481.5,528.5
482.5,528.5
481.5,534.5
482.5,534.5
482.5,528.5
482.5,527.5
483.5,527.5
484.5,527.5
484.5,528.5
485.5,528.5
486.5,528.5
487.5,528.5
488.5,528.5
488.5,527.5
489.5,527.5
482.5,534.5
483.5,534.5
484.5,534.5
485.5,534.5
485.5,535.5
486.5,535.5
487.5,535.5
488.5,535.5
489.5,535.5
490.5,535.5
489.5,527.5
490.5,527.5
490.5,528.5
491.5,528.5
490.5,535.5
491.5,535.5
492.5,535.5
493.5,535.5
494.5,535.5
494.5,536.5
495.5,536.5
496.5,536.5
497.5,536.5
498.5,536.5
491.5,528.5
492.5,528.5
493.5,528.5
494.5,528.5
495.5,528.5
496.5,528.5
496.5,529.5
497.5,529.5
498.5,529.5
499.5,529.5
498.5,536.5
499.5,536.5
499.5,537.5
499.5,529.5
500.5,529.5
501.5,529.5
502.5,529.5
503.5,529.5
504.5,529.5
505.5,529.5
505.5,530.5
506.5,530.5
507.5,530.5
508.5,530.5
509.5,530.5
510.5,530.5
511.5,530.5
512.5,530.5
512.5,531.5
513.5,531.5
514.5,531.5
499.5,537.5
500.5,537.5
500.5,536.5
501.5,536.5
502.5,536.5
503.5,536.5
504.5,536.5
504.5,537.5
505.5,537.5
506.5,537.5
507.5,537.5
508.5,537.5
509.5,537.5
509.5,538.5
510.5,538.5
511.5,538.5
511.5,539.5
511.5,539.5
512.5,539.5
512.5,538.5
513.5,538.5
514.5,538.5
514.5,531.5
515.5,531.5
516.5,531.5
517.5,531.5
518.5,531.5
514.5,538.5
515.5,538.5
516.5,538.5
517.5,538.5
518.5,538.5
518.5,539.5
519.5,539.5
519.5,540.5
520.5,540.5
518.5,531.5
519.5,531.5
519.5,532.5
520.5,532.5
521.5,532.5
522.5,532.5
523.5,532.5
524.5,532.5
525.5,532.5
526.5,532.5
520.5,540.5
520.5,539.5
521.5,539.5
522.5,539.5
523.5,539.5
524.5,539.5
524.5,539.5
525.5,539.5
525.5,540.5
526.5,540.5
526.5,532.5
527.5,532.5
528.5,532.5
528.5,531.5
526.5,540.5
527.5,540.5
528.5,540.5
529.5,540.5
530.5,540.5
531.5,540.5
532.5,540.5
532.5,541.5
533.5,541.5
534.5,541.5
534.5,542.5
528.5,531.5
529.5,531.5
529.5,532.5
530.5,532.5
531.5,532.5
532.5,532.5
532.5,533.5
533.5,533.5
534.5,533.5
535.5,533.5
536.5,533.5
537.5,533.5
538.5,533.5
539.5,533.5
540.5,533.5
541.5,533.5
542.5,533.5
534.5,542.5
535.5,542.5
535.5,541.5
536.5,541.5
537.5,541.5
538.5,541.5
539.5,541.5
539.5,542.5
540.5,542.5
540.5,543.5
541.5,543.5
541.5,543.5
542.5,543.5
542.5,533.5
543.5,533.5
543.5,532.5
544.5,532.5
545.5,532.5
545.5,532.5
546.5,532.5
546.5,533.5
547.5,533.5
548.5,533.5
548.5,534.5
549.5,534.5
550.5,534.5
551.5,534.5
552.5,534.5
553.5,534.5
554.5,534.5
599.5,450.5
600.5,450.5
600.5,449.5
601.5,449.5
602.5,449.5
603.5,449.5
604.5,449.5
605.5,449.5
606.5,449.5
622.5,449.5
623.5,449.5
624.5,449.5
624.5,450.5
625.5,450.5
626.5,450.5
626.5,450.5
627.5,450.5
628.5,450.5
629.5,450.5
630.5,450.5
631.5,450.5
632.5,450.5
633.5,450.5
634.5,450.5
635.5,450.5
636.5,450.5
637.5,450.5
637.5,451.5
638.5,451.5
639.5,451.5
640.5,451.5
641.5,451.5
642.5,451.5
642.5,451.5
643.5,451.5
644.5,451.5
645.5,451.5
646.5,451.5
647.5,451.5
648.5,451.5
648.5,452.5
649.5,452.5
649.5,452.5
649.5,451.5
650.5,451.5
651.5,451.5
664.5,452.5
665.5,452.5
666.5,452.5
667.5,452.5
668.5,452.5
669.5,452.5
670.5,452.5
671.5,452.5
672.5,452.5
673.5,452.5
673.5,452.5
674.5,452.5
675.5,452.5
676.5,452.5
677.5,452.5
678.5,452.5
679.5,452.5
679.5,452.5
680.5,452.5
680.5,453.5
681.5,453.5
681.5,453.5
681.5,452.5
682.5,452.5
683.5,452.5
684.5,452.5
685.5,452.5
686.5,452.5
687.5,452.5
687.5,453.5
688.5,453.5
688.5,454.5
688.5,454.5
689.5,454.5
689.5,453.5
690.5,453.5
691.5,453.5
692.5,453.5
692.5,454.5
693.5,454.5
693.5,455.5
694.5,455.5
695.5,455.5
695.5,454.5
696.5,454.5
697.5,454.5
698.5,454.5
699.5,454.5
700.5,454.5
700.5,454.5
701.5,454.5
702.5,454.5
702.5,454.5
703.5,454.5
704.5,454.5
705.5,454.5
706.5,454.5
707.5,454.5
707.5,453.5
708.5,453.5
709.5,453.5
710.5,453.5
710.5,454.5
711.5,454.5
712.5,454.5
713.5,454.5
714.5,454.5
714.5,454.5
715.5,454.5
715.5,453.5
716.5,453.5
