x,y
216.5,479.5
216.5,480.5
216.5,481.5
217.5,481.5
217.5,482.5
218.5,482.5
218.5,483.5
219.5,483.5
220.5,483.5
221.5,483.5
221.5,484.5
222.5,484.5
222.5,484.5
222.5,483.5
223.5,483.5
224.5,483.5
225.5,483.5
225.5,484.5
226.5,484.5
227.5,484.5
228.5,484.5
229.5,484.5
230.5,484.5
231.5,484.5
232.5,484.5
233.5,484.5
233.5,484.5
233.5,485.5
234.5,485.5
235.5,485.5
236.5,485.5
237.5,485.5
238.5,485.5
239.5,485.5
240.5,485.5
240.5,486.5
241.5,486.5
242.5,486.5
243.5,486.5
244.5,486.5
244.5,487.5
245.5,487.5
246.5,487.5
247.5,487.5
247.5,488.5
248.5,488.5
248.5,488.5
248.5,487.5
249.5,487.5
250.5,487.5
250.5,487.5
250.5,488.5
251.5,488.5
252.5,488.5
253.5,488.5
254.5,488.5
255.5,488.5
256.5,488.5
256.5,488.5
257.5,488.5
257.5,489.5
258.5,489.5
258.5,489.5
259.5,489.5
260.5,489.5
261.5,489.5
262.5,489.5
263.5,489.5
264.5,489.5
265.5,489.5
266.5,489.5
267.5,489.5
268.5,489.5
268.5,489.5
268.5,490.5
269.5,490.5
269.5,490.5
270.5,490.5
271.5,490.5
271.5,491.5
272.5,491.5
273.5,491.5
274.5,491.5
275.5,491.5
275.5,492.5
276.5,492.5
277.5,492.5
278.5,492.5
279.5,492.5
280.5,492.5
281.5,492.5
282.5,492.5
282.5,493.5
283.5,493.5
284.5,493.5
285.5,493.5
285.5,492.5
285.5,492.5
286.5,492.5
286.5,493.5
287.5,493.5
288.5,493.5
289.5,493.5
290.5,493.5
291.5,493.5
292.5,493.5
292.5,493.5
292.5,494.5
293.5,494.5
294.5,494.5
295.5,494.5
294.5,414.5
295.5,414.5
295.5,415.5
296.5,415.5
296.5,416.5
297.5,416.5
298.5,416.5
298.5,417.5
299.5,417.5
295.5,494.5
296.5,494.5
297.5,494.5
298.5,494.5
299.5,494.5
300.5,494.5
301.5,494.5
301.5,495.5
302.5,495.5
303.5,495.5
303.5,494.5
304.5,494.5
299.5,417.5
300.5,417.5
300.5,418.5
301.5,418.5
302.5,418.5
303.5,418.5
303.5,418.5
304.5,418.5
305.5,418.5
306.5,418.5
307.5,418.5
308.5,418.5
309.5,418.5
310.5,418.5
311.5,418.5
311.5,419.5
312.5,419.5
304.5,494.5
304.5,495.5
305.5,495.5
305.5,495.5
306.5,495.5
307.5,495.5
308.5,495.5
308.5,496.5
309.5,496.5
310.5,496.5
311.5,496.5
312.5,496.5
312.5,419.5
313.5,419.5
314.5,419.5
315.5,419.5
316.5,419.5
317.5,419.5
312.5,496.5
313.5,496.5
313.5,496.5
314.5,496.5
315.5,496.5
316.5,496.5
317.5,496.5
318.5,496.5
319.5,496.5
320.5,496.5
321.5,496.5
322.5,496.5
317.5,419.5
318.5,419.5
319.5,419.5
320.5,419.5
321.5,419.5
322.5,419.5
323.5,419.5
322.5,496.5
322.5,497.5
323.5,497.5
324.5,497.5
325.5,497.5
326.5,497.5
327.5,497.5
328.5,497.5
328.5,498.5
329.5,498.5
330.5,498.5
331.5,498.5
332.5,498.5
333.5,498.5
334.5,498.5
335.5,498.5
336.5,498.5
336.5,498.5
336.5,499.5
337.5,499.5
338.5,499.5
339.5,499.5
339.5,499.5
340.5,499.5
341.5,499.5
341.5,500.5
342.5,500.5
343.5,500.5
344.5,500.5
344.5,500.5
345.5,500.5
346.5,500.5
347.5,500.5
347.5,501.5
348.5,501.5
349.5,501.5
