x,y
328.5,511.5
328.5,510.5
329.5,510.5
330.5,510.5
331.5,510.5
332.5,510.5
333.5,510.5
334.5,510.5
335.5,510.5
336.5,510.5
336.5,509.5
337.5,509.5
329.5,515.5
330.5,515.5
331.5,515.5
332.5,515.5
332.5,515.5
333.5,515.5
334.5,515.5
335.5,515.5
336.5,515.5
336.5,514.5
337.5,514.5
338.5,514.5
336.5,546.5
336.5,547.5
337.5,547.5
337.5,548.5
338.5,548.5
339.5,548.5
337.5,509.5
338.5,509.5
338.5,510.5
337.5,541.5
338.5,541.5
339.5,541.5
340.5,541.5
341.5,541.5
342.5,541.5
343.5,541.5
343.5,542.5
344.5,542.5
338.5,510.5
339.5,510.5
339.5,509.5
340.5,509.5
340.5,510.5
341.5,510.5
342.5,510.5
342.5,509.5
343.5,509.5
344.5,509.5
345.5,509.5
345.5,508.5
346.5,508.5
347.5,508.5
338.5,514.5
339.5,514.5
339.5,515.5
340.5,515.5
339.5,548.5
340.5,548.5
341.5,548.5
341.5,549.5
342.5,549.5
342.5,548.5
343.5,548.5
344.5,548.5
340.5,515.5
341.5,515.5
342.5,515.5
342.5,514.5
343.5,514.5
343.5,515.5
344.5,515.5
344.5,514.5
345.5,514.5
346.5,514.5
347.5,514.5
347.5,513.5
344.5,542.5
344.5,541.5
345.5,541.5
345.5,540.5
344.5,548.5
345.5,548.5
346.5,548.5
347.5,548.5
348.5,548.5
349.5,548.5
350.5,548.5
345.5,540.5
346.5,540.5
347.5,540.5
348.5,540.5
349.5,540.5
350.5,540.5
351.5,540.5
351.5,539.5
352.5,539.5
353.5,539.5
354.5,539.5
354.5,540.5
347.5,508.5
348.5,508.5
347.5,513.5
348.5,513.5
348.5,514.5
349.5,514.5
349.5,513.5
350.5,513.5
350.5,514.5
351.5,514.5
352.5,514.5
348.5,508.5
349.5,508.5
350.5,508.5
350.5,507.5
351.5,507.5
350.5,548.5
351.5,548.5
352.5,548.5
352.5,547.5
353.5,547.5
354.5,547.5
354.5,546.5
355.5,546.5
351.5,507.5
351.5,508.5
352.5,508.5
352.5,507.5
353.5,507.5
354.5,507.5
355.5,507.5
352.5,514.5
352.5,513.5
353.5,513.5
353.5,512.5
354.5,512.5
355.5,512.5
354.5,540.5
355.5,540.5
355.5,539.5
356.5,539.5
357.5,539.5
358.5,539.5
359.5,539.5
360.5,539.5
360.5,540.5
361.5,540.5
361.5,539.5
362.5,539.5
355.5,507.5
356.5,507.5
357.5,507.5
358.5,507.5
359.5,507.5
360.5,507.5
361.5,507.5
361.5,506.5
355.5,512.5
356.5,512.5
357.5,512.5
358.5,512.5
359.5,512.5
360.5,512.5
361.5,512.5
362.5,512.5
363.5,512.5
364.5,512.5
355.5,546.5
356.5,546.5
357.5,546.5
358.5,546.5
359.5,546.5
360.5,546.5
360.5,545.5
361.5,545.5
361.5,544.5
362.5,544.5
363.5,544.5
363.5,543.5
364.5,543.5
365.5,543.5
366.5,543.5
361.5,506.5
362.5,506.5
362.5,507.5
363.5,507.5
364.5,507.5
365.5,507.5
366.5,507.5
362.5,539.5
363.5,539.5
364.5,539.5
364.5,538.5
365.5,538.5
365.5,539.5
366.5,539.5
364.5,512.5
365.5,512.5
366.5,512.5
366.5,511.5
367.5,511.5
367.5,510.5
366.5,507.5
367.5,507.5
367.5,506.5
368.5,506.5
366.5,539.5
366.5,538.5
367.5,538.5
368.5,538.5
369.5,538.5
369.5,537.5
370.5,537.5
366.5,543.5
367.5,543.5
368.5,543.5
368.5,542.5
369.5,542.5
370.5,542.5
371.5,542.5
372.5,542.5
373.5,542.5
367.5,510.5
368.5,510.5
369.5,510.5
370.5,510.5
371.5,510.5
372.5,510.5
372.5,511.5
368.5,506.5
369.5,506.5
370.5,506.5
371.5,506.5
372.5,506.5
373.5,506.5
373.5,505.5
374.5,505.5
370.5,537.5
371.5,537.5
372.5,537.5
372.5,536.5
373.5,536.5
374.5,536.5
372.5,511.5
373.5,511.5
373.5,510.5
374.5,510.5
375.5,510.5
376.5,510.5
377.5,510.5
377.5,511.5
373.5,542.5
374.5,542.5
374.5,541.5
375.5,541.5
374.5,505.5
374.5,506.5
375.5,506.5
375.5,505.5
376.5,505.5
374.5,536.5
375.5,536.5
376.5,536.5
376.5,535.5
377.5,535.5
378.5,535.5
378.5,536.5
379.5,536.5
380.5,536.5
380.5,535.5
381.5,535.5
382.5,535.5
382.5,536.5
383.5,536.5
384.5,536.5
384.5,535.5
385.5,535.5
375.5,541.5
376.5,541.5
377.5,541.5
378.5,541.5
378.5,542.5
379.5,542.5
380.5,542.5
381.5,542.5
382.5,542.5
382.5,541.5
383.5,541.5
384.5,541.5
384.5,542.5
376.5,505.5
376.5,506.5
377.5,506.5
378.5,506.5
379.5,506.5
377.5,511.5
378.5,511.5
378.5,510.5
379.5,510.5
380.5,510.5
380.5,509.5
379.5,506.5
380.5,506.5
381.5,506.5
381.5,505.5
382.5,505.5
383.5,505.5
384.5,505.5
385.5,505.5
380.5,509.5
381.5,509.5
382.5,509.5
383.5,509.5
384.5,509.5
385.5,509.5
385.5,508.5
386.5,508.5
384.5,542.5
385.5,542.5
385.5,541.5
386.5,541.5
387.5,541.5
387.5,540.5
385.5,505.5
385.5,504.5
386.5,504.5
385.5,535.5
386.5,535.5
386.5,536.5
387.5,536.5
386.5,504.5
387.5,504.5
388.5,504.5
389.5,504.5
390.5,504.5
391.5,504.5
392.5,504.5
393.5,504.5
386.5,508.5
387.5,508.5
388.5,508.5
389.5,508.5
390.5,508.5
391.5,508.5
392.5,508.5
392.5,508.5
393.5,508.5
393.5,507.5
394.5,507.5
393.5,504.5
394.5,504.5
394.5,503.5
395.5,503.5
396.5,503.5
397.5,503.5
397.5,502.5
398.5,502.5
394.5,507.5
394.5,508.5
395.5,508.5
395.5,508.5
395.5,507.5
396.5,507.5
397.5,507.5
398.5,507.5
399.5,507.5
399.5,506.5
400.5,506.5
398.5,502.5
398.5,503.5
399.5,503.5
400.5,503.5
400.5,503.5
400.5,502.5
401.5,502.5
402.5,502.5
402.5,501.5
400.5,506.5
401.5,506.5
402.5,506.5
403.5,506.5
403.5,507.5
404.5,507.5
402.5,501.5
403.5,501.5
403.5,502.5
404.5,502.5
405.5,502.5
406.5,502.5
407.5,502.5
408.5,502.5
409.5,502.5
410.5,502.5
404.5,507.5
404.5,506.5
405.5,506.5
406.5,506.5
407.5,506.5
408.5,506.5
408.5,505.5
409.5,505.5
410.5,505.5
410.5,502.5
410.5,501.5
411.5,501.5
410.5,505.5
411.5,505.5
412.5,505.5
412.5,504.5
413.5,504.5
414.5,504.5
415.5,504.5
416.5,504.5
416.5,505.5
417.5,505.5
418.5,505.5
418.5,504.5
419.5,504.5
420.5,504.5
421.5,504.5
421.5,505.5
422.5,505.5
411.5,501.5
412.5,501.5
413.5,501.5
414.5,501.5
414.5,500.5
415.5,500.5
415.5,499.5
416.5,499.5
416.5,500.5
417.5,500.5
418.5,500.5
418.5,499.5
418.5,499.5
419.5,499.5
419.5,500.5
420.5,500.5
421.5,500.5
422.5,500.5
423.5,500.5
424.5,500.5
422.5,505.5
423.5,505.5
423.5,504.5
424.5,504.5
425.5,504.5
425.5,503.5
424.5,500.5
425.5,500.5
426.5,500.5
427.5,500.5
428.5,500.5
428.5,499.5
429.5,499.5
430.5,499.5
430.5,498.5
425.5,503.5
426.5,503.5
427.5,503.5
428.5,503.5
429.5,503.5
430.5,503.5
431.5,503.5
431.5,502.5
432.5,502.5
430.5,498.5
431.5,498.5
431.5,499.5
432.5,499.5
432.5,499.5
433.5,499.5
434.5,499.5
435.5,499.5
436.5,499.5
437.5,499.5
438.5,499.5
439.5,499.5
440.5,499.5
440.5,498.5
441.5,498.5
442.5,498.5
442.5,497.5
443.5,497.5
444.5,497.5
444.5,496.5
432.5,502.5
433.5,502.5
434.5,502.5
434.5,503.5
434.5,503.5
435.5,503.5
435.5,502.5
436.5,502.5
437.5,502.5
438.5,502.5
439.5,502.5
440.5,502.5
440.5,503.5
440.5,503.5
441.5,503.5
441.5,502.5
442.5,502.5
442.5,501.5
443.5,501.5
444.5,501.5
445.5,501.5
446.5,501.5
447.5,501.5
447.5,500.5
444.5,496.5
445.5,496.5
446.5,496.5
446.5,471.5
447.5,471.5
447.5,470.5
448.5,470.5
449.5,470.5
446.5,496.5
446.5,495.5
447.5,495.5
447.5,494.5
448.5,494.5
448.5,493.5
449.5,493.5
449.5,492.5
450.5,492.5
450.5,491.5
447.5,500.5
448.5,500.5
449.5,500.5
450.5,500.5
451.5,500.5
452.5,500.5
452.5,499.5
453.5,499.5
454.5,499.5
455.5,499.5
456.5,499.5
449.5,470.5
450.5,470.5
450.5,471.5
451.5,471.5
450.5,491.5
450.5,490.5
451.5,490.5
452.5,490.5
453.5,490.5
454.5,490.5
455.5,490.5
451.5,471.5
452.5,471.5
452.5,472.5
453.5,472.5
454.5,472.5
455.5,472.5
455.5,472.5
456.5,472.5
457.5,472.5
458.5,472.5
