x,y
111.5,445.5
111.5,444.5
112.5,444.5
113.5,444.5
113.5,443.5
114.5,443.5
114.5,442.5
115.5,442.5
115.5,441.5
116.5,441.5
116.5,440.5
111.5,445.5
111.5,446.5
111.5,447.5
111.5,448.5
112.5,448.5
112.5,449.5
113.5,449.5
113.5,450.5
112.5,450.5
112.5,451.5
112.5,451.5
113.5,451.5
113.5,452.5
114.5,452.5
115.5,452.5
116.5,452.5
116.5,453.5
116.5,440.5
117.5,440.5
118.5,440.5
119.5,440.5
120.5,440.5
120.5,441.5
121.5,441.5
122.5,441.5
122.5,440.5
123.5,440.5
124.5,440.5
116.5,453.5
117.5,453.5
117.5,452.5
118.5,452.5
119.5,452.5
120.5,452.5
120.5,453.5
121.5,453.5
122.5,453.5
123.5,453.5
123.5,454.5
124.5,454.5
125.5,454.5
126.5,454.5
126.5,453.5
127.5,453.5
128.5,453.5
129.5,453.5
130.5,453.5
131.5,453.5
178.5,451.5
178.5,452.5
178.5,453.5
179.5,453.5
179.5,454.5
178.5,454.5
178.5,455.5
178.5,456.5
178.5,457.5
178.5,451.5
179.5,451.5
179.5,450.5
180.5,450.5
178.5,457.5
179.5,457.5
179.5,458.5
179.5,459.5
179.5,428.5
180.5,428.5
180.5,427.5
179.5,459.5
180.5,459.5
181.5,459.5
182.5,459.5
183.5,459.5
184.5,459.5
184.5,460.5
185.5,460.5
186.5,460.5
180.5,427.5
180.5,426.5
180.5,425.5
180.5,424.5
181.5,424.5
181.5,423.5
182.5,423.5
182.5,422.5
183.5,422.5
183.5,421.5
184.5,421.5
185.5,421.5
186.5,421.5
187.5,421.5
188.5,421.5
188.5,422.5
180.5,427.5
181.5,427.5
181.5,428.5
182.5,428.5
183.5,428.5
184.5,428.5
185.5,428.5
185.5,429.5
186.5,429.5
187.5,429.5
188.5,429.5
180.5,450.5
181.5,450.5
182.5,450.5
182.5,450.5
183.5,450.5
184.5,450.5
184.5,451.5
185.5,451.5
186.5,451.5
187.5,451.5
187.5,452.5
188.5,452.5
188.5,453.5
189.5,453.5
186.5,460.5
187.5,460.5
188.5,460.5
188.5,460.5
188.5,461.5
189.5,461.5
190.5,461.5
190.5,462.5
191.5,462.5
191.5,463.5
192.5,463.5
192.5,464.5
193.5,464.5
