x,y
13.5,543.5
13.5,544.5
14.5,544.5
15.5,544.5
16.5,544.5
17.5,544.5
18.5,544.5
19.5,544.5
20.5,544.5
21.5,544.5
22.5,544.5
23.5,544.5
24.5,544.5
24.5,544.5
24.5,545.5
24.5,546.5
24.5,547.5
24.5,544.5
25.5,544.5
26.5,544.5
27.5,544.5
28.5,544.5
29.5,544.5
30.5,544.5
30.5,543.5
31.5,543.5
32.5,543.5
33.5,543.5
34.5,543.5
35.5,543.5
36.5,543.5
36.5,542.5
37.5,542.5
24.5,547.5
25.5,547.5
26.5,547.5
27.5,547.5
28.5,547.5
29.5,547.5
30.5,547.5
31.5,547.5
32.5,547.5
33.5,547.5
34.5,547.5
35.5,547.5
36.5,547.5
37.5,547.5
38.5,547.5
37.5,542.5
37.5,543.5
38.5,543.5
39.5,543.5
38.5,547.5
39.5,547.5
39.5,548.5
40.5,548.5
38.5,594.5
38.5,595.5
38.5,596.5
38.5,597.5
38.5,598.5
38.5,594.5
39.5,594.5
40.5,594.5
40.5,593.5
41.5,593.5
42.5,593.5
42.5,592.5
39.5,543.5
40.5,543.5
41.5,543.5
41.5,542.5
42.5,542.5
43.5,542.5
44.5,542.5
45.5,542.5
45.5,541.5
46.5,541.5
40.5,548.5
40.5,547.5
41.5,547.5
42.5,547.5
42.5,546.5
43.5,546.5
44.5,546.5
45.5,546.5
46.5,546.5
47.5,546.5
48.5,546.5
49.5,546.5
50.5,546.5
51.5,546.5
51.5,547.5
52.5,547.5
42.5,592.5
43.5,592.5
44.5,592.5
45.5,592.5
46.5,592.5
47.5,592.5
47.5,591.5
48.5,591.5
49.5,591.5
50.5,591.5
51.5,591.5
51.5,590.5
52.5,590.5
53.5,590.5
54.5,590.5
55.5,590.5
55.5,589.5
56.5,589.5
57.5,589.5
58.5,589.5
59.5,589.5
59.5,588.5
60.5,588.5
61.5,588.5
62.5,588.5
63.5,588.5
63.5,587.5
64.5,587.5
65.5,587.5
46.5,541.5
47.5,541.5
48.5,541.5
49.5,541.5
50.5,541.5
51.5,541.5
52.5,541.5
52.5,541.5
53.5,541.5
54.5,541.5
52.5,547.5
52.5,546.5
53.5,546.5
54.5,546.5
54.5,545.5
54.5,541.5
55.5,541.5
56.5,541.5
56.5,540.5
57.5,540.5
58.5,540.5
59.5,540.5
60.5,540.5
61.5,540.5
62.5,540.5
54.5,545.5
55.5,545.5
55.5,546.5
56.5,546.5
57.5,546.5
57.5,545.5
58.5,545.5
58.5,546.5
59.5,546.5
59.5,545.5
60.5,545.5
61.5,545.5
62.5,545.5
63.5,545.5
64.5,545.5
64.5,546.5
65.5,546.5
66.5,546.5
67.5,546.5
68.5,546.5
62.5,540.5
63.5,540.5
64.5,540.5
65.5,540.5
66.5,540.5
67.5,540.5
68.5,540.5
69.5,540.5
69.5,539.5
70.5,539.5
65.5,587.5
66.5,587.5
66.5,586.5
67.5,586.5
68.5,586.5
69.5,586.5
69.5,585.5
70.5,585.5
68.5,546.5
69.5,546.5
70.5,546.5
71.5,546.5
71.5,545.5
70.5,539.5
70.5,540.5
71.5,540.5
72.5,540.5
72.5,541.5
70.5,585.5
71.5,585.5
71.5,586.5
71.5,545.5
72.5,545.5
73.5,545.5
74.5,545.5
75.5,545.5
76.5,545.5
77.5,545.5
78.5,545.5
79.5,545.5
80.5,545.5
71.5,586.5
72.5,586.5
72.5,585.5
73.5,585.5
73.5,584.5
74.5,584.5
74.5,585.5
75.5,585.5
72.5,541.5
73.5,541.5
74.5,541.5
74.5,540.5
75.5,540.5
76.5,540.5
76.5,539.5
77.5,539.5
78.5,539.5
79.5,539.5
79.5,538.5
80.5,538.5
75.5,585.5
75.5,584.5
76.5,584.5
77.5,584.5
77.5,583.5
78.5,583.5
79.5,583.5
79.5,583.5
80.5,583.5
80.5,582.5
81.5,582.5
80.5,538.5
81.5,538.5
82.5,538.5
83.5,538.5
83.5,537.5
84.5,537.5
80.5,545.5
80.5,544.5
81.5,544.5
81.5,543.5
82.5,543.5
83.5,543.5
83.5,544.5
84.5,544.5
81.5,582.5
82.5,582.5
83.5,582.5
84.5,582.5
84.5,581.5
85.5,581.5
85.5,582.5
84.5,537.5
85.5,537.5
86.5,537.5
86.5,536.5
87.5,536.5
84.5,544.5
85.5,544.5
85.5,545.5
86.5,545.5
87.5,545.5
88.5,545.5
89.5,545.5
89.5,546.5
90.5,546.5
85.5,582.5
86.5,582.5
86.5,581.5
87.5,581.5
88.5,581.5
88.5,580.5
89.5,580.5
90.5,580.5
87.5,536.5
88.5,536.5
89.5,536.5
90.5,536.5
91.5,536.5
92.5,536.5
92.5,535.5
90.5,546.5
90.5,545.5
91.5,545.5
92.5,545.5
93.5,545.5
94.5,545.5
95.5,545.5
96.5,545.5
96.5,546.5
90.5,580.5
91.5,580.5
91.5,580.5
92.5,580.5
92.5,579.5
93.5,579.5
94.5,579.5
95.5,579.5
95.5,578.5
96.5,578.5
92.5,535.5
93.5,535.5
93.5,536.5
94.5,536.5
95.5,536.5
96.5,536.5
97.5,536.5
98.5,536.5
99.5,536.5
100.5,536.5
101.5,536.5
102.5,536.5
102.5,537.5
96.5,546.5
97.5,546.5
98.5,546.5
99.5,546.5
100.5,546.5
101.5,546.5
102.5,546.5
102.5,545.5
103.5,545.5
96.5,578.5
97.5,578.5
98.5,578.5
99.5,578.5
99.5,577.5
100.5,577.5
101.5,577.5
101.5,576.5
102.5,576.5
103.5,576.5
102.5,537.5
103.5,537.5
103.5,536.5
104.5,536.5
105.5,536.5
106.5,536.5
107.5,536.5
108.5,536.5
