x,y
21.5,442.5
22.5,442.5
23.5,442.5
24.5,442.5
25.5,442.5
26.5,442.5
27.5,442.5
27.5,443.5
28.5,443.5
29.5,443.5
30.5,443.5
23.5,447.5
24.5,447.5
24.5,446.5
25.5,446.5
26.5,446.5
27.5,446.5
28.5,446.5
29.5,446.5
30.5,446.5
30.5,443.5
30.5,442.5
31.5,442.5
30.5,446.5
31.5,446.5
32.5,446.5
33.5,446.5
34.5,446.5
31.5,442.5
31.5,443.5
32.5,443.5
33.5,443.5
34.5,443.5
35.5,443.5
35.5,442.5
36.5,442.5
37.5,442.5
38.5,442.5
39.5,442.5
40.5,442.5
41.5,442.5
42.5,442.5
43.5,442.5
43.5,441.5
44.5,441.5
44.5,440.5
45.5,440.5
34.5,446.5
35.5,446.5
36.5,446.5
37.5,446.5
37.5,445.5
38.5,445.5
39.5,445.5
40.5,445.5
41.5,445.5
42.5,445.5
43.5,445.5
44.5,445.5
45.5,445.5
46.5,445.5
47.5,445.5
48.5,445.5
48.5,445.5
49.5,445.5
50.5,445.5
51.5,445.5
52.5,445.5
52.5,444.5
53.5,444.5
53.5,444.5
53.5,445.5
54.5,445.5
55.5,445.5
55.5,444.5
56.5,444.5
57.5,444.5
58.5,444.5
59.5,444.5
60.5,444.5
60.5,444.5
61.5,444.5
62.5,444.5
63.5,444.5
64.5,444.5
65.5,444.5
66.5,444.5
67.5,444.5
68.5,444.5
69.5,444.5
69.5,444.5
70.5,444.5
71.5,444.5
72.5,444.5
73.5,444.5
74.5,444.5
75.5,444.5
72.5,438.5
72.5,439.5
73.5,439.5
73.5,440.5
74.5,440.5
75.5,440.5
76.5,440.5
77.5,440.5
77.5,441.5
78.5,441.5
79.5,441.5
80.5,441.5
80.5,442.5
80.5,443.5
75.5,444.5
76.5,444.5
76.5,443.5
77.5,443.5
78.5,443.5
79.5,443.5
80.5,443.5
110.5,424.5
110.5,423.5
110.5,422.5
111.5,422.5
111.5,421.5
112.5,421.5
110.5,424.5
111.5,424.5
111.5,425.5
112.5,425.5
112.5,426.5
112.5,421.5
113.5,421.5
114.5,421.5
114.5,420.5
115.5,420.5
115.5,421.5
116.5,421.5
116.5,420.5
112.5,426.5
113.5,426.5
114.5,426.5
114.5,426.5
115.5,426.5
116.5,426.5
117.5,426.5
118.5,426.5
118.5,425.5
119.5,425.5
116.5,420.5
117.5,420.5
117.5,421.5
118.5,421.5
119.5,421.5
119.5,421.5
119.5,420.5
120.5,420.5
121.5,420.5
119.5,425.5
119.5,426.5
120.5,426.5
121.5,426.5
122.5,426.5
123.5,426.5
124.5,426.5
125.5,426.5
126.5,426.5
127.5,426.5
128.5,426.5
121.5,420.5
122.5,420.5
123.5,420.5
124.5,420.5
125.5,420.5
126.5,420.5
126.5,419.5
125.5,454.5
126.5,454.5
127.5,454.5
128.5,454.5
129.5,454.5
130.5,454.5
131.5,454.5
131.5,455.5
132.5,455.5
133.5,455.5
134.5,455.5
134.5,454.5
135.5,454.5
135.5,453.5
126.5,419.5
127.5,419.5
128.5,419.5
129.5,419.5
130.5,419.5
131.5,419.5
132.5,419.5
133.5,419.5
134.5,419.5
135.5,419.5
136.5,419.5
128.5,426.5
129.5,426.5
130.5,426.5
131.5,426.5
132.5,426.5
133.5,426.5
134.5,426.5
135.5,426.5
136.5,426.5
136.5,425.5
137.5,425.5
134.5,450.5
134.5,451.5
134.5,452.5
134.5,453.5
135.5,453.5
134.5,450.5
135.5,450.5
136.5,450.5
136.5,449.5
137.5,449.5
137.5,448.5
138.5,448.5
139.5,448.5
140.5,448.5
141.5,448.5
142.5,448.5
135.5,453.5
136.5,453.5
137.5,453.5
138.5,453.5
139.5,453.5
140.5,453.5
141.5,453.5
142.5,453.5
143.5,453.5
137.5,425.5
137.5,426.5
138.5,426.5
138.5,426.5
139.5,426.5
140.5,426.5
141.5,426.5
142.5,426.5
142.5,425.5
143.5,425.5
144.5,425.5
145.5,425.5
146.5,425.5
147.5,425.5
142.5,448.5
143.5,448.5
144.5,448.5
144.5,447.5
145.5,447.5
143.5,453.5
143.5,454.5
144.5,454.5
144.5,454.5
144.5,453.5
145.5,453.5
146.5,453.5
147.5,453.5
148.5,453.5
149.5,453.5
150.5,453.5
151.5,453.5
152.5,453.5
153.5,453.5
154.5,453.5
155.5,453.5
156.5,453.5
157.5,453.5
157.5,452.5
145.5,447.5
145.5,448.5
146.5,448.5
147.5,448.5
148.5,448.5
149.5,448.5
150.5,448.5
151.5,448.5
152.5,448.5
152.5,447.5
153.5,447.5
153.5,446.5
154.5,446.5
155.5,446.5
156.5,446.5
157.5,446.5
157.5,447.5
147.5,425.5
148.5,425.5
149.5,425.5
150.5,425.5
151.5,425.5
152.5,425.5
153.5,425.5
154.5,425.5
154.5,425.5
155.5,425.5
156.5,425.5
157.5,425.5
157.5,426.5
157.5,426.5
158.5,426.5
158.5,425.5
159.5,425.5
160.5,425.5
161.5,425.5
162.5,425.5
163.5,425.5
164.5,425.5
165.5,425.5
165.5,424.5
166.5,424.5
157.5,447.5
158.5,447.5
158.5,446.5
159.5,446.5
160.5,446.5
157.5,452.5
158.5,452.5
158.5,453.5
159.5,453.5
160.5,453.5
160.5,452.5
161.5,452.5
162.5,452.5
163.5,452.5
164.5,452.5
165.5,452.5
166.5,452.5
160.5,446.5
161.5,446.5
162.5,446.5
163.5,446.5
164.5,446.5
165.5,446.5
165.5,445.5
166.5,445.5
167.5,445.5
167.5,446.5
168.5,446.5
166.5,424.5
166.5,425.5
167.5,425.5
168.5,425.5
169.5,425.5
170.5,425.5
171.5,425.5
172.5,425.5
173.5,425.5
174.5,425.5
175.5,425.5
176.5,425.5
177.5,425.5
177.5,424.5
178.5,424.5
179.5,424.5
180.5,424.5
181.5,424.5
182.5,424.5
183.5,424.5
183.5,423.5
184.5,423.5
166.5,452.5
167.5,452.5
167.5,451.5
168.5,451.5
168.5,446.5
168.5,445.5
169.5,445.5
170.5,445.5
171.5,445.5
172.5,445.5
168.5,451.5
168.5,452.5
169.5,452.5
170.5,452.5
171.5,452.5
172.5,452.5
172.5,453.5
172.5,445.5
173.5,445.5
174.5,445.5
175.5,445.5
176.5,445.5
176.5,444.5
172.5,453.5
173.5,453.5
173.5,452.5
174.5,452.5
175.5,452.5
176.5,452.5
177.5,452.5
178.5,452.5
176.5,444.5
177.5,444.5
177.5,445.5
178.5,445.5
178.5,445.5
179.5,445.5
180.5,445.5
181.5,445.5
182.5,445.5
183.5,445.5
184.5,445.5
185.5,445.5
186.5,445.5
187.5,445.5
178.5,452.5
179.5,452.5
180.5,452.5
181.5,452.5
182.5,452.5
183.5,452.5
184.5,452.5
185.5,452.5
186.5,452.5
187.5,452.5
187.5,445.5
187.5,444.5
188.5,444.5
188.5,443.5
189.5,443.5
189.5,444.5
190.5,444.5
191.5,444.5
191.5,443.5
192.5,443.5
192.5,444.5
193.5,444.5
193.5,443.5
194.5,443.5
194.5,444.5
195.5,444.5
195.5,443.5
196.5,443.5
196.5,442.5
187.5,452.5
187.5,451.5
188.5,451.5
188.5,451.5
188.5,452.5
189.5,452.5
190.5,452.5
191.5,452.5
192.5,452.5
193.5,452.5
194.5,452.5
189.5,435.5
190.5,435.5
191.5,435.5
192.5,435.5
