x,y
1.5,457.5
1.5,458.5
2.5,458.5
2.5,459.5
2.5,460.5
2.5,461.5
1.5,461.5
1.5,462.5
2.5,462.5
2.5,463.5
3.5,463.5
4.5,463.5
5.5,463.5
5.5,462.5
6.5,462.5
7.5,462.5
8.5,462.5
8.5,461.5
9.5,461.5
10.5,461.5
11.5,461.5
12.5,461.5
13.5,461.5
14.5,461.5
15.5,461.5
1.5,478.5
1.5,477.5
2.5,477.5
2.5,476.5
3.5,476.5
4.5,476.5
5.5,476.5
6.5,476.5
6.5,475.5
7.5,475.5
8.5,475.5
9.5,475.5
10.5,475.5
11.5,475.5
1.5,489.5
2.5,489.5
3.5,489.5
4.5,489.5
5.5,489.5
5.5,490.5
6.5,490.5
6.5,489.5
7.5,489.5
7.5,488.5
1.5,540.5
2.5,540.5
2.5,539.5
3.5,539.5
3.5,538.5
4.5,538.5
5.5,538.5
6.5,538.5
7.5,538.5
8.5,538.5
9.5,538.5
10.5,538.5
11.5,538.5
12.5,538.5
13.5,538.5
14.5,538.5
15.5,538.5
16.5,538.5
16.5,537.5
17.5,537.5
18.5,537.5
1.5,559.5
2.5,559.5
2.5,558.5
2.5,557.5
2.5,556.5
2.5,555.5
3.5,555.5
4.5,555.5
5.5,555.5
5.5,556.5
6.5,556.5
6.5,555.5
7.5,555.5
7.5,554.5
8.5,554.5
9.5,554.5
10.5,554.5
11.5,554.5
11.5,553.5
12.5,553.5
13.5,553.5
14.5,553.5
14.5,552.5
2.5,562.5
3.5,562.5
4.5,562.5
5.5,562.5
6.5,562.5
7.5,562.5
8.5,562.5
9.5,562.5
10.5,562.5
11.5,562.5
12.5,562.5
13.5,562.5
14.5,562.5
15.5,562.5
16.5,562.5
16.5,561.5
7.5,488.5
8.5,488.5
8.5,489.5
9.5,489.5
10.5,489.5
11.5,489.5
11.5,488.5
11.5,475.5
12.5,475.5
12.5,474.5
13.5,474.5
14.5,474.5
15.5,474.5
16.5,474.5
17.5,474.5
17.5,473.5
18.5,473.5
11.5,488.5
12.5,488.5
12.5,489.5
13.5,489.5
14.5,489.5
15.5,489.5
16.5,489.5
17.5,489.5
18.5,489.5
19.5,489.5
20.5,489.5
14.5,547.5
14.5,546.5
15.5,546.5
16.5,546.5
16.5,545.5
17.5,545.5
18.5,545.5
18.5,544.5
19.5,544.5
19.5,543.5
19.5,542.5
14.5,552.5
15.5,552.5
16.5,552.5
16.5,553.5
15.5,461.5
15.5,462.5
16.5,462.5
17.5,462.5
17.5,463.5
16.5,553.5
17.5,553.5
17.5,552.5
18.5,552.5
18.5,551.5
19.5,551.5
19.5,552.5
20.5,552.5
16.5,561.5
17.5,561.5
17.5,562.5
18.5,562.5
19.5,562.5
20.5,562.5
20.5,561.5
21.5,561.5
21.5,560.5
22.5,560.5
17.5,463.5
18.5,463.5
18.5,462.5
19.5,462.5
20.5,462.5
20.5,463.5
21.5,463.5
22.5,463.5
22.5,462.5
18.5,473.5
18.5,474.5
19.5,474.5
19.5,473.5
20.5,473.5
18.5,537.5
18.5,538.5
18.5,539.5
19.5,539.5
19.5,540.5
19.5,541.5
19.5,542.5
18.5,537.5
19.5,537.5
20.5,537.5
21.5,537.5
22.5,537.5
22.5,536.5
20.5,473.5
21.5,473.5
22.5,473.5
23.5,473.5
24.5,473.5
25.5,473.5
25.5,472.5
26.5,472.5
20.5,489.5
20.5,488.5
21.5,488.5
20.5,552.5
20.5,551.5
21.5,551.5
21.5,550.5
22.5,550.5
23.5,550.5
24.5,550.5
24.5,549.5
25.5,549.5
21.5,488.5
21.5,489.5
22.5,489.5
23.5,489.5
24.5,489.5
25.5,489.5
26.5,489.5
27.5,489.5
28.5,489.5
29.5,489.5
30.5,489.5
31.5,489.5
32.5,489.5
33.5,489.5
34.5,489.5
22.5,462.5
23.5,462.5
23.5,463.5
24.5,463.5
25.5,463.5
26.5,463.5
22.5,536.5
23.5,536.5
24.5,536.5
25.5,536.5
26.5,536.5
27.5,536.5
28.5,536.5
22.5,560.5
23.5,560.5
24.5,560.5
25.5,560.5
26.5,560.5
26.5,561.5
27.5,561.5
25.5,549.5
26.5,549.5
27.5,549.5
27.5,548.5
28.5,548.5
29.5,548.5
30.5,548.5
31.5,548.5
26.5,463.5
27.5,463.5
27.5,462.5
28.5,462.5
26.5,472.5
26.5,473.5
27.5,473.5
27.5,472.5
28.5,472.5
29.5,472.5
30.5,472.5
31.5,472.5
32.5,472.5
33.5,472.5
34.5,472.5
35.5,472.5
36.5,472.5
27.5,561.5
27.5,560.5
28.5,560.5
29.5,560.5
