x,y
1.5,530.5
2.5,530.5
2.5,529.5
2.5,528.5
3.5,528.5
4.5,528.5
4.5,529.5
5.5,529.5
6.5,529.5
7.5,529.5
7.5,529.5
8.5,529.5
9.5,529.5
10.5,529.5
11.5,529.5
11.5,530.5
12.5,530.5
13.5,530.5
13.5,529.5
14.5,529.5
14.5,528.5
15.5,528.5
15.5,529.5
16.5,529.5
17.5,529.5
18.5,529.5
18.5,529.5
18.5,528.5
19.5,528.5
19.5,527.5
20.5,527.5
21.5,527.5
21.5,527.5
22.5,527.5
22.5,526.5
23.5,526.5
23.5,526.5
23.5,527.5
24.5,527.5
25.5,527.5
25.5,526.5
26.5,526.5
26.5,527.5
27.5,527.5
27.5,526.5
28.5,526.5
29.5,526.5
29.5,526.5
30.5,526.5
31.5,526.5
31.5,526.5
31.5,525.5
32.5,525.5
32.5,525.5
33.5,525.5
34.5,525.5
34.5,526.5
35.5,526.5
35.5,525.5
36.5,525.5
36.5,525.5
36.5,526.5
37.5,526.5
38.5,526.5
39.5,526.5
39.5,525.5
40.5,525.5
40.5,526.5
41.5,526.5
41.5,526.5
42.5,526.5
42.5,525.5
43.5,525.5
43.5,526.5
44.5,526.5
45.5,526.5
45.5,526.5
45.5,525.5
46.5,525.5
46.5,525.5
47.5,525.5
47.5,524.5
48.5,524.5
49.5,524.5
50.5,524.5
50.5,523.5
51.5,523.5
51.5,522.5
52.5,522.5
52.5,523.5
52.5,523.5
53.5,523.5
53.5,522.5
53.5,522.5
54.5,522.5
55.5,522.5
56.5,522.5
56.5,523.5
57.5,523.5
58.5,523.5
58.5,523.5
58.5,522.5
59.5,522.5
60.5,522.5
61.5,522.5
62.5,522.5
62.5,521.5
63.5,521.5
64.5,521.5
64.5,522.5
65.5,522.5
65.5,522.5
65.5,521.5
66.5,521.5
66.5,520.5
67.5,520.5
67.5,519.5
68.5,519.5
68.5,520.5
69.5,520.5
70.5,520.5
70.5,520.5
70.5,519.5
71.5,519.5
71.5,518.5
72.5,518.5
73.5,518.5
74.5,518.5
74.5,518.5
75.5,518.5
76.5,518.5
77.5,518.5
78.5,518.5
79.5,518.5
80.5,518.5
80.5,519.5
81.5,519.5
81.5,518.5
81.5,518.5
82.5,518.5
82.5,519.5
82.5,519.5
83.5,519.5
83.5,518.5
84.5,518.5
85.5,518.5
86.5,518.5
87.5,518.5
88.5,518.5
88.5,518.5
89.5,518.5
90.5,518.5
91.5,518.5
91.5,517.5
92.5,517.5
92.5,516.5
92.5,516.5
93.5,516.5
94.5,516.5
94.5,517.5
95.5,517.5
96.5,517.5
97.5,517.5
97.5,517.5
98.5,517.5
98.5,516.5
99.5,516.5
100.5,516.5
101.5,516.5
101.5,516.5
102.5,516.5
103.5,516.5
103.5,517.5
103.5,517.5
104.5,517.5
104.5,516.5
105.5,516.5
106.5,516.5
107.5,516.5
108.5,516.5
109.5,516.5
109.5,515.5
110.5,515.5
110.5,515.5
110.5,516.5
111.5,516.5
112.5,516.5
112.5,516.5
113.5,516.5
113.5,515.5
114.5,515.5
114.5,515.5
115.5,515.5
116.5,515.5
117.5,515.5
118.5,515.5
119.5,515.5
120.5,515.5
120.5,516.5
121.5,516.5
121.5,516.5
121.5,515.5
122.5,515.5
123.5,515.5
124.5,515.5
125.5,515.5
125.5,514.5
126.5,514.5
127.5,514.5
128.5,514.5
128.5,514.5
129.5,514.5
129.5,515.5
129.5,515.5
130.5,515.5
131.5,515.5
132.5,515.5
133.5,515.5
134.5,515.5
135.5,515.5
135.5,514.5
135.5,514.5
136.5,514.5
136.5,515.5
137.5,515.5
138.5,515.5
138.5,515.5
139.5,515.5
140.5,515.5
140.5,514.5
141.5,514.5
141.5,513.5
142.5,513.5
143.5,513.5
144.5,513.5
145.5,513.5
145.5,513.5
146.5,513.5
146.5,512.5
147.5,512.5
147.5,511.5
148.5,511.5
148.5,512.5
149.5,512.5
149.5,511.5
150.5,511.5
150.5,511.5
151.5,511.5
151.5,512.5
151.5,512.5
152.5,512.5
153.5,512.5
153.5,511.5
154.5,511.5
154.5,510.5
155.5,510.5
155.5,511.5
156.5,511.5
157.5,511.5
157.5,510.5
158.5,510.5
159.5,510.5
159.5,510.5
160.5,510.5
160.5,509.5
161.5,509.5
