x,y
20.5,400.5
21.5,400.5
21.5,399.5
22.5,399.5
22.5,398.5
23.5,398.5
23.5,397.5
24.5,397.5
24.5,396.5
25.5,396.5
25.5,396.5
25.5,397.5
26.5,397.5
26.5,398.5
27.5,398.5
27.5,398.5
28.5,398.5
29.5,398.5
30.5,398.5
31.5,398.5
32.5,398.5
33.5,398.5
33.5,397.5
34.5,397.5
35.5,397.5
36.5,397.5
37.5,397.5
37.5,397.5
38.5,397.5
39.5,397.5
40.5,397.5
40.5,397.5
41.5,397.5
42.5,397.5
43.5,397.5
44.5,397.5
44.5,396.5
45.5,396.5
46.5,396.5
47.5,396.5
48.5,396.5
49.5,396.5
50.5,396.5
51.5,396.5
51.5,395.5
52.5,395.5
53.5,395.5
53.5,394.5
53.5,394.5
54.5,394.5
54.5,395.5
55.5,395.5
55.5,395.5
55.5,394.5
56.5,394.5
56.5,393.5
57.5,393.5
58.5,393.5
59.5,393.5
60.5,393.5
61.5,393.5
61.5,392.5
62.5,392.5
62.5,392.5
63.5,392.5
63.5,392.5
64.5,392.5
64.5,391.5
65.5,391.5
66.5,391.5
67.5,391.5
68.5,391.5
69.5,391.5
70.5,391.5
71.5,391.5
71.5,390.5
72.5,390.5
73.5,390.5
74.5,390.5
74.5,390.5
75.5,390.5
75.5,389.5
76.5,389.5
77.5,389.5
78.5,389.5
78.5,388.5
79.5,388.5
80.5,388.5
81.5,388.5
82.5,388.5
83.5,388.5
84.5,388.5
84.5,388.5
85.5,388.5
86.5,388.5
86.5,387.5
84.5,396.5
84.5,397.5
84.5,398.5
84.5,399.5
85.5,399.5
85.5,400.5
84.5,396.5
85.5,396.5
85.5,396.5
86.5,396.5
87.5,396.5
88.5,396.5
89.5,396.5
90.5,396.5
91.5,396.5
92.5,396.5
93.5,396.5
94.5,396.5
85.5,400.5
86.5,400.5
87.5,400.5
88.5,400.5
88.5,401.5
89.5,401.5
86.5,387.5
87.5,387.5
87.5,388.5
88.5,388.5
89.5,388.5
89.5,401.5
89.5,400.5
90.5,400.5
91.5,400.5
92.5,400.5
93.5,400.5
94.5,400.5
94.5,396.5
94.5,395.5
95.5,395.5
96.5,395.5
96.5,394.5
97.5,394.5
98.5,394.5
99.5,394.5
100.5,394.5
94.5,400.5
95.5,400.5
96.5,400.5
96.5,401.5
96.5,401.5
97.5,401.5
98.5,401.5
99.5,401.5
99.5,400.5
100.5,400.5
101.5,400.5
101.5,399.5
102.5,399.5
102.5,400.5
103.5,400.5
104.5,400.5
