x,y
1.5,492.5
2.5,492.5
3.5,492.5
4.5,492.5
5.5,492.5
6.5,492.5
7.5,492.5
8.5,492.5
9.5,492.5
10.5,492.5
10.5,492.5
11.5,492.5
12.5,492.5
13.5,492.5
14.5,492.5
15.5,492.5
16.5,492.5
16.5,491.5
17.5,491.5
17.5,491.5
17.5,492.5
18.5,492.5
19.5,492.5
20.5,492.5
21.5,492.5
22.5,492.5
23.5,492.5
23.5,491.5
21.5,597.5
22.5,597.5
23.5,597.5
24.5,597.5
25.5,597.5
26.5,597.5
27.5,597.5
28.5,597.5
29.5,597.5
30.5,597.5
30.5,596.5
23.5,491.5
24.5,491.5
25.5,491.5
26.5,491.5
26.5,492.5
26.5,492.5
27.5,492.5
27.5,491.5
28.5,491.5
29.5,491.5
29.5,491.5
30.5,491.5
30.5,492.5
31.5,492.5
30.5,596.5
31.5,596.5
31.5,597.5
32.5,597.5
32.5,596.5
33.5,596.5
34.5,596.5
35.5,596.5
31.5,492.5
31.5,491.5
32.5,491.5
33.5,491.5
34.5,491.5
35.5,491.5
36.5,491.5
37.5,491.5
38.5,491.5
35.5,596.5
36.5,596.5
37.5,596.5
38.5,596.5
39.5,596.5
40.5,596.5
41.5,596.5
42.5,596.5
43.5,596.5
44.5,596.5
45.5,596.5
46.5,596.5
47.5,596.5
48.5,596.5
38.5,491.5
38.5,490.5
38.5,489.5
39.5,489.5
39.5,488.5
39.5,488.5
40.5,488.5
40.5,489.5
41.5,489.5
42.5,489.5
43.5,489.5
44.5,489.5
45.5,489.5
46.5,489.5
46.5,488.5
47.5,488.5
48.5,488.5
48.5,489.5
49.5,489.5
50.5,489.5
48.5,596.5
49.5,596.5
50.5,596.5
51.5,596.5
52.5,596.5
53.5,596.5
54.5,596.5
54.5,595.5
55.5,595.5
56.5,595.5
57.5,595.5
58.5,595.5
59.5,595.5
60.5,595.5
61.5,595.5
62.5,595.5
63.5,595.5
64.5,595.5
50.5,489.5
51.5,489.5
52.5,489.5
53.5,489.5
54.5,489.5
54.5,488.5
55.5,488.5
55.5,488.5
55.5,489.5
56.5,489.5
57.5,489.5
58.5,489.5
59.5,489.5
60.5,489.5
61.5,489.5
61.5,488.5
62.5,488.5
63.5,488.5
63.5,488.5
64.5,488.5
64.5,489.5
65.5,489.5
65.5,490.5
64.5,490.5
64.5,491.5
65.5,491.5
64.5,595.5
65.5,595.5
66.5,595.5
67.5,595.5
68.5,595.5
69.5,595.5
70.5,595.5
71.5,595.5
72.5,595.5
73.5,595.5
73.5,594.5
74.5,594.5
75.5,594.5
76.5,594.5
77.5,594.5
65.5,491.5
66.5,491.5
67.5,491.5
68.5,491.5
69.5,491.5
70.5,491.5
71.5,491.5
72.5,491.5
73.5,491.5
74.5,491.5
75.5,491.5
76.5,491.5
77.5,491.5
78.5,491.5
79.5,491.5
80.5,491.5
81.5,491.5
77.5,594.5
78.5,594.5
79.5,594.5
80.5,594.5
81.5,594.5
82.5,594.5
83.5,594.5
84.5,594.5
85.5,594.5
86.5,594.5
86.5,593.5
81.5,491.5
82.5,491.5
83.5,491.5
84.5,491.5
85.5,491.5
86.5,491.5
87.5,491.5
88.5,491.5
89.5,491.5
89.5,492.5
90.5,492.5
86.5,593.5
87.5,593.5
87.5,594.5
88.5,594.5
88.5,593.5
89.5,593.5
89.5,594.5
90.5,594.5
90.5,492.5
90.5,491.5
91.5,491.5
90.5,594.5
90.5,593.5
91.5,593.5
92.5,593.5
93.5,593.5
94.5,593.5
95.5,593.5
96.5,593.5
97.5,593.5
98.5,593.5
98.5,592.5
99.5,592.5
91.5,491.5
92.5,491.5
93.5,491.5
94.5,491.5
95.5,491.5
95.5,492.5
96.5,492.5
96.5,492.5
96.5,491.5
97.5,491.5
98.5,491.5
99.5,491.5
100.5,491.5
101.5,491.5
102.5,491.5
103.5,491.5
104.5,491.5
105.5,491.5
106.5,491.5
107.5,491.5
108.5,491.5
109.5,491.5
110.5,491.5
99.5,592.5
99.5,593.5
100.5,593.5
101.5,593.5
102.5,593.5
103.5,593.5
104.5,593.5
104.5,592.5
104.5,592.5
105.5,592.5
106.5,592.5
107.5,592.5
108.5,592.5
109.5,592.5
110.5,592.5
111.5,592.5
112.5,592.5
113.5,592.5
113.5,592.5
114.5,592.5
115.5,592.5
116.5,592.5
117.5,592.5
118.5,592.5
119.5,592.5
120.5,592.5
120.5,592.5
121.5,592.5
121.5,591.5
122.5,591.5
123.5,591.5
124.5,591.5
125.5,591.5
126.5,591.5
127.5,591.5
