x,y
213.5,500.5
214.5,500.5
214.5,499.5
215.5,499.5
216.5,499.5
217.5,499.5
218.5,499.5
218.5,498.5
219.5,498.5
220.5,498.5
221.5,498.5
221.5,497.5
222.5,497.5
222.5,496.5
222.5,496.5
223.5,496.5
223.5,497.5
224.5,497.5
225.5,497.5
223.5,486.5
224.5,486.5
224.5,487.5
224.5,487.5
225.5,487.5
226.5,487.5
227.5,487.5
227.5,486.5
228.5,486.5
229.5,486.5
230.5,486.5
231.5,486.5
232.5,486.5
232.5,485.5
233.5,485.5
225.5,497.5
226.5,497.5
226.5,496.5
227.5,496.5
228.5,496.5
229.5,496.5
229.5,495.5
230.5,495.5
230.5,496.5
231.5,496.5
231.5,495.5
232.5,495.5
232.5,494.5
233.5,494.5
234.5,494.5
233.5,480.5
233.5,481.5
234.5,481.5
234.5,482.5
234.5,483.5
234.5,484.5
234.5,485.5
233.5,485.5
233.5,480.5
234.5,480.5
234.5,479.5
235.5,479.5
236.5,479.5
237.5,479.5
238.5,479.5
239.5,479.5
239.5,478.5
240.5,478.5
234.5,494.5
235.5,494.5
236.5,494.5
237.5,494.5
237.5,494.5
237.5,493.5
238.5,493.5
239.5,493.5
240.5,493.5
240.5,492.5
241.5,492.5
242.5,492.5
242.5,491.5
243.5,491.5
244.5,491.5
245.5,491.5
246.5,491.5
246.5,490.5
247.5,490.5
248.5,490.5
248.5,489.5
249.5,489.5
249.5,489.5
250.5,489.5
250.5,488.5
251.5,488.5
252.5,488.5
253.5,488.5
254.5,488.5
254.5,488.5
255.5,488.5
255.5,487.5
256.5,487.5
256.5,487.5
257.5,487.5
257.5,486.5
257.5,486.5
258.5,486.5
259.5,486.5
260.5,486.5
261.5,486.5
262.5,486.5
262.5,485.5
263.5,485.5
264.5,485.5
265.5,485.5
265.5,484.5
266.5,484.5
266.5,484.5
267.5,484.5
268.5,484.5
268.5,483.5
269.5,483.5
269.5,483.5
270.5,483.5
271.5,483.5
271.5,483.5
271.5,482.5
272.5,482.5
273.5,482.5
273.5,481.5
274.5,481.5
274.5,480.5
275.5,480.5
275.5,480.5
275.5,481.5
276.5,481.5
277.5,481.5
277.5,480.5
278.5,480.5
279.5,480.5
280.5,480.5
280.5,479.5
281.5,479.5
281.5,480.5
