x,y
1.5,541.5
2.5,541.5
2.5,540.5
3.5,540.5
4.5,540.5
5.5,540.5
6.5,540.5
6.5,539.5
7.5,539.5
7.5,538.5
8.5,538.5
8.5,539.5
9.5,539.5
9.5,539.5
9.5,538.5
10.5,538.5
10.5,537.5
11.5,537.5
11.5,536.5
11.5,536.5
11.5,535.5
12.5,535.5
13.5,535.5
13.5,534.5
14.5,534.5
15.5,534.5
15.5,533.5
16.5,533.5
16.5,533.5
17.5,533.5
18.5,533.5
19.5,533.5
19.5,533.5
19.5,532.5
20.5,532.5
21.5,532.5
21.5,531.5
22.5,531.5
23.5,531.5
24.5,531.5
24.5,530.5
25.5,530.5
26.5,530.5
26.5,529.5
27.5,529.5
28.5,529.5
29.5,529.5
29.5,528.5
30.5,528.5
31.5,528.5
32.5,528.5
32.5,528.5
32.5,527.5
33.5,527.5
34.5,527.5
34.5,526.5
35.5,526.5
35.5,526.5
36.5,526.5
37.5,526.5
38.5,526.5
38.5,525.5
39.5,525.5
40.5,525.5
40.5,524.5
41.5,524.5
42.5,524.5
42.5,523.5
43.5,523.5
44.5,523.5
45.5,523.5
45.5,523.5
45.5,522.5
46.5,522.5
47.5,522.5
47.5,521.5
48.5,521.5
49.5,521.5
50.5,521.5
50.5,520.5
51.5,520.5
52.5,520.5
52.5,519.5
52.5,520.5
52.5,519.5
53.5,519.5
54.5,519.5
55.5,519.5
55.5,518.5
56.5,518.5
57.5,518.5
57.5,517.5
58.5,517.5
59.5,517.5
60.5,517.5
61.5,517.5
61.5,516.5
62.5,516.5
63.5,516.5
63.5,515.5
64.5,515.5
64.5,515.5
64.5,514.5
65.5,514.5
65.5,514.5
66.5,514.5
67.5,514.5
68.5,514.5
68.5,513.5
69.5,513.5
70.5,513.5
70.5,512.5
71.5,512.5
72.5,512.5
72.5,511.5
73.5,511.5
73.5,511.5
74.5,511.5
75.5,511.5
76.5,511.5
76.5,510.5
77.5,510.5
78.5,510.5
78.5,509.5
79.5,509.5
80.5,509.5
81.5,509.5
81.5,508.5
82.5,508.5
82.5,508.5
83.5,508.5
84.5,508.5
84.5,507.5
85.5,507.5
85.5,506.5
86.5,506.5
87.5,506.5
88.5,506.5
88.5,505.5
89.5,505.5
90.5,505.5
90.5,505.5
91.5,505.5
91.5,504.5
92.5,504.5
93.5,504.5
93.5,503.5
94.5,503.5
95.5,503.5
273.5,543.5
274.5,543.5
274.5,544.5
275.5,544.5
275.5,543.5
276.5,543.5
276.5,542.5
277.5,542.5
277.5,543.5
278.5,543.5
279.5,543.5
279.5,542.5
280.5,542.5
280.5,542.5
281.5,542.5
281.5,542.5
282.5,542.5
283.5,542.5
284.5,542.5
284.5,541.5
285.5,541.5
285.5,540.5
285.5,540.5
286.5,540.5
287.5,540.5
287.5,541.5
287.5,541.5
288.5,541.5
288.5,540.5
289.5,540.5
289.5,539.5
289.5,539.5
290.5,539.5
290.5,540.5
291.5,540.5
292.5,540.5
292.5,540.5
293.5,540.5
293.5,539.5
294.5,539.5
294.5,540.5
295.5,540.5
295.5,539.5
296.5,539.5
297.5,539.5
297.5,539.5
298.5,539.5
299.5,539.5
300.5,539.5
301.5,539.5
301.5,538.5
301.5,538.5
301.5,537.5
302.5,537.5
302.5,537.5
303.5,537.5
303.5,536.5
304.5,536.5
304.5,536.5
304.5,537.5
305.5,537.5
305.5,536.5
306.5,536.5
306.5,536.5
307.5,536.5
308.5,536.5
309.5,536.5
309.5,535.5
310.5,535.5
310.5,534.5
311.5,534.5
311.5,534.5
312.5,534.5
313.5,534.5
314.5,534.5
314.5,534.5
315.5,534.5
315.5,534.5
316.5,534.5
317.5,534.5
317.5,533.5
318.5,533.5
319.5,533.5
320.5,533.5
320.5,532.5
321.5,532.5
321.5,530.5
321.5,531.5
321.5,532.5
321.5,530.5
322.5,530.5
323.5,530.5
323.5,529.5
324.5,529.5
