x,y
1.5,437.5
2.5,437.5
2.5,436.5
2.5,436.5
3.5,436.5
4.5,436.5
5.5,436.5
5.5,435.5
6.5,435.5
7.5,435.5
8.5,435.5
8.5,434.5
9.5,434.5
5.5,582.5
5.5,583.5
6.5,583.5
7.5,583.5
8.5,583.5
8.5,584.5
9.5,584.5
9.5,585.5
10.5,585.5
11.5,585.5
12.5,585.5
12.5,586.5
13.5,586.5
9.5,434.5
10.5,434.5
11.5,434.5
11.5,433.5
12.5,433.5
13.5,433.5
13.5,432.5
14.5,432.5
15.5,432.5
16.5,432.5
16.5,431.5
17.5,431.5
18.5,431.5
18.5,430.5
13.5,586.5
14.5,586.5
15.5,586.5
16.5,586.5
17.5,586.5
18.5,586.5
19.5,586.5
20.5,586.5
20.5,585.5
21.5,585.5
21.5,584.5
22.5,584.5
23.5,584.5
24.5,584.5
24.5,583.5
25.5,583.5
26.5,583.5
27.5,583.5
27.5,582.5
28.5,582.5
29.5,582.5
29.5,581.5
30.5,581.5
30.5,580.5
31.5,580.5
32.5,580.5
33.5,580.5
34.5,580.5
35.5,580.5
35.5,579.5
36.5,579.5
18.5,430.5
19.5,430.5
19.5,431.5
20.5,431.5
20.5,430.5
21.5,430.5
22.5,430.5
23.5,430.5
24.5,430.5
24.5,429.5
25.5,429.5
26.5,429.5
27.5,429.5
27.5,429.5
27.5,428.5
28.5,428.5
28.5,427.5
29.5,427.5
30.5,427.5
30.5,426.5
31.5,426.5
32.5,426.5
32.5,425.5
33.5,425.5
31.5,598.5
31.5,597.5
32.5,597.5
32.5,596.5
33.5,596.5
33.5,595.5
34.5,595.5
35.5,595.5
36.5,595.5
36.5,594.5
35.5,594.5
35.5,593.5
36.5,593.5
36.5,592.5
35.5,592.5
35.5,591.5
35.5,590.5
35.5,589.5
35.5,588.5
34.5,588.5
34.5,587.5
34.5,586.5
35.5,586.5
35.5,585.5
36.5,585.5
33.5,425.5
34.5,425.5
35.5,425.5
36.5,425.5
36.5,424.5
37.5,424.5
36.5,578.5
36.5,579.5
36.5,578.5
37.5,578.5
37.5,577.5
38.5,577.5
38.5,576.5
39.5,576.5
39.5,575.5
40.5,575.5
40.5,574.5
41.5,574.5
41.5,573.5
42.5,573.5
43.5,573.5
43.5,572.5
44.5,572.5
44.5,571.5
45.5,571.5
45.5,570.5
46.5,570.5
46.5,569.5
47.5,569.5
47.5,568.5
48.5,568.5
36.5,579.5
37.5,579.5
37.5,580.5
38.5,580.5
38.5,581.5
36.5,585.5
36.5,584.5
37.5,584.5
37.5,583.5
38.5,583.5
38.5,582.5
38.5,581.5
37.5,424.5
38.5,424.5
39.5,424.5
40.5,424.5
40.5,423.5
41.5,423.5
42.5,423.5
43.5,423.5
43.5,422.5
44.5,422.5
45.5,422.5
46.5,422.5
46.5,421.5
47.5,421.5
48.5,421.5
48.5,420.5
49.5,420.5
49.5,420.5
50.5,420.5
50.5,419.5
51.5,419.5
52.5,419.5
53.5,419.5
53.5,418.5
54.5,418.5
55.5,418.5
56.5,418.5
56.5,417.5
57.5,417.5
58.5,417.5
59.5,417.5
59.5,416.5
60.5,416.5
60.5,416.5
61.5,416.5
62.5,416.5
62.5,415.5
63.5,415.5
64.5,415.5
64.5,415.5
64.5,414.5
65.5,414.5
65.5,413.5
66.5,413.5
67.5,413.5
68.5,413.5
68.5,413.5
68.5,412.5
69.5,412.5
69.5,411.5
70.5,411.5
70.5,411.5
71.5,411.5
72.5,411.5
73.5,411.5
74.5,411.5
74.5,410.5
75.5,410.5
76.5,410.5
77.5,410.5
77.5,409.5
78.5,409.5
79.5,409.5
80.5,409.5
76.5,470.5
76.5,471.5
76.5,470.5
77.5,470.5
78.5,470.5
79.5,470.5
79.5,469.5
80.5,469.5
80.5,468.5
81.5,468.5
81.5,467.5
82.5,467.5
83.5,467.5
83.5,466.5
84.5,466.5
85.5,466.5
85.5,465.5
86.5,465.5
86.5,464.5
87.5,464.5
88.5,464.5
89.5,464.5
89.5,463.5
90.5,463.5
91.5,463.5
91.5,462.5
92.5,462.5
93.5,462.5
94.5,462.5
94.5,461.5
95.5,461.5
96.5,461.5
96.5,460.5
76.5,471.5
76.5,472.5
76.5,473.5
75.5,473.5
75.5,474.5
74.5,474.5
74.5,475.5
74.5,476.5
74.5,477.5
74.5,478.5
75.5,478.5
75.5,479.5
76.5,479.5
76.5,480.5
76.5,480.5
76.5,481.5
77.5,481.5
78.5,481.5
78.5,482.5
79.5,482.5
79.5,483.5
80.5,483.5
80.5,484.5
80.5,485.5
80.5,409.5
81.5,409.5
81.5,408.5
82.5,408.5
82.5,407.5
83.5,407.5
83.5,406.5
84.5,406.5
84.5,405.5
85.5,405.5
86.5,405.5
87.5,405.5
87.5,404.5
88.5,404.5
80.5,485.5
81.5,485.5
81.5,486.5
82.5,486.5
83.5,486.5
83.5,485.5
84.5,485.5
85.5,485.5
86.5,485.5
87.5,485.5
88.5,485.5
89.5,485.5
89.5,486.5
90.5,486.5
88.5,404.5
89.5,404.5
90.5,404.5
90.5,403.5
91.5,403.5
92.5,403.5
93.5,403.5
94.5,403.5
94.5,402.5
95.5,402.5
96.5,402.5
97.5,402.5
90.5,486.5
90.5,485.5
91.5,485.5
92.5,485.5
93.5,485.5
94.5,485.5
95.5,485.5
96.5,485.5
97.5,485.5
98.5,485.5
96.5,460.5
97.5,460.5
98.5,460.5
99.5,460.5
100.5,460.5
100.5,459.5
101.5,459.5
102.5,459.5
103.5,459.5
97.5,402.5
97.5,401.5
98.5,401.5
99.5,401.5
99.5,400.5
100.5,400.5
101.5,400.5
102.5,400.5
102.5,399.5
103.5,399.5
98.5,485.5
99.5,485.5
100.5,485.5
101.5,485.5
101.5,486.5
101.5,486.5
102.5,486.5
102.5,485.5
103.5,485.5
104.5,485.5
105.5,485.5
106.5,485.5
107.5,485.5
107.5,484.5
108.5,484.5
103.5,399.5
104.5,399.5
105.5,399.5
105.5,398.5
106.5,398.5
103.5,459.5
104.5,459.5
104.5,458.5
105.5,458.5
106.5,458.5
107.5,458.5
108.5,458.5
108.5,457.5
109.5,457.5
106.5,398.5
107.5,398.5
108.5,398.5
108.5,397.5
109.5,397.5
110.5,397.5
110.5,396.5
111.5,396.5
112.5,396.5
112.5,395.5
113.5,395.5
108.5,484.5
108.5,485.5
108.5,485.5
109.5,485.5
109.5,484.5
110.5,484.5
111.5,484.5
112.5,484.5
113.5,484.5
114.5,484.5
115.5,484.5
116.5,484.5
117.5,484.5
117.5,483.5
118.5,483.5
119.5,483.5
120.5,483.5
121.5,483.5
122.5,483.5
109.5,457.5
109.5,458.5
109.5,458.5
110.5,458.5
110.5,457.5
111.5,457.5
112.5,457.5
113.5,457.5
114.5,457.5
114.5,456.5
115.5,456.5
116.5,456.5
117.5,456.5
118.5,456.5
118.5,455.5
113.5,395.5
114.5,395.5
114.5,394.5
115.5,394.5
116.5,394.5
116.5,393.5
117.5,393.5
118.5,393.5
118.5,392.5
119.5,392.5
120.5,392.5
118.5,455.5
119.5,455.5
119.5,456.5
120.5,456.5
121.5,456.5
121.5,455.5
122.5,455.5
123.5,455.5
124.5,455.5
125.5,455.5
126.5,455.5
127.5,455.5
128.5,455.5
129.5,455.5
120.5,392.5
121.5,392.5
122.5,392.5
122.5,391.5
123.5,391.5
124.5,391.5
124.5,390.5
125.5,390.5
125.5,389.5
126.5,389.5
127.5,389.5
128.5,389.5
129.5,389.5
122.5,483.5
122.5,482.5
123.5,482.5
124.5,482.5
125.5,482.5
125.5,481.5
126.5,481.5
127.5,481.5
128.5,481.5
128.5,480.5
129.5,480.5
129.5,481.5
130.5,481.5
129.5,389.5
130.5,389.5
130.5,388.5
131.5,388.5
132.5,388.5
133.5,388.5
133.5,387.5
134.5,387.5
135.5,387.5
135.5,386.5
136.5,386.5
136.5,385.5
137.5,385.5
