x,y
1.5,394.5
1.5,395.5
2.5,395.5
2.5,396.5
3.5,396.5
4.5,396.5
5.5,396.5
6.5,396.5
7.5,396.5
8.5,396.5
9.5,396.5
10.5,396.5
11.5,396.5
11.5,397.5
12.5,397.5
1.5,413.5
2.5,413.5
2.5,412.5
3.5,412.5
3.5,413.5
4.5,413.5
5.5,413.5
6.5,413.5
7.5,413.5
8.5,413.5
1.5,467.5
1.5,466.5
1.5,465.5
2.5,465.5
2.5,464.5
2.5,463.5
2.5,462.5
2.5,461.5
2.5,460.5
2.5,459.5
2.5,458.5
3.5,458.5
4.5,458.5
5.5,458.5
6.5,458.5
7.5,458.5
8.5,458.5
1.5,558.5
2.5,558.5
2.5,559.5
2.5,560.5
3.5,560.5
4.5,560.5
5.5,560.5
6.5,560.5
7.5,560.5
7.5,561.5
8.5,561.5
7.5,566.5
8.5,566.5
8.5,567.5
9.5,567.5
10.5,567.5
11.5,567.5
8.5,413.5
9.5,413.5
10.5,413.5
11.5,413.5
12.5,413.5
13.5,413.5
14.5,413.5
15.5,413.5
16.5,413.5
17.5,413.5
18.5,413.5
19.5,413.5
20.5,413.5
21.5,413.5
22.5,413.5
23.5,413.5
24.5,413.5
25.5,413.5
26.5,413.5
27.5,413.5
27.5,414.5
8.5,446.5
8.5,445.5
9.5,445.5
10.5,445.5
11.5,445.5
12.5,445.5
13.5,445.5
8.5,458.5
9.5,458.5
10.5,458.5
11.5,458.5
12.5,458.5
13.5,458.5
13.5,459.5
8.5,560.5
8.5,561.5
8.5,560.5
9.5,560.5
9.5,561.5
10.5,561.5
11.5,561.5
12.5,561.5
13.5,561.5
14.5,561.5
15.5,561.5
15.5,562.5
16.5,562.5
11.5,567.5
12.5,567.5
13.5,567.5
14.5,567.5
15.5,567.5
12.5,397.5
13.5,397.5
13.5,398.5
13.5,398.5
14.5,398.5
14.5,397.5
15.5,397.5
15.5,398.5
16.5,398.5
17.5,398.5
18.5,398.5
19.5,398.5
20.5,398.5
13.5,445.5
14.5,445.5
14.5,446.5
15.5,446.5
13.5,459.5
14.5,459.5
14.5,458.5
15.5,458.5
15.5,446.5
15.5,445.5
16.5,445.5
17.5,445.5
18.5,445.5
19.5,445.5
