x,y
2.5,338.5
3.5,338.5
4.5,338.5
4.5,337.5
5.5,337.5
6.5,337.5
7.5,337.5
8.5,337.5
8.5,337.5
9.5,337.5
10.5,337.5
11.5,337.5
12.5,337.5
13.5,337.5
14.5,337.5
15.5,337.5
15.5,336.5
16.5,336.5
8.5,354.5
9.5,354.5
10.5,354.5
11.5,354.5
12.5,354.5
13.5,354.5
14.5,354.5
14.5,353.5
15.5,353.5
15.5,353.5
15.5,354.5
16.5,354.5
17.5,354.5
18.5,354.5
19.5,354.5
20.5,354.5
21.5,354.5
22.5,354.5
22.5,355.5
23.5,355.5
24.5,355.5
25.5,355.5
26.5,355.5
16.5,331.5
17.5,331.5
17.5,332.5
18.5,332.5
19.5,332.5
20.5,332.5
21.5,332.5
22.5,332.5
22.5,333.5
22.5,334.5
22.5,335.5
22.5,336.5
16.5,336.5
16.5,337.5
17.5,337.5
18.5,337.5
19.5,337.5
19.5,336.5
20.5,336.5
21.5,336.5
22.5,336.5
22.5,336.5
22.5,337.5
23.5,337.5
24.5,337.5
25.5,337.5
26.5,337.5
27.5,337.5
28.5,337.5
29.5,337.5
30.5,337.5
26.5,355.5
26.5,354.5
27.5,354.5
28.5,354.5
28.5,353.5
29.5,353.5
30.5,353.5
31.5,353.5
32.5,353.5
33.5,353.5
34.5,353.5
35.5,353.5
35.5,352.5
36.5,352.5
37.5,352.5
38.5,352.5
39.5,352.5
40.5,352.5
41.5,352.5
42.5,352.5
43.5,352.5
44.5,352.5
45.5,352.5
46.5,352.5
47.5,352.5
48.5,352.5
49.5,352.5
50.5,352.5
51.5,352.5
52.5,352.5
53.5,352.5
54.5,352.5
55.5,352.5
56.5,352.5
57.5,352.5
57.5,351.5
30.5,337.5
31.5,337.5
32.5,337.5
33.5,337.5
34.5,337.5
35.5,337.5
36.5,337.5
36.5,338.5
37.5,338.5
38.5,338.5
39.5,338.5
39.5,337.5
40.5,337.5
40.5,337.5
41.5,337.5
42.5,337.5
42.5,336.5
43.5,336.5
43.5,335.5
44.5,335.5
44.5,335.5
45.5,335.5
45.5,334.5
46.5,334.5
47.5,334.5
48.5,334.5
48.5,333.5
49.5,333.5
49.5,334.5
50.5,334.5
51.5,334.5
51.5,333.5
52.5,333.5
47.5,566.5
47.5,565.5
48.5,565.5
48.5,564.5
47.5,564.5
47.5,563.5
47.5,562.5
47.5,561.5
47.5,560.5
48.5,560.5
48.5,559.5
47.5,566.5
48.5,566.5
48.5,567.5
48.5,567.5
49.5,567.5
49.5,568.5
50.5,568.5
50.5,568.5
51.5,568.5
52.5,568.5
52.5,569.5
53.5,569.5
54.5,569.5
55.5,569.5
55.5,570.5
56.5,570.5
56.5,571.5
51.5,557.5
52.5,557.5
52.5,556.5
53.5,556.5
54.5,556.5
54.5,555.5
55.5,555.5
56.5,555.5
56.5,554.5
57.5,554.5
58.5,554.5
58.5,553.5
59.5,553.5
60.5,553.5
61.5,553.5
62.5,553.5
62.5,552.5
63.5,552.5
64.5,552.5
65.5,552.5
65.5,551.5
66.5,551.5
67.5,551.5
68.5,551.5
69.5,551.5
69.5,550.5
70.5,550.5
71.5,550.5
72.5,550.5
72.5,549.5
73.5,549.5
74.5,549.5
75.5,549.5
52.5,333.5
52.5,334.5
53.5,334.5
54.5,334.5
55.5,334.5
56.5,334.5
56.5,333.5
57.5,333.5
57.5,332.5
58.5,332.5
58.5,331.5
57.5,331.5
57.5,330.5
58.5,330.5
56.5,571.5
57.5,571.5
58.5,571.5
59.5,571.5
60.5,571.5
61.5,571.5
62.5,571.5
63.5,571.5
64.5,571.5
64.5,572.5
65.5,572.5
65.5,573.5
57.5,351.5
58.5,351.5
58.5,352.5
59.5,352.5
60.5,352.5
60.5,351.5
61.5,351.5
61.5,350.5
58.5,330.5
59.5,330.5
60.5,330.5
60.5,329.5
60.5,329.5
61.5,329.5
62.5,329.5
62.5,330.5
61.5,350.5
62.5,350.5
63.5,350.5
64.5,350.5
65.5,350.5
66.5,350.5
62.5,330.5
62.5,331.5
62.5,332.5
62.5,333.5
62.5,333.5
63.5,333.5
64.5,333.5
64.5,334.5
65.5,334.5
66.5,334.5
65.5,573.5
66.5,573.5
66.5,572.5
67.5,572.5
68.5,572.5
68.5,573.5
69.5,573.5
70.5,573.5
71.5,573.5
72.5,573.5
73.5,573.5
74.5,573.5
75.5,573.5
75.5,572.5
76.5,572.5
66.5,334.5
67.5,334.5
68.5,334.5
69.5,334.5
70.5,334.5
71.5,334.5
71.5,335.5
72.5,335.5
72.5,334.5
73.5,334.5
74.5,334.5
75.5,334.5
76.5,334.5
77.5,334.5
78.5,334.5
79.5,334.5
80.5,334.5
80.5,333.5
81.5,333.5
82.5,333.5
83.5,333.5
84.5,333.5
85.5,333.5
66.5,350.5
67.5,350.5
68.5,350.5
68.5,351.5
68.5,351.5
69.5,351.5
70.5,351.5
71.5,351.5
72.5,351.5
73.5,351.5
74.5,351.5
75.5,351.5
76.5,351.5
77.5,351.5
78.5,351.5
79.5,351.5
79.5,352.5
80.5,352.5
81.5,352.5
82.5,352.5
75.5,549.5
76.5,549.5
76.5,548.5
77.5,548.5
76.5,572.5
76.5,573.5
77.5,573.5
78.5,573.5
79.5,573.5
80.5,573.5
77.5,548.5
78.5,548.5
79.5,548.5
80.5,548.5
80.5,548.5
81.5,548.5
82.5,548.5
83.5,548.5
83.5,547.5
84.5,547.5
84.5,548.5
80.5,573.5
81.5,573.5
82.5,573.5
83.5,573.5
83.5,572.5
82.5,352.5
83.5,352.5
83.5,351.5
84.5,351.5
85.5,351.5
86.5,351.5
87.5,351.5
88.5,351.5
88.5,352.5
83.5,572.5
84.5,572.5
84.5,573.5
85.5,573.5
86.5,573.5
86.5,572.5
87.5,572.5
88.5,572.5
84.5,548.5
85.5,548.5
85.5,547.5
86.5,547.5
87.5,547.5
85.5,333.5
86.5,333.5
87.5,333.5
88.5,333.5
88.5,334.5
89.5,334.5
87.5,547.5
88.5,547.5
88.5,352.5
89.5,352.5
89.5,351.5
88.5,547.5
89.5,547.5
90.5,547.5
91.5,547.5
92.5,547.5
93.5,547.5
94.5,547.5
88.5,572.5
88.5,573.5
89.5,573.5
90.5,573.5
90.5,572.5
91.5,572.5
92.5,572.5
93.5,572.5
94.5,572.5
95.5,572.5
89.5,334.5
90.5,334.5
91.5,334.5
92.5,334.5
89.5,351.5
90.5,351.5
90.5,352.5
91.5,352.5
91.5,351.5
92.5,351.5
93.5,351.5
94.5,351.5
95.5,351.5
96.5,351.5
96.5,352.5
97.5,352.5
98.5,352.5
99.5,352.5
100.5,352.5
94.5,547.5
95.5,547.5
95.5,546.5
96.5,546.5
95.5,572.5
96.5,572.5
97.5,572.5
98.5,572.5
99.5,572.5
100.5,572.5
101.5,572.5
102.5,572.5
103.5,572.5
104.5,572.5
104.5,571.5
105.5,571.5
106.5,571.5
107.5,571.5
107.5,570.5
108.5,570.5
109.5,570.5
96.5,546.5
97.5,546.5
98.5,546.5
99.5,546.5
100.5,546.5
100.5,545.5
101.5,545.5
101.5,545.5
101.5,546.5
102.5,546.5
103.5,546.5
104.5,546.5
105.5,546.5
106.5,546.5
107.5,546.5
108.5,546.5
108.5,545.5
108.5,545.5
109.5,545.5
109.5,546.5
110.5,546.5
109.5,570.5
110.5,570.5
111.5,570.5
110.5,546.5
111.5,546.5
112.5,546.5
112.5,545.5
113.5,545.5
113.5,546.5
114.5,546.5
114.5,547.5
115.5,547.5
116.5,547.5
117.5,547.5
118.5,547.5
119.5,547.5
120.5,547.5
111.5,570.5
112.5,570.5
112.5,569.5
113.5,569.5
114.5,569.5
115.5,569.5
116.5,569.5
117.5,569.5
117.5,568.5
118.5,568.5
119.5,568.5
120.5,568.5
120.5,567.5
121.5,567.5
115.5,384.5
115.5,383.5
116.5,383.5
116.5,382.5
115.5,384.5
115.5,385.5
115.5,386.5
115.5,387.5
114.5,387.5
114.5,388.5
114.5,389.5
115.5,389.5
115.5,390.5
115.5,391.5
115.5,392.5
116.5,392.5
116.5,393.5
116.5,382.5
117.5,382.5
118.5,382.5
119.5,382.5
120.5,382.5
121.5,382.5
122.5,382.5
116.5,393.5
117.5,393.5
118.5,393.5
119.5,393.5
120.5,393.5
121.5,393.5
122.5,393.5
123.5,393.5
124.5,393.5
125.5,393.5
126.5,393.5
127.5,393.5
127.5,394.5
128.5,394.5
128.5,395.5
118.5,368.5
119.5,368.5
120.5,368.5
121.5,368.5
122.5,368.5
123.5,368.5
124.5,368.5
125.5,368.5
126.5,368.5
127.5,368.5
128.5,368.5
129.5,368.5
130.5,368.5
130.5,369.5
131.5,369.5
131.5,368.5
132.5,368.5
133.5,368.5
134.5,368.5
135.5,368.5
136.5,368.5
137.5,368.5
138.5,368.5
139.5,368.5
120.5,547.5
121.5,547.5
121.5,546.5
122.5,546.5
121.5,567.5
121.5,568.5
122.5,568.5
122.5,567.5
123.5,567.5
122.5,382.5
123.5,382.5
124.5,382.5
125.5,382.5
126.5,382.5
126.5,383.5
127.5,383.5
128.5,383.5
129.5,383.5
130.5,383.5
122.5,546.5
122.5,547.5
123.5,547.5
124.5,547.5
125.5,547.5
126.5,547.5
126.5,548.5
127.5,548.5
128.5,548.5
128.5,549.5
123.5,567.5
124.5,567.5
124.5,566.5
125.5,566.5
126.5,566.5
127.5,566.5
127.5,565.5
128.5,565.5
128.5,395.5
129.5,395.5
129.5,394.5
130.5,394.5
128.5,549.5
129.5,549.5
130.5,549.5
131.5,549.5
132.5,549.5
133.5,549.5
134.5,549.5
134.5,550.5
135.5,550.5
135.5,551.5
136.5,551.5
136.5,550.5
137.5,550.5
128.5,565.5
129.5,565.5
130.5,565.5
131.5,565.5
132.5,565.5
132.5,564.5
133.5,564.5
134.5,564.5
135.5,564.5
136.5,564.5
137.5,564.5
138.5,564.5
139.5,564.5
130.5,383.5
131.5,383.5
131.5,382.5
132.5,382.5
133.5,382.5
130.5,394.5
130.5,395.5
131.5,395.5
131.5,396.5
132.5,396.5
132.5,395.5
133.5,395.5
134.5,395.5
135.5,395.5
136.5,395.5
137.5,395.5
138.5,395.5
138.5,396.5
139.5,396.5
139.5,397.5
140.5,397.5
141.5,397.5
133.5,382.5
134.5,382.5
135.5,382.5
136.5,382.5
137.5,382.5
138.5,382.5
139.5,382.5
140.5,382.5
141.5,382.5
142.5,382.5
143.5,382.5
144.5,382.5
144.5,383.5
137.5,550.5
137.5,551.5
138.5,551.5
138.5,551.5
138.5,552.5
139.5,552.5
140.5,552.5
140.5,553.5
141.5,553.5
141.5,554.5
142.5,554.5
143.5,554.5
143.5,555.5
144.5,555.5
145.5,555.5
146.5,555.5
146.5,556.5
139.5,368.5
139.5,369.5
139.5,370.5
139.5,371.5
139.5,372.5
139.5,372.5
140.5,372.5
140.5,373.5
141.5,373.5
142.5,373.5
143.5,373.5
144.5,373.5
144.5,374.5
145.5,374.5
145.5,373.5
146.5,373.5
146.5,374.5
