x,y
92.5,558.5
92.5,557.5
93.5,557.5
93.5,556.5
94.5,556.5
94.5,555.5
95.5,555.5
96.5,555.5
97.5,555.5
98.5,555.5
99.5,555.5
100.5,555.5
100.5,556.5
101.5,556.5
102.5,556.5
102.5,557.5
103.5,557.5
104.5,557.5
104.5,556.5
92.5,558.5
93.5,558.5
93.5,559.5
94.5,559.5
94.5,560.5
94.5,561.5
95.5,561.5
95.5,562.5
95.5,562.5
96.5,562.5
97.5,562.5
97.5,563.5
98.5,563.5
98.5,564.5
99.5,564.5
99.5,564.5
99.5,563.5
100.5,563.5
101.5,563.5
102.5,563.5
103.5,563.5
104.5,563.5
105.5,563.5
106.5,563.5
107.5,563.5
108.5,563.5
109.5,563.5
109.5,562.5
104.5,556.5
105.5,556.5
105.5,557.5
106.5,557.5
107.5,557.5
108.5,557.5
109.5,557.5
109.5,447.5
110.5,447.5
111.5,447.5
111.5,448.5
112.5,448.5
112.5,447.5
113.5,447.5
114.5,447.5
115.5,447.5
116.5,447.5
117.5,447.5
109.5,450.5
110.5,450.5
110.5,451.5
111.5,451.5
112.5,451.5
113.5,451.5
114.5,451.5
115.5,451.5
116.5,451.5
117.5,451.5
118.5,451.5
119.5,451.5
120.5,451.5
120.5,452.5
121.5,452.5
121.5,451.5
109.5,557.5
109.5,558.5
110.5,558.5
109.5,562.5
110.5,562.5
110.5,563.5
111.5,563.5
112.5,563.5
113.5,563.5
113.5,564.5
114.5,564.5
115.5,564.5
110.5,558.5
111.5,558.5
112.5,558.5
113.5,558.5
114.5,558.5
114.5,558.5
115.5,558.5
115.5,559.5
116.5,559.5
117.5,559.5
117.5,560.5
118.5,560.5
119.5,560.5
119.5,561.5
115.5,564.5
116.5,564.5
117.5,564.5
118.5,564.5
118.5,563.5
119.5,563.5
119.5,562.5
119.5,561.5
117.5,447.5
118.5,447.5
119.5,447.5
120.5,447.5
121.5,447.5
119.5,561.5
120.5,561.5
121.5,561.5
121.5,562.5
122.5,562.5
123.5,562.5
121.5,447.5
122.5,447.5
123.5,447.5
124.5,447.5
125.5,447.5
126.5,447.5
127.5,447.5
127.5,446.5
128.5,446.5
128.5,445.5
121.5,451.5
122.5,451.5
122.5,452.5
123.5,452.5
123.5,452.5
124.5,452.5
125.5,452.5
126.5,452.5
127.5,452.5
128.5,452.5
129.5,452.5
130.5,452.5
131.5,452.5
131.5,451.5
132.5,451.5
132.5,450.5
133.5,450.5
134.5,450.5
135.5,450.5
136.5,450.5
123.5,562.5
124.5,562.5
124.5,563.5
124.5,564.5
125.5,564.5
125.5,565.5
128.5,445.5
129.5,445.5
129.5,446.5
130.5,446.5
131.5,446.5
132.5,446.5
133.5,446.5
134.5,446.5
135.5,446.5
136.5,446.5
136.5,446.5
137.5,446.5
137.5,447.5
136.5,450.5
137.5,450.5
137.5,451.5
138.5,451.5
139.5,451.5
139.5,452.5
140.5,452.5
140.5,453.5
141.5,453.5
141.5,454.5
142.5,454.5
142.5,455.5
142.5,456.5
137.5,447.5
138.5,447.5
139.5,447.5
140.5,447.5
141.5,447.5
142.5,447.5
143.5,447.5
144.5,447.5
144.5,446.5
142.5,456.5
143.5,456.5
144.5,456.5
145.5,456.5
145.5,455.5
144.5,446.5
145.5,446.5
145.5,447.5
146.5,447.5
147.5,447.5
147.5,448.5
145.5,455.5
146.5,455.5
146.5,456.5
147.5,456.5
148.5,456.5
149.5,456.5
147.5,448.5
148.5,448.5
149.5,448.5
150.5,448.5
151.5,448.5
151.5,447.5
152.5,447.5
152.5,448.5
153.5,448.5
154.5,448.5
149.5,456.5
150.5,456.5
150.5,457.5
151.5,457.5
152.5,457.5
153.5,457.5
153.5,458.5
153.5,458.5
154.5,458.5
154.5,457.5
155.5,457.5
156.5,457.5
157.5,457.5
157.5,458.5
154.5,448.5
155.5,448.5
155.5,449.5
156.5,449.5
157.5,449.5
158.5,449.5
157.5,458.5
158.5,458.5
158.5,457.5
159.5,457.5
158.5,449.5
158.5,448.5
159.5,448.5
159.5,447.5
160.5,447.5
159.5,457.5
159.5,458.5
160.5,458.5
160.5,457.5
161.5,457.5
161.5,458.5
162.5,458.5
163.5,458.5
164.5,458.5
160.5,447.5
161.5,447.5
162.5,447.5
162.5,448.5
163.5,448.5
164.5,448.5
164.5,448.5
165.5,448.5
164.5,458.5
164.5,459.5
165.5,459.5
165.5,460.5
166.5,460.5
166.5,461.5
167.5,461.5
168.5,461.5
169.5,461.5
165.5,448.5
166.5,448.5
167.5,448.5
168.5,448.5
169.5,448.5
170.5,448.5
170.5,447.5
167.5,493.5
168.5,493.5
168.5,492.5
168.5,491.5
167.5,491.5
167.5,490.5
167.5,489.5
168.5,489.5
168.5,488.5
168.5,488.5
168.5,487.5
169.5,487.5
169.5,486.5
169.5,485.5
169.5,484.5
169.5,483.5
170.5,483.5
170.5,482.5
171.5,482.5
168.5,488.5
169.5,488.5
169.5,489.5
170.5,489.5
171.5,489.5
172.5,489.5
173.5,489.5
174.5,489.5
175.5,489.5
176.5,489.5
177.5,489.5
177.5,488.5
178.5,488.5
178.5,487.5
179.5,487.5
179.5,488.5
180.5,488.5
169.5,461.5
170.5,461.5
170.5,462.5
171.5,462.5
170.5,447.5
171.5,447.5
171.5,448.5
172.5,448.5
173.5,448.5
171.5,462.5
171.5,463.5
171.5,464.5
170.5,464.5
170.5,465.5
170.5,466.5
171.5,466.5
171.5,466.5
172.5,466.5
172.5,467.5
173.5,467.5
173.5,468.5
174.5,468.5
174.5,469.5
175.5,469.5
175.5,470.5
171.5,476.5
171.5,477.5
171.5,478.5
171.5,479.5
171.5,480.5
171.5,481.5
171.5,482.5
171.5,476.5
172.5,476.5
173.5,476.5
174.5,476.5
173.5,448.5
174.5,448.5
175.5,448.5
175.5,447.5
176.5,447.5
177.5,447.5
177.5,448.5
178.5,448.5
179.5,448.5
180.5,448.5
181.5,448.5
182.5,448.5
174.5,476.5
174.5,475.5
174.5,474.5
174.5,473.5
174.5,472.5
175.5,472.5
175.5,471.5
175.5,470.5
180.5,488.5
180.5,487.5
181.5,487.5
182.5,487.5
182.5,486.5
182.5,448.5
183.5,448.5
183.5,447.5
182.5,486.5
183.5,486.5
183.5,487.5
184.5,487.5
185.5,487.5
186.5,487.5
186.5,488.5
187.5,488.5
188.5,488.5
189.5,488.5
183.5,447.5
184.5,447.5
184.5,448.5
185.5,448.5
185.5,447.5
186.5,447.5
187.5,447.5
188.5,447.5
188.5,448.5
189.5,448.5
189.5,448.5
190.5,448.5
191.5,448.5
191.5,447.5
192.5,447.5
193.5,447.5
194.5,447.5
195.5,447.5
196.5,447.5
196.5,446.5
197.5,446.5
197.5,445.5
198.5,445.5
199.5,445.5
