x,y
1.5,272.5
2.5,272.5
3.5,272.5
4.5,272.5
5.5,272.5
6.5,272.5
6.5,273.5
6.5,273.5
7.5,273.5
7.5,272.5
8.5,272.5
9.5,272.5
10.5,272.5
6.5,287.5
7.5,287.5
8.5,287.5
9.5,287.5
10.5,287.5
11.5,287.5
11.5,286.5
12.5,286.5
12.5,287.5
13.5,287.5
13.5,288.5
14.5,288.5
15.5,288.5
10.5,272.5
11.5,272.5
12.5,272.5
13.5,272.5
14.5,272.5
14.5,273.5
15.5,273.5
16.5,273.5
17.5,273.5
18.5,273.5
19.5,273.5
15.5,288.5
16.5,288.5
16.5,287.5
17.5,287.5
17.5,288.5
18.5,288.5
18.5,288.5
19.5,288.5
19.5,287.5
20.5,287.5
21.5,287.5
21.5,286.5
22.5,286.5
19.5,273.5
19.5,272.5
19.5,271.5
20.5,271.5
21.5,271.5
21.5,270.5
22.5,270.5
22.5,270.5
22.5,271.5
23.5,271.5
24.5,271.5
24.5,270.5
25.5,270.5
26.5,270.5
22.5,286.5
23.5,286.5
23.5,285.5
24.5,285.5
24.5,286.5
25.5,286.5
26.5,286.5
26.5,285.5
26.5,270.5
27.5,270.5
27.5,271.5
26.5,285.5
27.5,285.5
27.5,286.5
28.5,286.5
27.5,271.5
28.5,271.5
29.5,271.5
30.5,271.5
31.5,271.5
32.5,271.5
33.5,271.5
34.5,271.5
34.5,271.5
35.5,271.5
36.5,271.5
37.5,271.5
38.5,271.5
39.5,271.5
40.5,271.5
41.5,271.5
41.5,270.5
42.5,270.5
42.5,270.5
42.5,271.5
43.5,271.5
44.5,271.5
45.5,271.5
45.5,271.5
46.5,271.5
47.5,271.5
48.5,271.5
49.5,271.5
50.5,271.5
51.5,271.5
51.5,272.5
52.5,272.5
52.5,273.5
53.5,273.5
53.5,274.5
53.5,274.5
54.5,274.5
55.5,274.5
55.5,275.5
56.5,275.5
57.5,275.5
58.5,275.5
53.5,282.5
54.5,282.5
55.5,282.5
56.5,282.5
57.5,282.5
58.5,282.5
59.5,282.5
60.5,282.5
61.5,282.5
62.5,282.5
63.5,282.5
64.5,282.5
58.5,275.5
59.5,275.5
60.5,275.5
61.5,275.5
62.5,275.5
62.5,275.5
63.5,275.5
63.5,276.5
64.5,276.5
64.5,277.5
65.5,277.5
66.5,277.5
64.5,282.5
65.5,282.5
65.5,281.5
66.5,281.5
66.5,280.5
66.5,277.5
67.5,277.5
67.5,276.5
68.5,276.5
66.5,280.5
67.5,280.5
67.5,281.5
68.5,281.5
69.5,281.5
70.5,281.5
71.5,281.5
72.5,281.5
73.5,281.5
68.5,276.5
68.5,277.5
69.5,277.5
69.5,276.5
70.5,276.5
71.5,276.5
72.5,276.5
72.5,277.5
72.5,277.5
73.5,277.5
73.5,276.5
74.5,276.5
75.5,276.5
76.5,276.5
77.5,276.5
78.5,276.5
73.5,281.5
74.5,281.5
75.5,281.5
75.5,281.5
76.5,281.5
77.5,281.5
78.5,281.5
78.5,281.5
79.5,281.5
79.5,281.5
80.5,281.5
81.5,281.5
82.5,281.5
83.5,281.5
102.5,305.5
102.5,304.5
103.5,304.5
104.5,304.5
104.5,303.5
104.5,302.5
105.5,302.5
105.5,301.5
106.5,301.5
106.5,300.5
106.5,299.5
107.5,299.5
107.5,298.5
102.5,305.5
102.5,306.5
102.5,307.5
101.5,307.5
101.5,308.5
101.5,309.5
102.5,309.5
102.5,310.5
102.5,310.5
102.5,311.5
103.5,311.5
103.5,312.5
104.5,312.5
105.5,312.5
106.5,312.5
107.5,312.5
108.5,312.5
109.5,312.5
109.5,313.5
110.5,313.5
111.5,313.5
112.5,313.5
113.5,313.5
114.5,313.5
115.5,313.5
116.5,313.5
117.5,313.5
104.5,287.5
104.5,286.5
105.5,286.5
105.5,285.5
106.5,285.5
107.5,285.5
107.5,284.5
108.5,284.5
109.5,284.5
107.5,298.5
108.5,298.5
108.5,297.5
109.5,297.5
109.5,296.5
110.5,296.5
111.5,296.5
111.5,295.5
112.5,295.5
113.5,295.5
113.5,294.5
114.5,294.5
115.5,294.5
116.5,294.5
117.5,294.5
118.5,294.5
109.5,275.5
110.5,275.5
111.5,275.5
112.5,275.5
113.5,275.5
114.5,275.5
115.5,275.5
116.5,275.5
116.5,274.5
117.5,274.5
109.5,284.5
110.5,284.5
111.5,284.5
112.5,284.5
113.5,284.5
114.5,284.5
114.5,283.5
115.5,283.5
116.5,283.5
117.5,283.5
118.5,283.5
119.5,283.5
119.5,284.5
120.5,284.5
117.5,274.5
117.5,275.5
118.5,275.5
119.5,275.5
119.5,274.5
120.5,274.5
120.5,273.5
121.5,273.5
122.5,273.5
123.5,273.5
124.5,273.5
125.5,273.5
126.5,273.5
127.5,273.5
128.5,273.5
129.5,273.5
129.5,274.5
117.5,313.5
118.5,313.5
118.5,294.5
119.5,294.5
120.5,294.5
120.5,293.5
118.5,313.5
119.5,313.5
120.5,313.5
121.5,313.5
122.5,313.5
123.5,313.5
124.5,313.5
124.5,314.5
125.5,314.5
120.5,284.5
121.5,284.5
122.5,284.5
123.5,284.5
124.5,284.5
125.5,284.5
126.5,284.5
120.5,293.5
121.5,293.5
121.5,294.5
122.5,294.5
123.5,294.5
123.5,293.5
124.5,293.5
124.5,292.5
125.5,292.5
125.5,293.5
126.5,293.5
126.5,292.5
125.5,314.5
125.5,313.5
126.5,313.5
127.5,313.5
128.5,313.5
129.5,313.5
130.5,313.5
131.5,313.5
132.5,313.5
133.5,313.5
134.5,313.5
126.5,284.5
127.5,284.5
128.5,284.5
129.5,284.5
129.5,283.5
126.5,292.5
127.5,292.5
127.5,293.5
128.5,293.5
128.5,292.5
129.5,292.5
129.5,293.5
130.5,293.5
131.5,293.5
132.5,293.5
