x,y
41.5,206.5
42.5,206.5
43.5,206.5
44.5,206.5
44.5,207.5
45.5,207.5
46.5,207.5
47.5,207.5
48.5,207.5
49.5,207.5
49.5,204.5
49.5,205.5
49.5,206.5
50.5,206.5
50.5,207.5
49.5,207.5
49.5,204.5
50.5,204.5
50.5,203.5
51.5,203.5
49.5,207.5
49.5,208.5
50.5,208.5
50.5,209.5
50.5,209.5
51.5,209.5
52.5,209.5
53.5,209.5
53.5,210.5
54.5,210.5
54.5,211.5
55.5,211.5
51.5,203.5
51.5,204.5
52.5,204.5
53.5,204.5
53.5,203.5
54.5,203.5
55.5,203.5
56.5,203.5
56.5,202.5
57.5,202.5
58.5,202.5
59.5,202.5
59.5,201.5
60.5,201.5
61.5,201.5
62.5,201.5
63.5,201.5
64.5,201.5
64.5,200.5
65.5,200.5
66.5,200.5
67.5,200.5
68.5,200.5
69.5,200.5
69.5,199.5
70.5,199.5
71.5,199.5
72.5,199.5
72.5,198.5
73.5,198.5
74.5,198.5
74.5,199.5
75.5,199.5
55.5,211.5
55.5,210.5
56.5,210.5
56.5,211.5
57.5,211.5
58.5,211.5
59.5,211.5
59.5,212.5
60.5,212.5
61.5,212.5
62.5,212.5
63.5,212.5
63.5,213.5
64.5,213.5
64.5,213.5
65.5,213.5
66.5,213.5
66.5,214.5
67.5,214.5
68.5,214.5
69.5,214.5
70.5,214.5
71.5,214.5
72.5,214.5
72.5,214.5
73.5,214.5
73.5,215.5
74.5,215.5
75.5,215.5
76.5,215.5
77.5,215.5
78.5,215.5
78.5,216.5
79.5,216.5
80.5,216.5
81.5,216.5
81.5,217.5
82.5,217.5
82.5,216.5
83.5,216.5
75.5,199.5
75.5,198.5
76.5,198.5
77.5,198.5
77.5,197.5
78.5,197.5
79.5,197.5
80.5,197.5
81.5,197.5
81.5,196.5
82.5,196.5
82.5,196.5
83.5,196.5
84.5,196.5
85.5,196.5
85.5,195.5
86.5,195.5
87.5,195.5
83.5,216.5
83.5,217.5
84.5,217.5
84.5,218.5
84.5,218.5
85.5,218.5
86.5,218.5
87.5,218.5
87.5,219.5
88.5,219.5
89.5,219.5
90.5,219.5
91.5,219.5
91.5,220.5
92.5,220.5
87.5,195.5
88.5,195.5
89.5,195.5
89.5,194.5
90.5,194.5
91.5,194.5
92.5,194.5
93.5,194.5
92.5,220.5
93.5,220.5
94.5,220.5
95.5,220.5
96.5,220.5
93.5,194.5
94.5,194.5
94.5,193.5
95.5,193.5
96.5,193.5
96.5,192.5
96.5,192.5
97.5,192.5
98.5,192.5
99.5,192.5
100.5,192.5
101.5,192.5
101.5,191.5
102.5,191.5
96.5,220.5
96.5,221.5
97.5,221.5
98.5,221.5
99.5,221.5
99.5,222.5
100.5,222.5
101.5,222.5
102.5,222.5
103.5,222.5
102.5,191.5
102.5,192.5
103.5,192.5
103.5,191.5
104.5,191.5
104.5,190.5
103.5,222.5
104.5,222.5
104.5,223.5
105.5,223.5
106.5,223.5
104.5,190.5
105.5,190.5
106.5,190.5
106.5,190.5
107.5,190.5
108.5,190.5
108.5,189.5
109.5,189.5
110.5,189.5
111.5,189.5
111.5,188.5
112.5,188.5
106.5,223.5
107.5,223.5
107.5,224.5
107.5,224.5
108.5,224.5
109.5,224.5
110.5,224.5
111.5,224.5
112.5,224.5
112.5,225.5
113.5,225.5
114.5,225.5
115.5,225.5
116.5,225.5
117.5,225.5
117.5,226.5
118.5,226.5
119.5,226.5
120.5,226.5
121.5,226.5
121.5,227.5
122.5,227.5
123.5,227.5
112.5,188.5
112.5,189.5
113.5,189.5
114.5,189.5
114.5,189.5
114.5,188.5
115.5,188.5
115.5,187.5
116.5,187.5
117.5,187.5
118.5,187.5
118.5,186.5
119.5,186.5
119.5,186.5
119.5,187.5
120.5,187.5
120.5,186.5
121.5,186.5
122.5,186.5
123.5,186.5
124.5,186.5
125.5,186.5
126.5,186.5
127.5,186.5
127.5,185.5
128.5,185.5
128.5,184.5
123.5,227.5
124.5,227.5
124.5,227.5
125.5,227.5
125.5,228.5
126.5,228.5
127.5,228.5
128.5,228.5
129.5,228.5
130.5,228.5
130.5,229.5
131.5,229.5
132.5,229.5
133.5,229.5
133.5,230.5
134.5,230.5
135.5,230.5
136.5,230.5
128.5,184.5
129.5,184.5
130.5,184.5
131.5,184.5
132.5,184.5
132.5,184.5
133.5,184.5
133.5,183.5
134.5,183.5
135.5,183.5
136.5,183.5
136.5,183.5
137.5,183.5
138.5,183.5
139.5,183.5
139.5,182.5
140.5,182.5
141.5,182.5
142.5,182.5
143.5,182.5
143.5,181.5
144.5,181.5
144.5,180.5
145.5,180.5
