x,y
1.5,264.5
1.5,265.5
2.5,265.5
2.5,266.5
3.5,266.5
4.5,266.5
4.5,267.5
5.5,267.5
6.5,267.5
6.5,268.5
7.5,268.5
8.5,268.5
8.5,269.5
9.5,269.5
9.5,270.5
10.5,270.5
11.5,270.5
12.5,270.5
12.5,271.5
13.5,271.5
13.5,272.5
14.5,272.5
14.5,272.5
15.5,272.5
16.5,272.5
16.5,273.5
17.5,273.5
17.5,274.5
18.5,274.5
19.5,274.5
20.5,274.5
16.5,449.5
17.5,449.5
17.5,450.5
18.5,450.5
19.5,450.5
19.5,451.5
19.5,451.5
20.5,451.5
21.5,451.5
22.5,451.5
22.5,450.5
23.5,450.5
23.5,449.5
24.5,449.5
24.5,448.5
25.5,448.5
25.5,447.5
20.5,274.5
20.5,275.5
21.5,275.5
22.5,275.5
22.5,276.5
23.5,276.5
23.5,277.5
24.5,277.5
25.5,277.5
25.5,278.5
26.5,278.5
26.5,279.5
27.5,279.5
25.5,447.5
26.5,447.5
27.5,447.5
28.5,447.5
29.5,447.5
29.5,446.5
30.5,446.5
30.5,445.5
27.5,279.5
28.5,279.5
28.5,279.5
29.5,279.5
30.5,279.5
31.5,279.5
32.5,279.5
33.5,279.5
34.5,279.5
30.5,445.5
31.5,445.5
31.5,444.5
32.5,444.5
32.5,443.5
33.5,443.5
33.5,443.5
34.5,443.5
34.5,442.5
35.5,442.5
35.5,441.5
36.5,441.5
36.5,440.5
37.5,440.5
37.5,439.5
38.5,439.5
38.5,438.5
39.5,438.5
39.5,437.5
40.5,437.5
40.5,436.5
34.5,279.5
34.5,280.5
35.5,280.5
35.5,281.5
36.5,281.5
36.5,280.5
37.5,280.5
38.5,280.5
38.5,281.5
39.5,281.5
40.5,281.5
40.5,280.5
41.5,280.5
40.5,436.5
41.5,436.5
41.5,435.5
42.5,435.5
43.5,435.5
41.5,280.5
42.5,280.5
43.5,280.5
44.5,280.5
44.5,281.5
45.5,281.5
46.5,281.5
47.5,281.5
48.5,281.5
48.5,282.5
49.5,282.5
50.5,282.5
51.5,282.5
52.5,282.5
53.5,282.5
54.5,282.5
55.5,282.5
42.5,456.5
42.5,455.5
43.5,455.5
43.5,454.5
44.5,454.5
44.5,453.5
45.5,453.5
45.5,452.5
46.5,452.5
46.5,451.5
47.5,451.5
47.5,450.5
48.5,450.5
48.5,449.5
49.5,449.5
49.5,448.5
42.5,456.5
42.5,457.5
43.5,457.5
43.5,458.5
44.5,458.5
45.5,458.5
46.5,458.5
47.5,458.5
47.5,459.5
48.5,459.5
48.5,460.5
49.5,460.5
50.5,460.5
50.5,461.5
51.5,461.5
51.5,462.5
52.5,462.5
53.5,462.5
53.5,461.5
54.5,461.5
43.5,435.5
44.5,435.5
44.5,434.5
45.5,434.5
45.5,433.5
46.5,433.5
46.5,432.5
47.5,432.5
47.5,431.5
48.5,431.5
48.5,430.5
49.5,430.5
49.5,429.5
50.5,429.5
50.5,428.5
51.5,428.5
51.5,427.5
52.5,427.5
52.5,426.5
49.5,448.5
50.5,448.5
51.5,448.5
51.5,447.5
52.5,447.5
52.5,446.5
53.5,446.5
53.5,445.5
54.5,445.5
54.5,444.5
52.5,426.5
53.5,426.5
53.5,425.5
54.5,425.5
55.5,425.5
55.5,424.5
56.5,424.5
56.5,423.5
57.5,423.5
57.5,422.5
58.5,422.5
58.5,421.5
54.5,444.5
55.5,444.5
55.5,443.5
56.5,443.5
56.5,442.5
57.5,442.5
57.5,441.5
58.5,441.5
54.5,461.5
55.5,461.5
55.5,460.5
56.5,460.5
56.5,459.5
55.5,459.5
55.5,458.5
56.5,458.5
56.5,457.5
57.5,457.5
57.5,456.5
58.5,456.5
58.5,455.5
59.5,455.5
60.5,455.5
61.5,455.5
61.5,456.5
62.5,456.5
63.5,456.5
64.5,456.5
64.5,455.5
65.5,455.5
66.5,455.5
67.5,455.5
68.5,455.5
69.5,455.5
69.5,456.5
70.5,456.5
58.5,421.5
59.5,421.5
59.5,420.5
60.5,420.5
58.5,441.5
58.5,440.5
59.5,440.5
59.5,439.5
60.5,439.5
60.5,438.5
61.5,438.5
62.5,438.5
62.5,437.5
63.5,437.5
63.5,436.5
64.5,436.5
64.5,435.5
60.5,420.5
61.5,420.5
61.5,419.5
62.5,419.5
62.5,418.5
63.5,418.5
63.5,417.5
64.5,417.5
64.5,416.5
65.5,416.5
65.5,415.5
66.5,415.5
66.5,414.5
67.5,414.5
67.5,413.5
68.5,413.5
68.5,412.5
69.5,412.5
70.5,412.5
70.5,411.5
71.5,411.5
71.5,410.5
72.5,410.5
72.5,409.5
73.5,409.5
73.5,408.5
74.5,408.5
74.5,407.5
75.5,407.5
76.5,407.5
76.5,406.5
77.5,406.5
77.5,405.5
78.5,405.5
78.5,404.5
78.5,403.5
79.5,403.5
79.5,402.5
64.5,435.5
65.5,435.5
65.5,434.5
66.5,434.5
66.5,433.5
67.5,433.5
67.5,432.5
68.5,432.5
68.5,431.5
69.5,431.5
69.5,430.5
70.5,430.5
70.5,429.5
71.5,429.5
71.5,428.5
72.5,428.5
70.5,456.5
71.5,456.5
71.5,457.5
71.5,457.5
72.5,457.5
72.5,456.5
73.5,456.5
74.5,456.5
75.5,456.5
76.5,456.5
77.5,456.5
78.5,456.5
79.5,456.5
79.5,455.5
80.5,455.5
81.5,455.5
81.5,454.5
82.5,454.5
83.5,454.5
83.5,453.5
84.5,453.5
72.5,428.5
72.5,427.5
73.5,427.5
73.5,426.5
74.5,426.5
75.5,426.5
75.5,425.5
76.5,425.5
76.5,424.5
77.5,424.5
77.5,424.5
77.5,423.5
78.5,423.5
78.5,422.5
79.5,422.5
79.5,421.5
80.5,421.5
80.5,420.5
81.5,420.5
81.5,419.5
82.5,419.5
82.5,418.5
83.5,418.5
83.5,417.5
84.5,417.5
84.5,416.5
85.5,416.5
85.5,415.5
86.5,415.5
86.5,414.5
87.5,414.5
87.5,413.5
88.5,413.5
88.5,412.5
79.5,402.5
80.5,402.5
81.5,402.5
82.5,402.5
82.5,402.5
83.5,402.5
83.5,401.5
84.5,401.5
84.5,401.5
84.5,400.5
84.5,399.5
85.5,399.5
85.5,398.5
86.5,398.5
86.5,397.5
87.5,397.5
87.5,396.5
84.5,453.5
85.5,453.5
85.5,454.5
86.5,454.5
86.5,454.5
86.5,453.5
87.5,453.5
87.5,454.5
88.5,454.5
88.5,455.5
89.5,455.5
89.5,456.5
90.5,456.5
91.5,456.5
87.5,396.5
88.5,396.5
88.5,395.5
89.5,395.5
90.5,395.5
90.5,394.5
91.5,394.5
91.5,393.5
92.5,393.5
88.5,412.5
88.5,411.5
89.5,411.5
89.5,411.5
90.5,411.5
90.5,410.5
91.5,410.5
91.5,409.5
92.5,409.5
93.5,409.5
93.5,408.5
94.5,408.5
94.5,407.5
91.5,456.5
92.5,456.5
93.5,456.5
93.5,455.5
94.5,455.5
95.5,455.5
96.5,455.5
97.5,455.5
97.5,454.5
98.5,454.5
92.5,393.5
92.5,392.5
93.5,392.5
93.5,391.5
93.5,391.5
94.5,391.5
95.5,391.5
95.5,390.5
96.5,390.5
96.5,389.5
97.5,389.5
97.5,388.5
98.5,388.5
94.5,407.5
95.5,407.5
95.5,406.5
96.5,406.5
96.5,405.5
97.5,405.5
97.5,404.5
98.5,404.5
98.5,388.5
99.5,388.5
99.5,387.5
100.5,387.5
100.5,386.5
101.5,386.5
101.5,385.5
102.5,385.5
102.5,384.5
102.5,383.5
103.5,383.5
98.5,404.5
99.5,404.5
99.5,403.5
99.5,402.5
98.5,454.5
99.5,454.5
100.5,454.5
100.5,453.5
101.5,453.5
102.5,453.5
103.5,453.5
103.5,452.5
104.5,452.5
105.5,452.5
99.5,402.5
100.5,402.5
100.5,402.5
101.5,402.5
101.5,401.5
102.5,401.5
102.5,401.5
102.5,400.5
103.5,400.5
103.5,399.5
104.5,399.5
104.5,398.5
105.5,398.5
106.5,398.5
103.5,383.5
104.5,383.5
104.5,382.5
105.5,382.5
105.5,381.5
106.5,381.5
106.5,380.5
107.5,380.5
107.5,379.5
108.5,379.5
109.5,379.5
109.5,378.5
110.5,378.5
105.5,452.5
106.5,452.5
106.5,451.5
106.5,450.5
107.5,450.5
107.5,449.5
108.5,449.5
108.5,448.5
109.5,448.5
110.5,448.5
111.5,448.5
112.5,448.5
113.5,448.5
114.5,448.5
114.5,447.5
115.5,447.5
106.5,398.5
106.5,397.5
106.5,396.5
107.5,396.5
108.5,396.5
108.5,395.5
108.5,394.5
109.5,394.5
109.5,393.5
110.5,393.5
110.5,392.5
111.5,392.5
112.5,392.5
112.5,391.5
113.5,391.5
113.5,390.5
114.5,390.5
114.5,389.5
110.5,378.5
110.5,377.5
111.5,377.5
111.5,376.5
112.5,376.5
112.5,375.5
113.5,375.5
113.5,374.5
114.5,374.5
114.5,373.5
115.5,373.5
116.5,373.5
116.5,372.5
117.5,372.5
117.5,371.5
117.5,370.5
118.5,370.5
118.5,369.5
119.5,369.5
120.5,369.5
120.5,368.5
121.5,368.5
121.5,367.5
122.5,367.5
122.5,366.5
114.5,389.5
115.5,389.5
115.5,388.5
116.5,388.5
116.5,387.5
117.5,387.5
117.5,386.5
118.5,386.5
118.5,385.5
119.5,385.5
115.5,447.5
115.5,448.5
116.5,448.5
117.5,448.5
117.5,447.5
118.5,447.5
119.5,447.5
120.5,447.5
120.5,446.5
121.5,446.5
121.5,447.5
122.5,447.5
123.5,447.5
124.5,447.5
124.5,446.5
119.5,385.5
119.5,384.5
120.5,384.5
120.5,383.5
121.5,383.5
121.5,382.5
122.5,382.5
122.5,381.5
123.5,381.5
123.5,380.5
124.5,380.5
124.5,379.5
125.5,379.5
125.5,378.5
126.5,378.5
126.5,377.5
127.5,377.5
127.5,376.5
128.5,376.5
128.5,375.5
122.5,366.5
123.5,366.5
124.5,366.5
124.5,365.5
125.5,365.5
123.5,328.5
123.5,329.5
124.5,329.5
124.5,330.5
125.5,330.5
125.5,329.5
126.5,329.5
126.5,330.5
127.5,330.5
128.5,330.5
129.5,330.5
129.5,331.5
130.5,331.5
131.5,331.5
124.5,446.5
125.5,446.5
126.5,446.5
127.5,446.5
127.5,447.5
128.5,447.5
125.5,365.5
125.5,364.5
125.5,363.5
126.5,363.5
127.5,363.5
127.5,362.5
128.5,362.5
129.5,362.5
129.5,361.5
130.5,361.5
130.5,360.5
131.5,360.5
131.5,359.5
132.5,359.5
132.5,358.5
133.5,358.5
133.5,357.5
134.5,357.5
134.5,356.5
128.5,375.5
129.5,375.5
129.5,374.5
130.5,374.5
130.5,373.5
131.5,373.5
131.5,372.5
132.5,372.5
133.5,372.5
133.5,371.5
134.5,371.5
134.5,370.5
135.5,370.5
135.5,369.5
136.5,369.5
128.5,447.5
129.5,447.5
130.5,447.5
131.5,447.5
132.5,447.5
133.5,447.5
134.5,447.5
135.5,447.5
131.5,331.5
132.5,331.5
132.5,332.5
133.5,332.5
133.5,333.5
134.5,333.5
135.5,333.5
135.5,334.5
134.5,356.5
135.5,356.5
136.5,356.5
136.5,355.5
137.5,355.5
137.5,354.5
138.5,354.5
138.5,353.5
139.5,353.5
139.5,352.5
140.5,352.5
140.5,351.5
141.5,351.5
141.5,350.5
135.5,334.5
136.5,334.5
136.5,333.5
137.5,333.5
137.5,334.5
138.5,334.5
138.5,333.5
139.5,333.5
140.5,333.5
141.5,333.5
135.5,447.5
136.5,447.5
136.5,446.5
137.5,446.5
137.5,445.5
138.5,445.5
136.5,369.5
136.5,368.5
137.5,368.5
137.5,367.5
138.5,367.5
138.5,367.5
138.5,366.5
139.5,366.5
139.5,365.5
140.5,365.5
140.5,364.5
141.5,364.5
141.5,363.5
142.5,363.5
142.5,362.5
142.5,361.5
143.5,361.5
143.5,360.5
138.5,445.5
139.5,445.5
140.5,445.5
141.5,445.5
142.5,445.5
143.5,445.5
141.5,314.5
142.5,314.5
142.5,313.5
143.5,313.5
143.5,312.5
143.5,311.5
144.5,311.5
144.5,310.5
145.5,310.5
146.5,310.5
146.5,309.5
147.5,309.5
141.5,333.5
142.5,333.5
143.5,333.5
143.5,334.5
144.5,334.5
145.5,334.5
146.5,334.5
147.5,334.5
147.5,335.5
148.5,335.5
148.5,336.5
149.5,336.5
149.5,337.5
141.5,350.5
142.5,350.5
142.5,350.5
143.5,350.5
143.5,349.5
144.5,349.5
144.5,348.5
145.5,348.5
146.5,348.5
146.5,347.5
147.5,347.5
147.5,346.5
148.5,346.5
148.5,345.5
149.5,345.5
149.5,344.5
150.5,344.5
150.5,343.5
151.5,343.5
151.5,342.5
152.5,342.5
143.5,360.5
144.5,360.5
144.5,359.5
145.5,359.5
146.5,359.5
146.5,358.5
147.5,358.5
147.5,357.5
148.5,357.5
148.5,356.5
149.5,356.5
143.5,445.5
144.5,445.5
144.5,444.5
145.5,444.5
146.5,444.5
147.5,444.5
147.5,309.5
148.5,309.5
149.5,309.5
150.5,309.5
150.5,308.5
151.5,308.5
151.5,307.5
152.5,307.5
152.5,306.5
147.5,439.5
147.5,438.5
148.5,438.5
149.5,438.5
150.5,438.5
151.5,438.5
151.5,437.5
152.5,437.5
153.5,437.5
153.5,436.5
154.5,436.5
154.5,435.5
154.5,434.5
154.5,433.5
154.5,432.5
154.5,431.5
147.5,439.5
147.5,440.5
147.5,441.5
146.5,441.5
146.5,442.5
147.5,442.5
147.5,443.5
147.5,444.5
149.5,337.5
150.5,337.5
150.5,338.5
151.5,338.5
152.5,338.5
149.5,356.5
150.5,356.5
150.5,355.5
151.5,355.5
151.5,354.5
152.5,354.5
152.5,353.5
153.5,353.5
153.5,352.5
154.5,352.5
154.5,351.5
155.5,351.5
155.5,350.5
156.5,350.5
152.5,306.5
153.5,306.5
154.5,306.5
154.5,307.5
152.5,338.5
152.5,339.5
152.5,340.5
153.5,340.5
153.5,341.5
152.5,341.5
152.5,342.5
154.5,307.5
155.5,307.5
155.5,306.5
156.5,306.5
154.5,431.5
155.5,431.5
156.5,431.5
156.5,430.5
157.5,430.5
158.5,430.5
159.5,430.5
160.5,430.5
161.5,430.5
162.5,430.5
163.5,430.5
164.5,430.5
164.5,429.5
165.5,429.5
156.5,306.5
157.5,306.5
158.5,306.5
159.5,306.5
160.5,306.5
160.5,307.5
161.5,307.5
161.5,306.5
162.5,306.5
163.5,306.5
164.5,306.5
164.5,307.5
165.5,307.5
165.5,306.5
156.5,350.5
157.5,350.5
157.5,349.5
158.5,349.5
158.5,348.5
159.5,348.5
159.5,347.5
160.5,347.5
161.5,347.5
162.5,347.5
163.5,347.5
164.5,347.5
165.5,347.5
165.5,348.5
166.5,348.5
165.5,306.5
166.5,306.5
166.5,307.5
167.5,307.5
167.5,308.5
168.5,308.5
169.5,308.5
170.5,308.5
170.5,309.5
171.5,309.5
172.5,309.5
173.5,309.5
173.5,310.5
174.5,310.5
175.5,310.5
176.5,310.5
177.5,310.5
165.5,429.5
166.5,429.5
167.5,429.5
168.5,429.5
169.5,429.5
170.5,429.5
171.5,429.5
172.5,429.5
166.5,348.5
166.5,347.5
167.5,347.5
168.5,347.5
168.5,347.5
169.5,347.5
169.5,348.5
170.5,348.5
171.5,348.5
171.5,347.5
172.5,347.5
173.5,347.5
174.5,347.5
174.5,348.5
171.5,423.5
171.5,424.5
171.5,425.5
171.5,426.5
171.5,427.5
172.5,427.5
172.5,428.5
172.5,429.5
171.5,423.5
172.5,423.5
173.5,423.5
174.5,423.5
175.5,423.5
175.5,422.5
176.5,422.5
177.5,422.5
178.5,422.5
178.5,421.5
179.5,421.5
180.5,421.5
174.5,348.5
174.5,349.5
175.5,349.5
175.5,350.5
174.5,350.5
174.5,351.5
175.5,351.5
175.5,352.5
175.5,353.5
175.5,354.5
175.5,354.5
175.5,355.5
176.5,355.5
177.5,355.5
178.5,355.5
179.5,355.5
180.5,355.5
181.5,355.5
182.5,355.5
182.5,354.5
183.5,354.5
177.5,310.5
178.5,310.5
178.5,310.5
179.5,310.5
180.5,310.5
181.5,310.5
181.5,311.5
182.5,311.5
182.5,310.5
183.5,310.5
183.5,311.5
184.5,311.5
185.5,311.5
180.5,421.5
181.5,421.5
181.5,420.5
182.5,420.5
182.5,420.5
183.5,420.5
184.5,420.5
185.5,420.5
186.5,420.5
186.5,421.5
183.5,354.5
184.5,354.5
184.5,355.5
185.5,355.5
186.5,355.5
187.5,355.5
188.5,355.5
189.5,355.5
190.5,355.5
191.5,355.5
185.5,311.5
186.5,311.5
186.5,311.5
187.5,311.5
188.5,311.5
188.5,310.5
189.5,310.5
189.5,309.5
190.5,309.5
191.5,309.5
191.5,308.5
192.5,308.5
192.5,307.5
193.5,307.5
193.5,306.5
186.5,421.5
187.5,421.5
188.5,421.5
189.5,421.5
190.5,421.5
191.5,421.5
192.5,421.5
193.5,421.5
194.5,421.5
191.5,355.5
191.5,356.5
192.5,356.5
193.5,356.5
193.5,357.5
194.5,357.5
194.5,358.5
195.5,358.5
195.5,359.5
194.5,421.5
194.5,420.5
195.5,420.5
195.5,419.5
195.5,359.5
196.5,359.5
197.5,359.5
198.5,359.5
199.5,359.5
200.5,359.5
201.5,359.5
202.5,359.5
202.5,358.5
203.5,358.5
195.5,419.5
196.5,419.5
197.5,419.5
198.5,419.5
199.5,419.5
200.5,419.5
200.5,420.5
200.5,420.5
201.5,420.5
201.5,419.5
202.5,419.5
203.5,419.5
204.5,419.5
204.5,418.5
205.5,418.5
203.5,358.5
203.5,359.5
203.5,359.5
204.5,359.5
204.5,358.5
205.5,358.5
205.5,358.5
206.5,358.5
207.5,358.5
208.5,358.5
209.5,358.5
210.5,358.5
211.5,358.5
211.5,357.5
205.5,418.5
206.5,418.5
206.5,419.5
206.5,419.5
207.5,419.5
207.5,418.5
208.5,418.5
208.5,419.5
209.5,419.5
210.5,419.5
209.5,308.5
210.5,308.5
210.5,309.5
211.5,309.5
212.5,309.5
213.5,309.5
213.5,308.5
214.5,308.5
214.5,309.5
215.5,309.5
210.5,419.5
211.5,419.5
211.5,420.5
212.5,420.5
212.5,421.5
213.5,421.5
214.5,421.5
215.5,421.5
216.5,421.5
217.5,421.5
218.5,421.5
219.5,421.5
220.5,421.5
221.5,421.5
221.5,420.5
222.5,420.5
222.5,419.5
223.5,419.5
224.5,419.5
224.5,418.5
225.5,418.5
226.5,418.5
211.5,357.5
212.5,357.5
213.5,357.5
214.5,357.5
215.5,357.5
215.5,358.5
216.5,358.5
217.5,358.5
218.5,358.5
219.5,358.5
220.5,358.5
221.5,358.5
222.5,358.5
223.5,358.5
224.5,358.5
224.5,357.5
225.5,357.5
225.5,358.5
226.5,358.5
226.5,357.5
227.5,357.5
228.5,357.5
228.5,358.5
229.5,358.5
215.5,309.5
215.5,308.5
215.5,307.5
216.5,307.5
216.5,306.5
216.5,306.5
217.5,306.5
218.5,306.5
219.5,306.5
220.5,306.5
221.5,306.5
222.5,306.5
223.5,306.5
224.5,306.5
224.5,305.5
225.5,305.5
225.5,305.5
226.5,305.5
226.5,306.5
227.5,306.5
228.5,306.5
226.5,418.5
227.5,418.5
227.5,417.5
228.5,417.5
228.5,416.5
229.5,416.5
228.5,306.5
229.5,306.5
230.5,306.5
231.5,306.5
232.5,306.5
233.5,306.5
234.5,306.5
234.5,305.5
235.5,305.5
229.5,358.5
230.5,358.5
230.5,359.5
231.5,359.5
232.5,359.5
233.5,359.5
234.5,359.5
235.5,359.5
229.5,416.5
230.5,416.5
231.5,416.5
231.5,415.5
232.5,415.5
232.5,414.5
233.5,414.5
234.5,414.5
235.5,414.5
236.5,414.5
236.5,413.5
235.5,305.5
235.5,306.5
236.5,306.5
236.5,307.5
235.5,359.5
236.5,359.5
237.5,359.5
237.5,360.5
238.5,360.5
239.5,360.5
240.5,360.5
236.5,413.5
237.5,413.5
237.5,414.5
238.5,414.5
239.5,414.5
240.5,414.5
241.5,414.5
242.5,414.5
242.5,415.5
243.5,415.5
243.5,416.5
244.5,416.5
245.5,416.5
245.5,417.5
246.5,417.5
240.5,360.5
241.5,360.5
242.5,360.5
243.5,360.5
244.5,360.5
245.5,360.5
246.5,360.5
246.5,359.5
247.5,359.5
248.5,359.5
248.5,358.5
249.5,358.5
250.5,358.5
251.5,358.5
252.5,358.5
253.5,358.5
254.5,358.5
246.5,417.5
247.5,417.5
247.5,418.5
247.5,418.5
248.5,418.5
248.5,417.5
249.5,417.5
250.5,417.5
251.5,417.5
252.5,417.5
252.5,418.5
253.5,418.5
254.5,418.5
255.5,418.5
255.5,419.5
256.5,419.5
256.5,418.5
257.5,418.5
249.5,304.5
250.5,304.5
251.5,304.5
252.5,304.5
253.5,304.5
254.5,304.5
255.5,304.5
254.5,358.5
255.5,358.5
256.5,358.5
256.5,359.5
257.5,359.5
257.5,360.5
257.5,360.5
258.5,360.5
259.5,360.5
260.5,360.5
261.5,360.5
262.5,360.5
263.5,360.5
257.5,418.5
258.5,418.5
259.5,418.5
259.5,419.5
260.5,419.5
260.5,420.5
261.5,420.5
262.5,420.5
263.5,420.5
263.5,419.5
264.5,419.5
265.5,419.5
263.5,360.5
264.5,360.5
264.5,360.5
265.5,360.5
266.5,360.5
267.5,360.5
268.5,360.5
269.5,360.5
270.5,360.5
265.5,286.5
265.5,285.5
266.5,285.5
266.5,284.5
265.5,419.5
266.5,419.5
266.5,418.5
267.5,418.5
268.5,418.5
268.5,419.5
269.5,419.5
269.5,420.5
270.5,420.5
271.5,420.5
272.5,420.5
272.5,421.5
273.5,421.5
274.5,421.5
274.5,420.5
275.5,420.5
276.5,420.5
277.5,420.5
278.5,420.5
279.5,420.5
266.5,284.5
267.5,284.5
268.5,284.5
269.5,284.5
270.5,284.5
270.5,285.5
271.5,285.5
272.5,285.5
273.5,285.5
274.5,285.5
267.5,302.5
268.5,302.5
268.5,303.5
269.5,303.5
270.5,303.5
271.5,303.5
271.5,304.5
272.5,304.5
273.5,304.5
274.5,304.5
275.5,304.5
275.5,303.5
276.5,303.5
276.5,304.5
277.5,304.5
278.5,304.5
279.5,304.5
279.5,303.5
280.5,303.5
270.5,360.5
271.5,360.5
272.5,360.5
272.5,359.5
273.5,359.5
274.5,359.5
275.5,359.5
275.5,358.5
276.5,358.5
277.5,358.5
277.5,357.5
274.5,285.5
275.5,285.5
275.5,286.5
276.5,286.5
276.5,287.5
275.5,287.5
275.5,288.5
276.5,288.5
276.5,289.5
277.5,289.5
278.5,289.5
279.5,289.5
279.5,290.5
280.5,290.5
277.5,357.5
277.5,356.5
278.5,356.5
278.5,355.5
279.5,355.5
279.5,354.5
279.5,354.5
280.5,354.5
281.5,354.5
282.5,354.5
283.5,354.5
284.5,354.5
284.5,353.5
285.5,353.5
285.5,352.5
285.5,351.5
286.5,351.5
286.5,350.5
287.5,350.5
287.5,349.5
288.5,349.5
279.5,420.5
279.5,419.5
280.5,419.5
280.5,418.5
281.5,418.5
281.5,417.5
280.5,290.5
281.5,290.5
282.5,290.5
283.5,290.5
283.5,289.5
